Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,  359 59 58 ,   89 52 47,          0,      0.000,      0.000,            0,            0,          0
2               ,    8 10 36 ,   89 32 42,      8.644,      0.000,      0.000,        1.229,        8.556,      0.069
3               ,   32 57 50 ,  125 35 13,      2.504,      0.000,      0.000,        1.108,        1.708,     -1.457
4               ,   32 45 35 ,   16 43 41,      7.160,      0.000,      0.000,        1.115,        1.733,      6.857
5               ,   19 47 20 ,   98 37 49,      9.187,      0.000,      0.000,        3.075,        8.547,     -1.379
6               ,   19 40 52 ,   93 48 51,      9.090,      0.000,      0.000,        3.055,        8.540,     -0.605
7               ,   19 40 52 ,   87 10 07,      9.089,      0.000,      0.000,        3.057,        8.547,      0.449
8               ,   19 40 51 ,   81 26 34,      9.194,      0.000,      0.000,        3.062,        8.561,      1.368
9               ,   19 40 50 ,   76 30 02,      9.351,      0.000,      0.000,        3.062,        8.562,      2.183
10              ,   19 40 52 ,   72 02 58,      9.551,      0.000,      0.000,        3.060,        8.556,      2.944
11              ,   19 30 14 ,   67 04 30,      9.847,      0.000,      0.000,        3.028,        8.549,      3.836
12              ,   19 30 14 ,   62 06 15,     10.255,      0.000,      0.000,        3.026,        8.543,      4.798
13              ,   19 30 12 ,   59 35 59,     10.505,      0.000,      0.000,        3.025,        8.541,      5.316
14              ,   14 01 53 ,   58 56 22,     10.280,      0.000,      0.000,        2.135,        8.543,      5.304
15              ,   14 01 49 ,   62 11 51,      9.964,      0.000,      0.000,        2.137,        8.551,      4.648
16              ,   14 01 47 ,   66 01 16,      9.657,      0.000,      0.000,        2.139,        8.561,      3.925
17              ,   14 01 47 ,   71 37 22,      9.293,      0.000,      0.000,        2.138,        8.556,      2.930
18              ,   14 01 47 ,   77 52 10,      9.021,      0.000,      0.000,        2.138,        8.556,      1.896
19              ,   14 01 47 ,   81 50 41,      8.906,      0.000,      0.000,        2.137,        8.553,      1.263
20              ,   14 01 49 ,   84 52 40,      8.853,      0.000,      0.000,        2.138,        8.555,      0.790
21              ,   14 01 49 ,   89 20 17,      8.815,      0.000,      0.000,        2.137,        8.552,      0.102
22              ,   14 01 48 ,   92 57 20,      8.816,      0.000,      0.000,        2.134,        8.542,     -0.455
23              ,   14 01 51 ,   98 46 33,      8.910,      0.000,      0.000,        2.135,        8.543,     -1.359
