      3111.1762,	       8552.8682,	      -1467.8043 ; 		 //plane 0 point @1 
      1227.5603,	       8554.6013,	      -1459.6097 ; 		 //plane 0 point @2 
     -1893.5204,	        -83.9016,	      -1458.2016 ; 		 //plane 0 point @3 
     -2544.8455,	      -4566.6906,	      -1461.6823 ; 		 //plane 0 point @4 
      3149.4099,	      -4552.3281,	      -1486.4274 ; 		 //plane 0 point @5 
      3111.1762,	       8552.8682,	      -1467.8043 ; 		 //plane 0 point @6 
      3111.2546,	       8526.0078,	       5430.8477 ; 		 //plane 1  NOT REORDER point @7 
      -617.8004,	       8529.6408,	       5395.2059 ; 		 //plane 1  NOT REORDER point @8 
      3126.8669,	       3174.6589,	       5424.3834 ; 		 //plane 1  NOT REORDER point @9 
     -1830.5984,	       3158.6878,	       5376.9749 ; 		 //plane 1  NOT REORDER point @10 
     -1776.2155,	      -4564.7519,	       5367.9497 ; 		 //plane 1  NOT REORDER point @11 
      3149.4099,	      -4552.3281,	       5415.0494 ; 		 //plane 1  NOT REORDER point @12 
     -3071.9540,	      -4568.0202,	       5355.5596 ; 		 //plane 1  NOT REORDER point @13 
     -3008.0142,	       -248.2410,	       5361.5094 ; 		 //plane 1  NOT REORDER point @14 
      3126.8907,	       3166.4693,	       6849.3037 ; 		 //plane 2 point @15 
     -1838.5498,	       3150.1130,	       6864.3499 ; 		 //plane 2 point @16 
     -1784.2413,	      -4564.7722,	       6857.9549 ; 		 //plane 2 point @17 
      3149.4099,	      -4552.3281,	       6843.0019 ; 		 //plane 2 point @18 
      3126.8907,	       3166.4693,	       6849.3037 ; 		 //plane 2 point @19 
      1227.5603,	       8554.6013,	      -1459.6097 ; 		 //plane 3 point @20 
      3111.1762,	       8552.8682,	      -1467.8043 ; 		 //plane 3 point @21 
      3111.2546,	       8526.0078,	       5430.8477 ; 		 //plane 3 point @22 
      -617.8004,	       8529.6408,	       5395.2059 ; 		 //plane 3 point @23 
      -997.2161,	       8534.0691,	       4349.1807 ; 		 //plane 3 point @24 
       112.3443,	       8551.1109,	       -294.7679 ; 		 //plane 3 point @25 
      1227.5603,	       8554.6013,	      -1459.6097 ; 		 //plane 3 point @26 
      3126.8669,	       3174.6589,	       5424.3834 ; 		 //plane 4 point @27 
     -1830.5984,	       3158.6878,	       5376.9749 ; 		 //plane 4 point @28 
     -1838.5498,	       3150.1130,	       6864.3499 ; 		 //plane 4 point @29 
      3126.8907,	       3166.4693,	       6849.3037 ; 		 //plane 4 point @30 
      3126.8669,	       3174.6589,	       5424.3834 ; 		 //plane 4 point @31 
      3111.1762,	       8552.8682,	      -1467.8043 ; 		 //plane 5  NOT REORDER point @32 
      3149.4099,	      -4552.3281,	      -1486.4274 ; 		 //plane 5  NOT REORDER point @33 
      3111.2546,	       8526.0078,	       5430.8477 ; 		 //plane 5  NOT REORDER point @34 
      3126.8669,	       3174.6589,	       5424.3834 ; 		 //plane 5  NOT REORDER point @35 
      3126.8907,	       3166.4693,	       6849.3037 ; 		 //plane 5  NOT REORDER point @36 
      3149.4099,	      -4552.3281,	       6843.0019 ; 		 //plane 5  NOT REORDER point @37 
      3149.4099,	      -4552.3281,	       5415.0494 ; 		 //plane 5  NOT REORDER point @38 
     -2544.8455,	      -4566.6906,	      -1461.6823 ; 		 //plane 6  NOT REORDER point @39 
      3149.4099,	      -4552.3281,	      -1486.4274 ; 		 //plane 6  NOT REORDER point @40 
     -2924.2509,	      -4567.6476,	       -255.8070 ; 		 //plane 6  NOT REORDER point @41 
     -3413.4468,	      -4568.8815,	       1897.0411 ; 		 //plane 6  NOT REORDER point @42 
     -3406.1999,	      -4568.8632,	       4385.5755 ; 		 //plane 6  NOT REORDER point @43 
