   3111.1762000000,	    8552.8682000000,	   -1467.8043000000 ; 		 //plane 0 point @1 
   1227.5603000000,	    8554.6013000000,	   -1459.6097000000 ; 		 //plane 0 point @2 
  -1895.0163250000,	     -82.8147250000,	   -1456.9894000000 ; 		 //plane 0 point @3 
  -2544.8455000000,	   -4566.6906000000,	   -1461.6823000000 ; 		 //plane 0 point @4 
   3149.4099000000,	   -4552.3281000000,	   -1486.4274000000 ; 		 //plane 0 point @5 
   3111.1762000000,	    8552.8682000000,	   -1467.8043000000 ; 		 //plane 0 point @6 
   -617.8004000000,	    8529.6408000000,	    5395.2059000000 ; 		 //plane 1 point @7 
   3111.2546000000,	    8526.0078000000,	    5430.8477000000 ; 		 //plane 1 point @8 
   3126.8669000000,	    3174.6589000000,	    5424.3834000000 ; 		 //plane 1 point @9 
  -1830.5984000000,	    3158.6878000000,	    5376.9749000000 ; 		 //plane 1 point @10 
  -1776.2155000000,	   -4564.7519000000,	    5367.9497000000 ; 		 //plane 1 point @11 
   3149.4099000000,	   -4552.3281000000,	    6843.0019000000 ; 		 //plane 1 point @12 
  -3071.9540000000,	   -4568.0202000000,	    5355.5596000000 ; 		 //plane 1 point @13 
  -3008.0142000000,	    -248.2410000000,	    5361.5094000000 ; 		 //plane 1 point @14 
   3126.8907000000,	    3166.4693000000,	    6849.3037000000 ; 		 //plane 2 point @15 
  -1838.5498000000,	    3150.1130000000,	    6864.3499000000 ; 		 //plane 2 point @16 
  -1784.2413000000,	   -4564.7722000000,	    6857.9549000000 ; 		 //plane 2 point @17 
   3149.4099000000,	   -4552.3281000000,	    6843.0019000000 ; 		 //plane 2 point @18 
   3126.8907000000,	    3166.4693000000,	    6849.3037000000 ; 		 //plane 2 point @19 
   1227.5603000000,	    8554.6013000000,	   -1459.6097000000 ; 		 //plane 3 point @20 
   3111.1762000000,	    8552.8682000000,	   -1467.8043000000 ; 		 //plane 3 point @21 
   3111.2546000000,	    8526.0078000000,	    5430.8477000000 ; 		 //plane 3 point @22 
   -617.8004000000,	    8529.6408000000,	    5395.2059000000 ; 		 //plane 3 point @23 
   -997.2161000000,	    8534.0691000000,	    4349.1807000000 ; 		 //plane 3 point @24 
    101.5793666667,	    8550.7015666667,	    -187.0387666667 ; 		 //plane 3 point @25 
   1227.5603000000,	    8554.6013000000,	   -1459.6097000000 ; 		 //plane 3 point @26 
   3126.8669000000,	    3174.6589000000,	    5424.3834000000 ; 		 //plane 4 point @27 
  -1830.5984000000,	    3158.6878000000,	    5376.9749000000 ; 		 //plane 4 point @28 
  -1838.5498000000,	    3150.1130000000,	    6864.3499000000 ; 		 //plane 4 point @29 
   3126.8907000000,	    3166.4693000000,	    6849.3037000000 ; 		 //plane 4 point @30 
   3126.8669000000,	    3174.6589000000,	    5424.3834000000 ; 		 //plane 4 point @31 
   3149.4099000000,	   -4552.3281000000,	   -1486.4274000000 ; 		 //plane 5 point @32 
   3111.1762000000,	    8552.8682000000,	   -1467.8043000000 ; 		 //plane 5 point @33 
   3111.2546000000,	    8526.0078000000,	    5430.8477000000 ; 		 //plane 5 point @34 
   3126.8669000000,	    3174.6589000000,	    5424.3834000000 ; 		 //plane 5 point @35 
   3126.8907000000,	    3166.4693000000,	    6849.3037000000 ; 		 //plane 5 point @36 
   3149.4099000000,	   -4552.3281000000,	    6843.0019000000 ; 		 //plane 5 point @37 
   3149.4099000000,	   -4552.3281000000,	    6843.0019000000 ; 		 //plane 5 point @38 
   3149.4099000000,	   -4552.3281000000,	   -1486.4274000000 ; 		 //plane 6 point @39 
  -2544.8455000000,	   -4566.6906000000,	   -1461.6823000000 ; 		 //plane 6 point @40 
  -2924.2509000000,	   -4567.6476000000,	    -255.8070000000 ; 		 //plane 6 point @41 
  -3413.4468000000,	   -4568.8815000000,	    1897.0411000000 ; 		 //plane 6 point @42 
  -3578.7657000000,	   -4569.2984500000,	    3884.7882000000 ; 		 //plane 6 point @43 
  -3578.7657000000,	   -4569.2984500000,	    3884.7882000000 ; 		 //plane 6 point @44 
  -3071.9540000000,	   -4568.0202000000,	    5355.5596000000 ; 		 //plane 6 point @45 
  -1776.2155000000,	   -4564.7519000000,	    5367.9497000000 ; 		 //plane 6 point @46 
  -1784.2413000000,	   -4564.7722000000,	    6857.9549000000 ; 		 //plane 6 point @47 
   3149.4099000000,	   -4552.3281000000,	    6843.0019000000 ; 		 //plane 6 point @48 
   3149.4099000000,	   -4552.3281000000,	    6843.0019000000 ; 		 //plane 6 point @49 
   1227.5603000000,	    8554.6013000000,	   -1459.6097000000 ; 		 //plane 7 point @50 
  -1895.0163250000,	     -82.8147250000,	   -1456.9894000000 ; 		 //plane 7 point @51 
    101.5793666667,	    8550.7015666667,	    -187.0387666667 ; 		 //plane 7 point @52 
   1227.5603000000,	    8554.6013000000,	   -1459.6097000000 ; 		 //plane 7 point @53 
    101.5793666667,	    8550.7015666667,	    -187.0387666667 ; 		 //plane 8 point @54 
  -1895.0163250000,	     -82.8147250000,	   -1456.9894000000 ; 		 //plane 8 point @55 
  -2142.5069500000,	      24.6045000000,	    -626.2513500000 ; 		 //plane 8 point @56 
    101.5793666667,	    8550.7015666667,	    -187.0387666667 ; 		 //plane 8 point @57 
  -2544.8455000000,	   -4566.6906000000,	   -1461.6823000000 ; 		 //plane 9 point @58 
  -1895.0163250000,	     -82.8147250000,	   -1456.9894000000 ; 		 //plane 9 point @59 
  -2142.5069500000,	      24.6045000000,	    -626.2513500000 ; 		 //plane 9 point @60 
  -2924.2509000000,	   -4567.6476000000,	    -255.8070000000 ; 		 //plane 9 point @61 
  -2544.8455000000,	   -4566.6906000000,	   -1461.6823000000 ; 		 //plane 9 point @62 
    101.5793666667,	    8550.7015666667,	    -187.0387666667 ; 		 //plane 10 point @63 
