      3132.3254,	       8552.8487,	      -1467.8986 ; 		 //plane 0 point @1
      1227.5603,	       8554.6013,	      -1459.6098 ; 		 //plane 0 point @2
     -1893.5204,	        -83.9016,	      -1458.1983 ; 		 //plane 0 point @3
     -2544.8455,	      -4566.6906,	      -1461.6782 ; 		 //plane 0 point @4
      3170.7775,	      -4552.2742,	      -1486.5225 ; 		 //plane 0 point @5
      3132.3254,	       8552.8487,	      -1467.8986 ; 		 //plane 0 point @6
      -617.7928,	       8529.6409,	       5395.2078 ; 		 //plane 1  NOT REORDER point @7
      3132.4042,	       8525.9872,	       5431.0475 ; 		 //plane 1  NOT REORDER point @8
      3148.1055,	       3174.7274,	       5424.5842 ; 		 //plane 1  NOT REORDER point @9
     -1830.5908,	       3158.6878,	       5376.9782 ; 		 //plane 1  NOT REORDER point @10
     -1776.2079,	      -4564.7519,	       5367.9529 ; 		 //plane 1  NOT REORDER point @11
      3170.7775,	      -4552.2742,	       5415.2514 ; 		 //plane 1  NOT REORDER point @12
     -3071.9464,	      -4568.0201,	       5355.5642 ; 		 //plane 1  NOT REORDER point @13
     -3008.0066,	       -248.2409,	       5361.5140 ; 		 //plane 1  NOT REORDER point @14
      3148.1295,	       3166.5392,	       6849.2371 ; 		 //plane 2 point @15
     -1838.5405,	       3150.1130,	       6864.3532 ; 		 //plane 2 point @16
     -1784.2320,	      -4564.7722,	       6857.9581 ; 		 //plane 2 point @17
      3170.7775,	      -4552.2742,	       6842.9348 ; 		 //plane 2 point @18
      3148.1295,	       3166.5392,	       6849.2371 ; 		 //plane 2 point @19
      1227.5603,	       8554.6013,	      -1459.6098 ; 		 //plane 3 point @20
      3132.3254,	       8552.8487,	      -1467.8986 ; 		 //plane 3 point @21
      3132.4042,	       8525.9872,	       5431.0475 ; 		 //plane 3 point @22
      -617.7928,	       8529.6409,	       5395.2078 ; 		 //plane 3 point @23
      -997.2097,	       8534.0691,	       4349.1830 ; 		 //plane 3 point @24
       112.3456,	       8551.1109,	       -294.7668 ; 		 //plane 3 point @25
      1227.5603,	       8554.6013,	      -1459.6098 ; 		 //plane 3 point @26
      3148.1055,	       3174.7274,	       5424.5842 ; 		 //plane 4 point @27
     -1830.5908,	       3158.6878,	       5376.9782 ; 		 //plane 4 point @28
     -1838.5405,	       3150.1130,	       6864.3532 ; 		 //plane 4 point @29
      3148.1295,	       3166.5392,	       6849.2371 ; 		 //plane 4 point @30
      3148.1055,	       3174.7274,	       5424.5842 ; 		 //plane 4 point @31
      3170.7775,	      -4552.2742,	      -1486.5225 ; 		 //plane 5  NOT REORDER point @32
      3132.3254,	       8552.8487,	      -1467.8986 ; 		 //plane 5  NOT REORDER point @33
      3132.4042,	       8525.9872,	       5431.0475 ; 		 //plane 5  NOT REORDER point @34
      3148.1055,	       3174.7274,	       5424.5842 ; 		 //plane 5  NOT REORDER point @35
      3148.1295,	       3166.5392,	       6849.2371 ; 		 //plane 5  NOT REORDER point @36
      3170.7775,	      -4552.2742,	       6842.9348 ; 		 //plane 5  NOT REORDER point @37
      3170.7775,	      -4552.2742,	       5415.2514 ; 		 //plane 5  NOT REORDER point @38
       3170.7775,	      -4552.2742,	      -1486.5225 ; 		 //plane 6  NOT REORDER point @39
     -2544.8455,	      -4566.6906,	      -1461.6782 ; 		 //plane 6  NOT REORDER point @40
     -2924.2496,	      -4567.6476,	       -255.8025 ; 		 //plane 6  NOT REORDER point @41
     -3413.4430,	      -4568.8815,	       1897.0462 ; 		 //plane 6  NOT REORDER point @42
     -3406.1934,	      -4568.8632,	       4385.5805 ; 		 //plane 6  NOT REORDER point @43
     -3751.3261,	      -4569.7337,	       3384.0063 ; 		 //plane 6  NOT REORDER point @44
     -3071.9464,	      -4568.0201,	       5355.5642 ; 		 //plane 6  NOT REORDER point @45
     -1776.2079,	      -4564.7519,	       5367.9529 ; 		 //plane 6  NOT REORDER point @46
     -1784.2320,	      -4564.7722,	       6857.9581 ; 		 //plane 6  NOT REORDER point @47
      3170.7775,	      -4552.2742,	       6842.9348 ; 		 //plane 6  NOT REORDER point @48
      3170.7775,	      -4552.2742,	       5415.2514 ; 		 //plane 6  NOT REORDER point @49
      1227.5603,	       8554.6013,	      -1459.6098 ; 		 //plane 7 point @50
     -1902.0481,	       -107.5044,	      -1458.1944 ; 		 //plane 7 point @51
       172.2076,	       8551.2983,	       -357.2927 ; 		 //plane 7 point @52
      1227.5603,	       8554.6013,	      -1459.6098 ; 		 //plane 7 point @53
      3220.9738,	      21278.1116,	       1260.8260 ; 		 //plane 8 point @54
     -1892.9465,	        -69.5106,	      -1453.3638 ; 		 //plane 8 point @55
     -2114.1287,	         62.2501,	       -689.1418 ; 		 //plane 8 point @56
      3220.9738,	      21278.1116,	       1260.8260 ; 		 //plane 8 point @57
     -2544.8455,	      -4566.6906,	      -1461.6782 ; 		 //plane 9 point @58
     -1891.5503,	        -70.3423,	      -1458.1878 ; 		 //plane 9 point @59
     -2150.7935,	         84.0917,	       -562.4589 ; 		 //plane 9 point @60
     -2924.2496,	      -4567.6476,	       -255.8025 ; 		 //plane 9 point @61
     -2544.8455,	      -4566.6906,	      -1461.6782 ; 		 //plane 9 point @62
        20.1891,	       8549.6955,	         90.9465 ; 		 //plane 10 point @63
     -2137.3839,	        -30.2276,	       -697.6415 ; 		 //plane 10 point @64
     -3209.2864,	        412.5889,	       4316.3574 ; 		 //plane 10 point @65
      -997.2097,	       8534.0691,	       4349.1830 ; 		 //plane 10 point @66
        20.1891,	       8549.6955,	         90.9465 ; 		 //plane 10 point @67
     -2924.2496,	      -4567.6476,	       -255.8025 ; 		 //plane 11  NOT REORDER point @68
     -2167.7180,	        -17.6962,	       -555.7488 ; 		 //plane 11  NOT REORDER point @69
     -3266.3549,	        436.1646,	       4583.3043 ; 		 //plane 11  NOT REORDER point @70
     -3416.7255,	      -1115.9692,	       4211.4488 ; 		 //plane 11  NOT REORDER point @71
     -3751.3261,	      -4569.7337,	       3384.0063 ; 		 //plane 11  NOT REORDER point @72
     -3413.4430,	      -4568.8815,	       1897.0462 ; 		 //plane 11  NOT REORDER point @73
      -997.2097,	       8534.0691,	       4349.1830 ; 		 //plane 12 point @74
     -3367.8266,	       -169.4799,	       4314.0048 ; 		 //plane 12 point @75
     -3008.0066,	       -248.2409,	       5361.5140 ; 		 //plane 12 point @76
      -617.7928,	       8529.6409,	       5395.2078 ; 		 //plane 12 point @77
      -997.2097,	       8534.0691,	       4349.1830 ; 		 //plane 12 point @78
     -3751.3261,	      -4569.7337,	       3384.0063 ; 		 //plane 13  NOT REORDER point @79
     -3416.7255,	      -1115.9692,	       4211.4488 ; 		 //plane 13  NOT REORDER point @80
     -3325.9184,	       -178.6532,	       4436.0081 ; 		 //plane 13  NOT REORDER point @81
     -3008.0066,	       -248.2409,	       5361.5140 ; 		 //plane 13  NOT REORDER point @82
     -3071.9464,	      -4568.0201,	       5355.5642 ; 		 //plane 13  NOT REORDER point @83
     -3406.1934,	      -4568.8632,	       4385.5805 ; 		 //plane 13  NOT REORDER point @84
     -1830.5908,	       3158.6878,	       5376.9782 ; 		 //plane 14 point @85
     -1776.2079,	      -4564.7519,	       5367.9529 ; 		 //plane 14 point @86
     -1784.2320,	      -4564.7722,	       6857.9581 ; 		 //plane 14 point @87
     -1838.5405,	       3150.1130,	       6864.3532 ; 		 //plane 14 point @88
     -1830.5908,	       3158.6878,	       5376.9782 ; 		 //plane 14 point @89
     -3416.7255,	      -1115.9692,	       4211.4488 ; 		 //plane 15 point @90
     -3413.4430,	      -4568.8815,	       1897.0462 ; 		 //plane 15 point @91
     -3406.1934,	      -4568.8632,	       4385.5805 ; 		 //plane 15 point @92
     -3416.7255,	      -1115.9692,	       4211.4488 ; 		 //plane 15 point @93
