3132.3254000000,	    8552.8487000000,	   -1467.8986000000 ; 		 //plane 0 point @1
1227.5603000000,	    8554.6013000000,	   -1459.6098000000 ; 		 //plane 0 point @2
-1895.0163250000,	     -82.8147250000,	   -1456.9860750000 ; 		 //plane 0 point @3
-2544.8455000000,	   -4566.6906000000,	   -1461.6782000000 ; 		 //plane 0 point @4
3170.7775000000,	   -4552.2742000000,	   -1486.5225000000 ; 		 //plane 0 point @5
3132.3254000000,	    8552.8487000000,	   -1467.8986000000 ; 		 //plane 0 point @6
-617.7928000000,	    8529.6409000000,	    5395.2078000000 ; 		 //plane 1 point @7
3132.4042000000,	    8525.9872000000,	    5431.0475000000 ; 		 //plane 1 point @8
3148.1055000000,	    3174.7274000000,	    5424.5842000000 ; 		 //plane 1 point @9
-1830.5908000000,	    3158.6878000000,	    5376.9782000000 ; 		 //plane 1 point @10
-1776.2079000000,	   -4564.7519000000,	    5367.9529000000 ; 		 //plane 1 point @11
3170.7775000000,	   -4552.2742000000,	    6842.9348000000 ; 		 //plane 1 point @12
-3071.9464000000,	   -4568.0201000000,	    5355.5642000000 ; 		 //plane 1 point @13
-3008.0066000000,	    -248.2409000000,	    5361.5140000000 ; 		 //plane 1 point @14
3148.1295000000,	    3166.5392000000,	    6849.2371000000 ; 		 //plane 2 point @15
-1838.5405000000,	    3150.1130000000,	    6864.3532000000 ; 		 //plane 2 point @16
-1784.2320000000,	   -4564.7722000000,	    6857.9581000000 ; 		 //plane 2 point @17
3170.7775000000,	   -4552.2742000000,	    6842.9348000000 ; 		 //plane 2 point @18
3148.1295000000,	    3166.5392000000,	    6849.2371000000 ; 		 //plane 2 point @19
1227.5603000000,	    8554.6013000000,	   -1459.6098000000 ; 		 //plane 3 point @20
3132.3254000000,	    8552.8487000000,	   -1467.8986000000 ; 		 //plane 3 point @21
3132.4042000000,	    8525.9872000000,	    5431.0475000000 ; 		 //plane 3 point @22
-617.7928000000,	    8529.6409000000,	    5395.2078000000 ; 		 //plane 3 point @23
-997.2097000000,	    8534.0691000000,	    4349.1830000000 ; 		 //plane 3 point @24
 101.5807666667,	    8550.7015666667,	    -187.0376666667 ; 		 //plane 3 point @25
1227.5603000000,	    8554.6013000000,	   -1459.6098000000 ; 		 //plane 3 point @26
3148.1055000000,	    3174.7274000000,	    5424.5842000000 ; 		 //plane 4 point @27
-1830.5908000000,	    3158.6878000000,	    5376.9782000000 ; 		 //plane 4 point @28
-1838.5405000000,	    3150.1130000000,	    6864.3532000000 ; 		 //plane 4 point @29
3148.1295000000,	    3166.5392000000,	    6849.2371000000 ; 		 //plane 4 point @30
3148.1055000000,	    3174.7274000000,	    5424.5842000000 ; 		 //plane 4 point @31
3170.7775000000,	   -4552.2742000000,	   -1486.5225000000 ; 		 //plane 5 point @32
3132.3254000000,	    8552.8487000000,	   -1467.8986000000 ; 		 //plane 5 point @33
3132.4042000000,	    8525.9872000000,	    5431.0475000000 ; 		 //plane 5 point @34
3148.1055000000,	    3174.7274000000,	    5424.5842000000 ; 		 //plane 5 point @35
3148.1295000000,	    3166.5392000000,	    6849.2371000000 ; 		 //plane 5 point @36
3170.7775000000,	   -4552.2742000000,	    6842.9348000000 ; 		 //plane 5 point @37
3170.7775000000,	   -4552.2742000000,	    6842.9348000000 ; 		 //plane 5 point @38
3170.7775000000,	   -4552.2742000000,	   -1486.5225000000 ; 		 //plane 6 point @39
-2544.8455000000,	   -4566.6906000000,	   -1461.6782000000 ; 		 //plane 6 point @40
-2924.2496000000,	   -4567.6476000000,	    -255.8025000000 ; 		 //plane 6 point @41
-3413.4430000000,	   -4568.8815000000,	    1897.0462000000 ; 		 //plane 6 point @42
-3578.7597500000,	   -4569.2984500000,	    3884.7934000000 ; 		 //plane 6 point @43
-3578.7597500000,	   -4569.2984500000,	    3884.7934000000 ; 		 //plane 6 point @44
-3071.9464000000,	   -4568.0201000000,	    5355.5642000000 ; 		 //plane 6 point @45
-1776.2079000000,	   -4564.7519000000,	    5367.9529000000 ; 		 //plane 6 point @46
-1784.2320000000,	   -4564.7722000000,	    6857.9581000000 ; 		 //plane 6 point @47
3170.7775000000,	   -4552.2742000000,	    6842.9348000000 ; 		 //plane 6 point @48
3170.7775000000,	   -4552.2742000000,	    6842.9348000000 ; 		 //plane 6 point @49
1227.5603000000,	    8554.6013000000,	   -1459.6098000000 ; 		 //plane 7 point @50
-1895.0163250000,	     -82.8147250000,	   -1456.9860750000 ; 		 //plane 7 point @51
 101.5807666667,	    8550.7015666667,	    -187.0376666667 ; 		 //plane 7 point @52
1227.5603000000,	    8554.6013000000,	   -1459.6098000000 ; 		 //plane 7 point @53
 101.5807666667,	    8550.7015666667,	    -187.0376666667 ; 		 //plane 8 point @54
-1895.0163250000,	     -82.8147250000,	   -1456.9860750000 ; 		 //plane 8 point @55
-2142.5060250000,	      24.6045000000,	    -626.2477500000 ; 		 //plane 8 point @56
 101.5807666667,	    8550.7015666667,	    -187.0376666667 ; 		 //plane 8 point @57
-2544.8455000000,	   -4566.6906000000,	   -1461.6782000000 ; 		 //plane 9 point @58
-1895.0163250000,	     -82.8147250000,	   -1456.9860750000 ; 		 //plane 9 point @59
-2142.5060250000,	      24.6045000000,	    -626.2477500000 ; 		 //plane 9 point @60
-2924.2496000000,	   -4567.6476000000,	    -255.8025000000 ; 		 //plane 9 point @61
-2544.8455000000,	   -4566.6906000000,	   -1461.6782000000 ; 		 //plane 9 point @62
 101.5807666667,	    8550.7015666667,	    -187.0376666667 ; 		 //plane 10 point @63
-2142.5060250000,	      24.6045000000,	    -626.2477500000 ; 		 //plane 10 point @64
-3292.3465750000,	     125.1551000000,	    4412.4186500000 ; 		 //plane 10 point @65
-997.2097000000,	    8534.0691000000,	    4349.1830000000 ; 		 //plane 10 point @66
 101.5807666667,	    8550.7015666667,	    -187.0376666667 ; 		 //plane 10 point @67
