The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
   -29      -1486        0.014790             0.000007 
   -28      -1485        0.164970             0.000097 
   -27      -1484        0.477084             0.000418 
   -26      -1483        0.951135             0.001132 
   -25      -1482        1.587121             0.002402 
   -24      -1481        2.385043             0.004388 
   -23      -1480        3.344900             0.007253 
   -22      -1479        4.466693             0.011158 
   -21      -1478        5.750422             0.016267 
   -20      -1477        7.196086             0.022740 
   -19      -1476        8.803686             0.030740 
   -18      -1475       10.573222             0.040429 
   -17      -1474       12.504693             0.051967 
   -16      -1473       14.598100             0.065519 
   -15      -1472       16.853443             0.081245 
   -14      -1471       19.270721             0.099307 
   -13      -1470       21.849935             0.119867 
   -12      -1469       24.591085             0.143088 
   -11      -1468       27.494170             0.169130 
   -10      -1467       30.506874             0.198131 
    -9      -1466       33.522858             0.230146 
    -8      -1465       36.539024             0.265177 
    -7      -1464       39.555370             0.303224 
    -6      -1463       42.571898             0.344287 
    -5      -1462       45.588606             0.388368 
    -4      -1461       48.290298             0.435307 
    -3      -1460       50.660744             0.484783 
    -2      -1459       52.490414             0.536358 
    -1      -1458       53.525068             0.589366 
     0      -1457       53.880775             0.643069 
     1      -1456       53.889852             0.696954 
     2      -1455       53.898887             0.750849 
     3      -1454       53.907918             0.804752 
     4      -1453       53.916946             0.858664 
     5      -1452       53.925970             0.912586 
     6      -1451       53.934990             0.966516 
     7      -1450       53.944006             1.020456 
     8      -1449       53.953019             1.074404 
     9      -1448       53.962028             1.128362 
    10      -1447       53.971033             1.182328 
    11      -1446       53.980034             1.236304 
    12      -1445       53.989032             1.290288 
    13      -1444       53.998026             1.344282 
    14      -1443       54.007016             1.398284 
    15      -1442       54.016002             1.452296 
    16      -1441       54.024985             1.506316 
    17      -1440       54.033964             1.560346 
    18      -1439       54.042939             1.614384 
    19      -1438       54.051911             1.668432 
    20      -1437       54.060878             1.722488 
    21      -1436       54.069842             1.776554 
    22      -1435       54.078803             1.830628 
    23      -1434       54.087759             1.884711 
    24      -1433       54.096712             1.938803 
    25      -1432       54.105661             1.992905 
    26      -1431       54.114606             2.047015 
    27      -1430       54.123548             2.101134 
    28      -1429       54.132485             2.155262 
    29      -1428       54.141419             2.209399 
    30      -1427       54.150350             2.263545 
    31      -1426       54.159276             2.317699 
    32      -1425       54.168199             2.371863 
    33      -1424       54.177118             2.426036 
    34      -1423       54.186033             2.480217 
    35      -1422       54.194945             2.534408 
    36      -1421       54.203853             2.588607 
    37      -1420       54.212757             2.642816 
    38      -1419       54.221657             2.697033 
    39      -1418       54.230554             2.751259 
    40      -1417       54.239446             2.805494 
    41      -1416       54.248335             2.859738 
    42      -1415       54.257221             2.913991 
    43      -1414       54.266102             2.968252 
    44      -1413       54.274980             3.022523 
    45      -1412       54.283854             3.076802 
    46      -1411       54.292725             3.131091 
    47      -1410       54.301591             3.185388 
    48      -1409       54.310454             3.239694 
    49      -1408       54.319313             3.294009 
    50      -1407       54.328169             3.348332 
    51      -1406       54.337020             3.402665 
    52      -1405       54.345868             3.457006 
    53      -1404       54.354712             3.511357 
    54      -1403       54.363553             3.565716 
    55      -1402       54.372389             3.620084 
    56      -1401       54.381222             3.674461 
    57      -1400       54.390052             3.728846 
    58      -1399       54.398877             3.783241 
    59      -1398       54.407699             3.837644 
    60      -1397       54.416517             3.892056 
    61      -1396       54.425331             3.946477 
    62      -1395       54.434141             4.000907 
    63      -1394       54.442948             4.055345 
    64      -1393       54.451751             4.109793 
    65      -1392       54.460550             4.164249 
    66      -1391       54.469346             4.218714 
    67      -1390       54.478137             4.273187 
    68      -1389       54.486925             4.327670 
    69      -1388       54.495710             4.382161 
    70      -1387       54.504490             4.436661 
    71      -1386       54.513267             4.491170 
    72      -1385       54.522040             4.545688 
    73      -1384       54.530809             4.600214 
    74      -1383       54.539575             4.654750 
    75      -1382       54.548336             4.709294 
    76      -1381       54.557094             4.763846 
    77      -1380       54.565849             4.818408 
    78      -1379       54.574599             4.872978 
    79      -1378       54.583346             4.927557 
    80      -1377       54.592089             4.982145 
    81      -1376       54.600828             5.036741 
    82      -1375       54.609564             5.091346 
    83      -1374       54.618296             5.145960 
    84      -1373       54.627024             5.200583 
    85      -1372       54.635748             5.255214 
    86      -1371       54.644469             5.309854 
    87      -1370       54.653186             5.364503 
    88      -1369       54.661899             5.419161 
    89      -1368       54.670608             5.473827 
    90      -1367       54.679314             5.528502 
    91      -1366       54.688016             5.583186 
    92      -1365       54.696714             5.637878 
    93      -1364       54.705408             5.692579 
    94      -1363       54.714099             5.747289 
    95      -1362       54.722786             5.802007 
    96      -1361       54.731469             5.856734 
    97      -1360       54.740148             5.911470 
    98      -1359       54.748824             5.966215 
    99      -1358       54.757496             6.020968 
   100      -1357       54.766164             6.075730 
   101      -1356       54.774828             6.130500 
   102      -1355       54.783489             6.185279 
   103      -1354       54.792146             6.240067 
   104      -1353       54.800799             6.294864 
   105      -1352       54.809449             6.349669 
   106      -1351       54.818094             6.404482 
   107      -1350       54.826736             6.459305 
   108      -1349       54.835375             6.514136 
   109      -1348       54.844009             6.568976 
   110      -1347       54.852640             6.623824 
   111      -1346       54.861267             6.678681 
   112      -1345       54.869890             6.733547 
   113      -1344       54.878509             6.788421 
   114      -1343       54.887125             6.843304 
   115      -1342       54.895737             6.898195 
   116      -1341       54.904345             6.953095 
   117      -1340       54.912950             7.008004 
   118      -1339       54.921551             7.062921 
   119      -1338       54.930148             7.117847 
   120      -1337       54.938741             7.172781 
   121      -1336       54.947331             7.227724 
   122      -1335       54.955916             7.282676 
   123      -1334       54.964498             7.337636 
   124      -1333       54.973077             7.392605 
   125      -1332       54.981651             7.447582 
   126      -1331       54.990222             7.502568 
   127      -1330       54.998789             7.557563 
   128      -1329       55.007353             7.612566 
   129      -1328       55.015912             7.667577 
   130      -1327       55.024468             7.722598 
   131      -1326       55.033020             7.777626 
   132      -1325       55.041568             7.832664 
   133      -1324       55.050113             7.887709 
   134      -1323       55.058654             7.942764 
   135      -1322       55.067191             7.997827 
   136      -1321       55.075724             8.052898 
   137      -1320       55.084254             8.107978 
   138      -1319       55.092780             8.163067 
   139      -1318       55.101302             8.218164 
   140      -1317       55.109821             8.273269 
   141      -1316       55.118335             8.328383 
   142      -1315       55.126846             8.383506 
   143      -1314       55.135353             8.438637 
   144      -1313       55.143857             8.493777 
   145      -1312       55.152356             8.548925 
   146      -1311       55.160852             8.604081 
   147      -1310       55.169344             8.659246 
   148      -1309       55.177833             8.714420 
   149      -1308       55.186318             8.769602 
   150      -1307       55.194799             8.824793 
   151      -1306       55.203276             8.879992 
   152      -1305       55.211749             8.935199 
   153      -1304       55.220219             8.990415 
   154      -1303       55.228685             9.045640 
   155      -1302       55.237147             9.100873 
   156      -1301       55.245606             9.156114 
   157      -1300       55.254060             9.211364 
   158      -1299       55.262511             9.266622 
   159      -1298       55.270959             9.321889 
   160      -1297       55.279402             9.377164 
