Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.11118,	   8.55287,	  -1.46780
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.22756,	   8.55460,	  -1.45961
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.89502,	  -0.08281,	  -1.45699
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.54485,	  -4.56669,	  -1.46168
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.14941,	  -4.55233,	  -1.48643
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.11118,	   8.55287,	  -1.46780
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.61780,	   8.52964,	   5.39521
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.11125,	   8.52601,	   5.43085
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.12687,	   3.17466,	   5.42438
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.83060,	   3.15869,	   5.37697
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.77622,	  -4.56475,	   5.36795
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.07195,	  -4.56802,	   5.35556
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.00801,	  -0.24824,	   5.36151
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.61780,	   8.52964,	   5.39521
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.12689,	   3.16647,	   6.84930
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.83855,	   3.15011,	   6.86435
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.78424,	  -4.56477,	   6.85795
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.14941,	  -4.55233,	   6.84300
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.12689,	   3.16647,	   6.84930
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.22756,	   8.55460,	  -1.45961
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.11118,	   8.55287,	  -1.46780
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.11125,	   8.52601,	   5.43085
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.61780,	   8.52964,	   5.39521
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.99722,	   8.53407,	   4.34918
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.10158,	   8.55070,	  -0.18704
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.22756,	   8.55460,	  -1.45961
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.12687,	   3.17466,	   5.42438
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.83060,	   3.15869,	   5.37697
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.83855,	   3.15011,	   6.86435
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.12689,	   3.16647,	   6.84930
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.12687,	   3.17466,	   5.42438
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.14941,	  -4.55233,	  -1.48643
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.11118,	   8.55287,	  -1.46780
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.11125,	   8.52601,	   5.43085
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.12687,	   3.17466,	   5.42438
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.12689,	   3.16647,	   6.84930
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.14941,	  -4.55233,	   6.84300
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.14941,	  -4.55233,	  -1.48643
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.14941,	  -4.55233,	  -1.48643
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.54485,	  -4.56669,	  -1.46168
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.92425,	  -4.56765,	  -0.25581
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.41345,	  -4.56888,	   1.89704
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.57877,	  -4.56930,	   3.88479
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.07195,	  -4.56802,	   5.35556
46   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.77622,	  -4.56475,	   5.36795
47   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.78424,	  -4.56477,	   6.85795
48   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.14941,	  -4.55233,	   6.84300
49   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.14941,	  -4.55233,	  -1.48643
50   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.22756,	   8.55460,	  -1.45961
51   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.89502,	  -0.08281,	  -1.45699
52   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.10158,	   8.55070,	  -0.18704
53   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.22756,	   8.55460,	  -1.45961
54   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.10158,	   8.55070,	  -0.18704
55   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.89502,	  -0.08281,	  -1.45699
56   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.14251,	   0.02460,	  -0.62625
57   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.10158,	   8.55070,	  -0.18704
58   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.54485,	  -4.56669,	  -1.46168
59   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.89502,	  -0.08281,	  -1.45699
60   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.14251,	   0.02460,	  -0.62625
61   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.92425,	  -4.56765,	  -0.25581
62   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.54485,	  -4.56669,	  -1.46168
63   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.10158,	   8.55070,	  -0.18704
64   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.14251,	   0.02460,	  -0.62625
65   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.29235,	   0.12516,	   4.41241
66   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.99722,	   8.53407,	   4.34918
67   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.10158,	   8.55070,	  -0.18704
68   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.92425,	  -4.56765,	  -0.25581
69   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.14251,	   0.02460,	  -0.62625
70   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.29235,	   0.12516,	   4.41241
71   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.41673,	  -1.11597,	   4.21144
72   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.41345,	  -4.56888,	   1.89704
73   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.92425,	  -4.56765,	  -0.25581
74   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.99722,	   8.53407,	   4.34918
75   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.29235,	   0.12516,	   4.41241
76   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.00801,	  -0.24824,	   5.36151
77   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.61780,	   8.52964,	   5.39521
78   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.99722,	   8.53407,	   4.34918
79   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.57877,	  -4.56930,	   3.88479
80   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.41673,	  -1.11597,	   4.21144
81   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.29235,	   0.12516,	   4.41241
82   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.00801,	  -0.24824,	   5.36151
83   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.07195,	  -4.56802,	   5.35556
84   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.57877,	  -4.56930,	   3.88479
85   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.83060,	   3.15869,	   5.37697
86   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.77622,	  -4.56475,	   5.36795
87   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.78424,	  -4.56477,	   6.85795
88   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.83855,	   3.15011,	   6.86435
89   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.83060,	   3.15869,	   5.37697
90   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.41673,	  -1.11597,	   4.21144
91   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.41345,	  -4.56888,	   1.89704
92   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.57877,	  -4.56930,	   3.88479
93   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.41673,	  -1.11597,	   4.21144
