   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,    0 00 04 ,   89 48 06,          0,      0.000,      0.000,            0,            0,          0
2               ,  359 56 35 ,   89 47 50,      8.523,      0.000,      0.000,       -0.008,        8.523,      0.030
3               ,  330 37 27 ,  127 13 51,      2.378,      0.000,      0.000,       -0.929,        1.650,     -1.439
4               ,  329 09 18 ,   16 35 52,      7.187,      0.000,      0.000,       -1.053,        1.763,      6.887
5               ,  340 49 14 ,   98 40 22,      9.146,      0.000,      0.000,       -2.970,        8.539,     -1.379
6               ,  340 49 14 ,   93 48 53,      9.058,      0.000,      0.000,       -2.969,        8.536,     -0.603
7               ,  340 49 19 ,   90 20 57,      9.037,      0.000,      0.000,       -2.969,        8.535,     -0.055
8               ,  340 49 17 ,   84 58 17,      9.074,      0.000,      0.000,       -2.969,        8.537,      0.795
9               ,  341 08 08 ,   80 12 22,      9.172,      0.000,      0.000,       -2.922,        8.553,      1.560
10              ,  341 08 09 ,   74 35 52,      9.368,      0.000,      0.000,       -2.920,        8.547,      2.488
11              ,  341 08 15 ,   70 48 39,      9.560,      0.000,      0.000,       -2.919,        8.544,      3.142
12              ,  341 08 13 ,   66 16 23,      9.860,      0.000,      0.000,       -2.918,        8.542,      3.968
13              ,  341 08 16 ,   64 02 22,     10.035,      0.000,      0.000,       -2.917,        8.538,      4.393
14              ,  341 08 10 ,   59 28 03,     10.470,      0.000,      0.000,       -2.916,        8.534,      5.319
15              ,  347 44 11 ,   98 45 03,      8.833,      0.000,      0.000,       -1.854,        8.531,     -1.344
16              ,  347 44 13 ,   92 05 53,      8.739,      0.000,      0.000,       -1.855,        8.534,     -0.320
17              ,  347 44 12 ,   85 39 50,      8.758,      0.000,      0.000,       -1.855,        8.533,      0.662
18              ,  347 44 12 ,   80 13 37,      8.866,      0.000,      0.000,       -1.856,        8.538,      1.505
19              ,  347 44 09 ,   75 24 22,      9.032,      0.000,      0.000,       -1.857,        8.541,      2.276
20              ,  347 44 14 ,   71 10 13,      9.235,      0.000,      0.000,       -1.856,        8.541,      2.980
21              ,  347 44 15 ,   66 13 39,      9.549,      0.000,      0.000,       -1.856,        8.540,      3.849
22              ,  347 44 18 ,   62 46 45,      9.825,      0.000,      0.000,       -1.855,        8.538,      4.494
23              ,  347 44 14 ,   58 58 51,     10.186,      0.000,      0.000,       -1.854,        8.530,      5.249
24              ,  352 18 31 ,   98 58 30,      8.710,      0.000,      0.000,       -1.151,        8.526,     -1.359
25              ,  352 18 35 ,   90 33 31,      8.609,      0.000,      0.000,       -1.152,        8.531,     -0.084
26              ,  352 18 34 ,   83 51 14,      8.655,      0.000,      0.000,       -1.152,        8.528,      0.927
27              ,  352 18 33 ,   79 56 58,      8.745,      0.000,      0.000,       -1.152,        8.533,      1.526
28              ,  352 18 35 ,   74 28 31,      8.942,      0.000,      0.000,       -1.153,        8.538,      2.393
29              ,  352 18 36 ,   70 06 51,      9.157,      0.000,      0.000,       -1.152,        8.534,      3.115
30              ,  352 18 34 ,   65 07 16,      9.488,      0.000,      0.000,       -1.152,        8.531,      3.992
31              ,  352 18 39 ,   62 19 47,      9.717,      0.000,      0.000,       -1.151,        8.528,      4.512
32              ,  352 18 34 ,   58 29 46,     10.089,      0.000,      0.000,       -1.151,        8.525,      5.272
33              ,  358 48 25 ,   92 09 22,      8.527,      0.000,      0.000,       -0.177,        8.519,     -0.321
34              ,  358 48 24 ,   86 47 02,      8.544,      0.000,      0.000,       -0.178,        8.529,      0.479
35              ,  358 48 27 ,   80 33 31,      8.645,      0.000,      0.000,       -0.177,        8.526,      1.418
36              ,  358 48 22 ,   74 56 43,      8.838,      0.000,      0.000,       -0.178,        8.533,      2.296
37              ,  358 48 23 ,   70 20 34,      9.058,      0.000,      0.000,       -0.178,        8.528,      3.047
38              ,  358 48 20 ,   65 02 12,      9.411,      0.000,      0.000,       -0.178,        8.530,      3.972
39              ,  358 48 15 ,   62 16 43,      9.633,      0.000,      0.000,       -0.178,        8.526,      4.481
40              ,  358 48 22 ,   58 27 06,      9.999,      0.000,      0.000,       -0.178,        8.520,      5.232
41              ,    1 41 14 ,   81 57 25,      8.611,      0.000,      0.000,        0.251,        8.523,      1.205
42              ,    1 41 12 ,   76 57 03,      8.753,      0.000,      0.000,        0.251,        8.524,      1.976
43              ,    1 41 13 ,   71 14 06,      9.009,      0.000,      0.000,        0.251,        8.526,      2.898
44              ,    1 41 10 ,   60 37 59,      9.788,      0.000,      0.000,        0.251,        8.527,      4.800
45              ,    1 41 14 ,   58 12 38,     10.030,      0.000,      0.000,        0.251,        8.521,      5.284
46              ,    4 08 32 ,   72 22 33,      8.963,      0.000,      0.000,        0.617,        8.520,      2.714
47              ,    4 08 29 ,   62 45 08,      9.610,      0.000,      0.000,        0.617,        8.522,      4.400
48              ,    4 08 36 ,   58 29 38,     10.013,      0.000,      0.000,        0.617,        8.515,      5.233
49              ,    6 23 30 ,   61 39 05,      9.742,      0.000,      0.000,        0.954,        8.520,      4.626
50              ,    5 26 43 ,   58 20 00,     10.047,      0.000,      0.000,        0.812,        8.513,      5.275
51              ,   27 49 17 ,   32 35 13,      6.650,      0.000,      0.000,        1.671,        3.167,      5.603
52              ,   27 49 20 ,   30 17 58,      7.100,      0.000,      0.000,        1.672,        3.168,      6.130
53              ,   27 49 01 ,   28 20 38,      7.558,      0.000,      0.000,        1.675,        3.174,      6.652
54              ,    8 07 15 ,   29 31 15,      6.498,      0.000,      0.000,        0.452,        3.170,      5.655
55              ,    8 07 17 ,   27 37 04,      6.908,      0.000,      0.000,        0.452,        3.170,      6.121
56              ,    8 07 10 ,   25 45 17,      7.401,      0.000,      0.000,        0.454,        3.184,      6.666
57              ,  355 10 33 ,   29 51 47,      6.397,      0.000,      0.000,       -0.268,        3.174,      5.548
58              ,  355 10 38 ,   27 33 07,      6.888,      0.000,      0.000,       -0.268,        3.175,      6.107
59              ,  355 10 34 ,   25 39 32,      7.374,      0.000,      0.000,       -0.268,        3.182,      6.647
60              ,  339 58 42 ,   30 54 20,      6.590,      0.000,      0.000,       -1.159,        3.180,      5.654
61              ,  339 58 43 ,   28 28 05,      7.102,      0.000,      0.000,       -1.159,        3.181,      6.243
62              ,  339 58 36 ,   26 37 58,      7.586,      0.000,      0.000,       -1.164,        3.195,      6.781
63              ,  330 53 45 ,   32 32 04,      6.772,      0.000,      0.000,       -1.771,        3.182,      5.709
64              ,  330 53 50 ,   30 00 18,      7.280,      0.000,      0.000,       -1.771,        3.181,      6.304
65              ,  330 53 44 ,   28 22 13,      7.660,      0.000,      0.000,       -1.770,        3.180,      6.740
66              ,  320 12 34 ,   36 25 11,      6.992,      0.000,      0.000,       -2.657,        3.190,      5.626
67              ,  320 12 36 ,   33 56 08,      7.426,      0.000,      0.000,       -2.653,        3.186,      6.161
68              ,  320 12 49 ,   31 31 53,      7.928,      0.000,      0.000,       -2.653,        3.186,      6.757
69              ,  353 59 57 ,   99 28 20,      8.262,      0.000,      0.000,       -0.852,        8.105,     -1.360
70              ,  356 22 55 ,   96 44 25,      8.282,      0.000,      0.000,       -0.519,        8.208,     -0.972
71              ,  359 29 54 ,   93 28 55,      8.199,      0.000,      0.000,       -0.072,        8.184,     -0.498
72              ,    4 06 26 ,   97 07 53,      6.055,      0.000,      0.000,        0.430,        5.993,     -0.752
73              ,   12 36 50 ,  102 45 43,      4.353,      0.000,      0.000,        0.927,        4.143,     -0.962
74              ,   23 40 15 ,  110 16 07,      3.265,      0.000,      0.000,        1.230,        2.806,     -1.131
75              ,   46 37 31 ,  120 44 15,      2.505,      0.000,      0.000,        1.565,        1.479,     -1.281
76              ,   73 36 29 ,  126 14 25,      2.345,      0.000,      0.000,        1.814,        0.534,     -1.386
77              ,   41 00 28 ,  123 15 05,      2.560,      0.000,      0.000,        1.405,        1.615,     -1.403
78              ,   21 28 24 ,  116 15 03,      3.161,      0.000,      0.000,        1.038,        2.638,     -1.398
79              ,   12 33 14 ,  111 12 26,      3.818,      0.000,      0.000,        0.774,        3.474,     -1.381
80              ,    6 01 49 ,  107 50 03,      4.562,      0.000,      0.000,        0.456,        4.319,     -1.397
81              ,    1 32 49 ,  104 49 43,      5.410,      0.000,      0.000,        0.141,        5.228,     -1.385
