Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.08618,	  -4.56915,	  -1.45911
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.03541,	   8.54161,	  -1.43300
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.10200,	   8.53049,	  -1.43155
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.98265,	  -0.08145,	  -1.44631
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.65953,	  -4.58258,	  -1.45475
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.08618,	  -4.56915,	  -1.45911
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.03553,	   8.51191,	   5.47831
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.82873,	   8.48990,	   5.42806
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05627,	   3.15423,	   5.46732
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.92780,	   3.13483,	   5.40252
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.87581,	  -4.58075,	   5.38698
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.08618,	  -4.56915,	   5.45147
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.15877,	  -4.58375,	   5.37030
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.12811,	  -0.38555,	   5.37952
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05626,	   3.15635,	   6.88193
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.91855,	   3.13709,	   6.88375
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.86655,	  -4.58073,	   6.86780
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.08618,	  -4.56915,	   6.86597
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05626,	   3.15635,	   6.88193
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.10200,	   8.53049,	  -1.43155
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.03541,	   8.54161,	  -1.43300
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.03553,	   8.51191,	   5.47831
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.82873,	   8.48990,	   5.42806
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.14054,	   8.49229,	   4.45637
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.00902,	   8.51917,	  -0.26044
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.10200,	   8.53049,	  -1.43155
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05627,	   3.15423,	   5.46732
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.92780,	   3.13483,	   5.40252
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.91855,	   3.13709,	   6.88375
