     -3035.4126,	       8541.6112,	      -1433.0029 ; 		 //plane 0 point @1 
     -1102.0040,	       8530.4859,	      -1431.5470 ; 		 //plane 0 point @2 
      1982.6491,	        -81.4457,	      -1446.3132 ; 		 //plane 0 point @3 
      2659.5298,	      -4582.5849,	      -1454.7460 ; 		 //plane 0 point @4 
     -3086.1785,	      -4569.1521,	      -1459.1118 ; 		 //plane 0 point @5 
     -3035.4126,	       8541.6112,	      -1433.0029 ; 		 //plane 0 point @6 
     -3035.5276,	       8511.9099,	       5478.3145 ; 		 //plane 1  NOT REORDER point @7 
       828.7324,	       8489.9026,	       5428.0594 ; 		 //plane 1  NOT REORDER point @8 
     -3056.2730,	       3154.2265,	       5467.3203 ; 		 //plane 1  NOT REORDER point @9 
      1927.7999,	       3134.8279,	       5402.5209 ; 		 //plane 1  NOT REORDER point @10 
      1875.8142,	      -4580.7527,	       5386.9755 ; 		 //plane 1  NOT REORDER point @11 
     -3086.1785,	      -4569.1521,	       5451.4716 ; 		 //plane 1  NOT REORDER point @12 
      3158.7707,	      -4583.7521,	       5370.2995 ; 		 //plane 1  NOT REORDER point @13 
      3128.1133,	       -385.5502,	       5379.5240 ; 		 //plane 1  NOT REORDER point @14 
     -3056.2648,	       3156.3479,	       6881.9301 ; 		 //plane 2 point @15 
      1918.5523,	       3137.0850,	       6883.7524 ; 		 //plane 2 point @16 
      1866.5541,	      -4580.7310,	       6867.7966 ; 		 //plane 2 point @17 
     -3086.1785,	      -4569.1521,	       6865.9668 ; 		 //plane 2 point @18 
     -3056.2648,	       3156.3479,	       6881.9301 ; 		 //plane 2 point @19 
     -1102.0040,	       8530.4859,	      -1431.5470 ; 		 //plane 3 point @20 
     -3035.4126,	       8541.6112,	      -1433.0029 ; 		 //plane 3 point @21 
     -3035.5276,	       8511.9099,	       5478.3145 ; 		 //plane 3 point @22 
       828.7324,	       8489.9026,	       5428.0594 ; 		 //plane 3 point @23 
      1140.5359,	       8492.2853,	       4456.3705 ; 		 //plane 3 point @24 
        -9.0159,	       8519.1673,	       -260.4361 ; 		 //plane 3 point @25 
     -1102.0040,	       8530.4859,	      -1431.5470 ; 		 //plane 3 point @26 
     -3056.2730,	       3154.2265,	       5467.3203 ; 		 //plane 4 point @27 
      1927.7999,	       3134.8279,	       5402.5209 ; 		 //plane 4 point @28 
      1918.5523,	       3137.0850,	       6883.7524 ; 		 //plane 4 point @29 
     -3056.2648,	       3156.3479,	       6881.9301 ; 		 //plane 4 point @30 
     -3056.2730,	       3154.2265,	       5467.3203 ; 		 //plane 4 point @31 
     -3035.4126,	       8541.6112,	      -1433.0029 ; 		 //plane 5  NOT REORDER point @32 
     -3086.1785,	      -4569.1521,	      -1459.1118 ; 		 //plane 5  NOT REORDER point @33 
     -3035.5276,	       8511.9099,	       5478.3145 ; 		 //plane 5  NOT REORDER point @34 
     -3056.2730,	       3154.2265,	       5467.3203 ; 		 //plane 5  NOT REORDER point @35 
     -3056.2648,	       3156.3479,	       6881.9301 ; 		 //plane 5  NOT REORDER point @36 
     -3086.1785,	      -4569.1521,	       6865.9668 ; 		 //plane 5  NOT REORDER point @37 
     -3086.1785,	      -4569.1521,	       5451.4716 ; 		 //plane 5  NOT REORDER point @38 
      2659.5298,	      -4582.5849,	      -1454.7460 ; 		 //plane 6  NOT REORDER point @39 
     -3086.1785,	      -4569.1521,	      -1459.1118 ; 		 //plane 6  NOT REORDER point @40 
      2897.9500,	      -4583.1423,	       -683.4882 ; 		 //plane 6  NOT REORDER point @41 
      3481.2037,	      -4584.5059,	       1841.6708 ; 		 //plane 6  NOT REORDER point @42 
      3487.0144,	      -4584.5195,	       4387.9000 ; 		 //plane 6  NOT REORDER point @43 
      3831.3134,	      -4585.3244,	       3357.4483 ; 		 //plane 6  NOT REORDER point @44 
      3158.7707,	      -4583.7521,	       5370.2995 ; 		 //plane 6  NOT REORDER point @45 
      1875.8142,	      -4580.7527,	       5386.9755 ; 		 //plane 6  NOT REORDER point @46 
      1866.5541,	      -4580.7310,	       6867.7966 ; 		 //plane 6  NOT REORDER point @47 
     -3086.1785,	      -4569.1521,	       6865.9668 ; 		 //plane 6  NOT REORDER point @48 
     -3086.1785,	      -4569.1521,	       5451.4716 ; 		 //plane 6  NOT REORDER point @49 
     -1102.0040,	       8530.4859,	      -1431.5470 ; 		 //plane 7 point @50 
      1982.1824,	        -80.1425,	      -1446.3109 ; 		 //plane 7 point @51 
       -64.1186,	       8519.7379,	       -319.4774 ; 		 //plane 7 point @52 
     -1102.0040,	       8530.4859,	      -1431.5470 ; 		 //plane 7 point @53 
     -7384.0852,	      39282.9726,	       3711.3977 ; 		 //plane 8 point @54 
      1982.6877,	        -82.2664,	      -1446.5892 ; 		 //plane 8 point @55 
