  -3035.4126000000,	    8541.6112000000,	   -1433.0029000000 ; 		 //plane 0 point @1
  -1102.0040000000,	    8530.4859000000,	   -1431.5470000000 ; 		 //plane 0 point @2
   1982.5726750000,	     -81.5285500000,	   -1446.3820000000 ; 		 //plane 0 point @3
   2659.5298000000,	   -4582.5849000000,	   -1454.7460000000 ; 		 //plane 0 point @4
  -3086.1785000000,	   -4569.1521000000,	   -1459.1118000000 ; 		 //plane 0 point @5
  -3035.4126000000,	    8541.6112000000,	   -1433.0029000000 ; 		 //plane 0 point @6
  -3035.5276000000,	    8511.9099000000,	    5478.3145000000 ; 		 //plane 1 point @8
    828.7324000000,	    8489.9026000000,	    5428.0594000000 ; 		 //plane 1 point @7
  -3056.2730000000,	    3154.2265000000,	    5467.3203000000 ; 		 //plane 1 point @9
   1927.7999000000,	    3134.8279000000,	    5402.5209000000 ; 		 //plane 1 point @10
   1875.8142000000,	   -4580.7527000000,	    5386.9755000000 ; 		 //plane 1 point @11
 1875.8142000000,	   -4580.7527000000,	    5386.9755000000 ; 		 //plane 1 point @12
   3158.7707000000,	   -4583.7521000000,	    5370.2995000000 ; 		 //plane 1 point @13
   3128.1133000000,	    -385.5502000000,	    5379.5240000000 ; 		 //plane 1 point @14
  -3056.2648000000,	    3156.3479000000,	    6881.9301000000 ; 		 //plane 2 point @15
   1918.5523000000,	    3137.0850000000,	    6883.7524000000 ; 		 //plane 2 point @16
   1866.5541000000,	   -4580.7310000000,	    6867.7966000000 ; 		 //plane 2 point @17
  -3086.1785000000,	   -4569.1521000000,	    6865.9668000000 ; 		 //plane 2 point @18
  -3056.2648000000,	    3156.3479000000,	    6881.9301000000 ; 		 //plane 2 point @19
  -1102.0040000000,	    8530.4859000000,	   -1431.5470000000 ; 		 //plane 3 point @20
  -3035.4126000000,	    8541.6112000000,	   -1433.0029000000 ; 		 //plane 3 point @21
  -3035.5276000000,	    8511.9099000000,	    5478.3145000000 ; 		 //plane 3 point @22
    828.7324000000,	    8489.9026000000,	    5428.0594000000 ; 		 //plane 3 point @23
   1140.5359000000,	    8492.2853000000,	    4456.3705000000 ; 		 //plane 3 point @24
     14.9515333333,	    8518.3675000000,	    -106.4088333333 ; 		 //plane 3 point @25
  -1102.0040000000,	    8530.4859000000,	   -1431.5470000000 ; 		 //plane 3 point @26
  -3056.2730000000,	    3154.2265000000,	    5467.3203000000 ; 		 //plane 4 point @27
   1927.7999000000,	    3134.8279000000,	    5402.5209000000 ; 		 //plane 4 point @28
   1918.5523000000,	    3137.0850000000,	    6883.7524000000 ; 		 //plane 4 point @29
  -3056.2648000000,	    3156.3479000000,	    6881.9301000000 ; 		 //plane 4 point @30
  -3056.2730000000,	    3154.2265000000,	    5467.3203000000 ; 		 //plane 4 point @31
  -3035.4126000000,	    8541.6112000000,	   -1433.0029000000 ; 		 //plane 5 point @33
  -3086.1785000000,	   -4569.1521000000,	   -1459.1118000000 ; 		 //plane 5 point @32
  -3035.5276000000,	    8511.9099000000,	    5478.3145000000 ; 		 //plane 5 point @34
  -3056.2730000000,	    3154.2265000000,	    5467.3203000000 ; 		 //plane 5 point @35
  -3056.2648000000,	    3156.3479000000,	    6881.9301000000 ; 		 //plane 5 point @36
  -3086.1785000000,	   -4569.1521000000,	    6865.9668000000 ; 		 //plane 5 point @37
  -3086.1785000000,	   -4569.1521000000,	    6865.9668000000 ; 		 //plane 5 point @38
   2659.5298000000,	   -4582.5849000000,	   -1454.7460000000 ; 		 //plane 6 point @40
  -3086.1785000000,	   -4569.1521000000,	   -1459.1118000000 ; 		 //plane 6 point @39
   2897.9500000000,	   -4583.1423000000,	    -683.4882000000 ; 		 //plane 6 point @41
   3481.2037000000,	   -4584.5059000000,	    1841.6708000000 ; 		 //plane 6 point @42
   3659.1639000000,	   -4584.9219500000,	    3872.6741500000 ; 		 //plane 6 point @43
   3659.1639000000,	   -4584.9219500000,	    3872.6741500000 ; 		 //plane 6 point @44
   3158.7707000000,	   -4583.7521000000,	    5370.2995000000 ; 		 //plane 6 point @45
   1875.8142000000,	   -4580.7527000000,	    5386.9755000000 ; 		 //plane 6 point @46
   1866.5541000000,	   -4580.7310000000,	    6867.7966000000 ; 		 //plane 6 point @47
  -3086.1785000000,	   -4569.1521000000,	    6865.9668000000 ; 		 //plane 6 point @48
  -3086.1785000000,	   -4569.1521000000,	    6865.9668000000 ; 		 //plane 6 point @49
  -1102.0040000000,	    8530.4859000000,	   -1431.5470000000 ; 		 //plane 7 point @50
   1982.5726750000,	     -81.5285500000,	   -1446.3820000000 ; 		 //plane 7 point @51
     14.9515333333,	    8518.3675000000,	    -106.4088333333 ; 		 //plane 7 point @52
  -1102.0040000000,	    8530.4859000000,	   -1431.5470000000 ; 		 //plane 7 point @53
     14.9515333333,	    8518.3675000000,	    -106.4088333333 ; 		 //plane 8 point @54
   1982.5726750000,	     -81.5285500000,	   -1446.3820000000 ; 		 //plane 8 point @55
   2278.2402500000,	    -156.6105250000,	    -547.6179250000 ; 		 //plane 8 point @56
     14.9515333333,	    8518.3675000000,	    -106.4088333333 ; 		 //plane 8 point @57
   2659.5298000000,	   -4582.5849000000,	   -1454.7460000000 ; 		 //plane 9 point @58
   1982.5726750000,	     -81.5285500000,	   -1446.3820000000 ; 		 //plane 9 point @59
   2278.2402500000,	    -156.6105250000,	    -547.6179250000 ; 		 //plane 9 point @60
   2897.9500000000,	   -4583.1423000000,	    -683.4882000000 ; 		 //plane 9 point @61
   2659.5298000000,	   -4582.5849000000,	   -1454.7460000000 ; 		 //plane 9 point @62
     14.9515333333,	    8518.3675000000,	    -106.4088333333 ; 		 //plane 10 point @63
   2278.2402500000,	    -156.6105250000,	    -547.6179250000 ; 		 //plane 10 point @64
   3430.6470500000,	    -123.7381500000,	    4352.3514250000 ; 		 //plane 10 point @65
   1140.5359000000,	    8492.2853000000,	    4456.3705000000 ; 		 //plane 10 point @66
     14.9515333333,	    8518.3675000000,	    -106.4088333333 ; 		 //plane 10 point @67
   2897.9500000000,	   -4583.1423000000,	    -683.4882000000 ; 		 //plane 11 point @68
   2278.2402500000,	    -156.6105250000,	    -547.6179250000 ; 		 //plane 11 point @69
   3430.6470500000,	    -123.7381500000,	    4352.3514250000 ; 		 //plane 11 point @70
   3505.2820000000,	    -914.3905000000,	    4261.0759000000 ; 		 //plane 11 point @71
