Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05643,	   8.54173,	  -1.43303
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.10200,	   8.53049,	  -1.43155
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.98257,	  -0.08153,	  -1.44636
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.65953,	  -4.58258,	  -1.45472
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.10761,	  -4.56910,	  -1.45914
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05643,	   8.54173,	  -1.43303
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.82869,	   8.48990,	   5.42807
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05654,	   8.51203,	   5.47857
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.07746,	   3.15431,	   5.46758
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.92775,	   3.13483,	   5.40254
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.87577,	  -4.58075,	   5.38699
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.15872,	  -4.58375,	   5.37033
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.12807,	  -0.38555,	   5.37955
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.82869,	   8.48990,	   5.42807
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.07745,	   3.15643,	   6.88191
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.91850,	   3.13709,	   6.88377
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.86650,	  -4.58073,	   6.86782
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.10761,	  -4.56910,	   6.86594
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.07745,	   3.15643,	   6.88191
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.10200,	   8.53049,	  -1.43155
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05643,	   8.54173,	  -1.43303
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05654,	   8.51203,	   5.47857
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.82869,	   8.48990,	   5.42807
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.14050,	   8.49229,	   4.45638
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.01494,	   8.51837,	  -0.10640
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.10200,	   8.53049,	  -1.43155
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.07746,	   3.15431,	   5.46758
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.92775,	   3.13483,	   5.40254
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.91850,	   3.13709,	   6.88377
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.07745,	   3.15643,	   6.88191
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.07746,	   3.15431,	   5.46758
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.10761,	  -4.56910,	  -1.45914
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05643,	   8.54173,	  -1.43303
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05654,	   8.51203,	   5.47857
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.07746,	   3.15431,	   5.46758
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.07745,	   3.15643,	   6.88191
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.10761,	  -4.56910,	   6.86594
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.10761,	  -4.56910,	  -1.45914
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.10761,	  -4.56910,	  -1.45914
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.65953,	  -4.58258,	  -1.45472
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.89794,	  -4.58314,	  -0.68346
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.48118,	  -4.58451,	   1.84170
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.65913,	  -4.58492,	   3.87271
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.15872,	  -4.58375,	   5.37033
46   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.87577,	  -4.58075,	   5.38699
47   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.86650,	  -4.58073,	   6.86782
48   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.10761,	  -4.56910,	   6.86594
49   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.10761,	  -4.56910,	  -1.45914
50   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.10200,	   8.53049,	  -1.43155
51   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.98257,	  -0.08153,	  -1.44636
52   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.01494,	   8.51837,	  -0.10640
53   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.10200,	   8.53049,	  -1.43155
54   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.01494,	   8.51837,	  -0.10640
55   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.98257,	  -0.08153,	  -1.44636
56   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.27823,	  -0.15661,	  -0.54760
57   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.01494,	   8.51837,	  -0.10640
58   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.65953,	  -4.58258,	  -1.45472
59   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.98257,	  -0.08153,	  -1.44636
60   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.27823,	  -0.15661,	  -0.54760
61   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.89794,	  -4.58314,	  -0.68346
62   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.65953,	  -4.58258,	  -1.45472
63   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.01494,	   8.51837,	  -0.10640
64   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.27823,	  -0.15661,	  -0.54760
65   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.43061,	  -0.12374,	   4.35238
66   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.14050,	   8.49229,	   4.45638
67   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.01494,	   8.51837,	  -0.10640
68   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.89794,	  -4.58314,	  -0.68346
69   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.27823,	  -0.15661,	  -0.54760
70   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.43061,	  -0.12374,	   4.35238
71   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50524,	  -0.91439,	   4.26111
72   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.48118,	  -4.58451,	   1.84170
73   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.89794,	  -4.58314,	  -0.68346
74   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.14050,	   8.49229,	   4.45638
75   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.43061,	  -0.12374,	   4.35238
76   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.12807,	  -0.38555,	   5.37955
77   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.82869,	   8.48990,	   5.42807
78   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.14050,	   8.49229,	   4.45638
79   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.65913,	  -4.58492,	   3.87271
80   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50524,	  -0.91439,	   4.26111
81   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.43061,	  -0.12374,	   4.35238
82   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.12807,	  -0.38555,	   5.37955
83   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.15872,	  -4.58375,	   5.37033
84   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.65913,	  -4.58492,	   3.87271
85   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.92775,	   3.13483,	   5.40254
86   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.87577,	  -4.58075,	   5.38699
87   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.86650,	  -4.58073,	   6.86782
88   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.91850,	   3.13709,	   6.88377
89   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.92775,	   3.13483,	   5.40254
90   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50524,	  -0.91439,	   4.26111
91   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.48118,	  -4.58451,	   1.84170
92   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.65913,	  -4.58492,	   3.87271
93   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50524,	  -0.91439,	   4.26111
