  -3056.4264000000,	    8541.7321000000,	   -1433.0335000000 ; 		 //plane 0 point @1 
  -1102.0039000000,	    8530.4859000000,	   -1431.5483000000 ; 		 //plane 0 point @2 
   1982.5727500000,	     -81.5286500000,	   -1446.3619750000 ; 		 //plane 0 point @3 
   2659.5298000000,	   -4582.5850000000,	   -1454.7212000000 ; 		 //plane 0 point @4 
  -3107.6136000000,	   -4569.1019000000,	   -1459.1429000000 ; 		 //plane 0 point @5 
  -3056.4264000000,	    8541.7321000000,	   -1433.0335000000 ; 		 //plane 0 point @6 
    828.6853000000,	    8489.9027000000,	    5428.0714000000 ; 		 //plane 1 point @7 
  -3056.5424000000,	    8512.0294000000,	    5478.5724000000 ; 		 //plane 1 point @8 
  -3077.4599000000,	    3154.3089000000,	    5467.5803000000 ; 		 //plane 1 point @9 
   1927.7529000000,	    3134.8279000000,	    5402.5405000000 ; 		 //plane 1 point @10 
   1875.7672000000,	   -4580.7526000000,	    5386.9948000000 ; 		 //plane 1 point @11 
   3158.7239000000,	   -4583.7521000000,	    5370.3277000000 ; 		 //plane 1 point @13 
   3128.0665000000,	    -385.5502000000,	    5379.5519000000 ; 		 //plane 1 point @14 
  -3077.4516000000,	    3156.4299000000,	    6881.9076000000 ; 		 //plane 2 point @15 
   1918.4952000000,	    3137.0851000000,	    6883.7719000000 ; 		 //plane 2 point @16 
   1866.4969000000,	   -4580.7310000000,	    6867.8159000000 ; 		 //plane 2 point @17 
  -3107.6136000000,	   -4569.1019000000,	    6865.9440000000 ; 		 //plane 2 point @18 
  -3077.4516000000,	    3156.4299000000,	    6881.9076000000 ; 		 //plane 2 point @19 
  -1102.0039000000,	    8530.4859000000,	   -1431.5483000000 ; 		 //plane 3 point @20 
  -3056.4264000000,	    8541.7321000000,	   -1433.0335000000 ; 		 //plane 3 point @21 
  -3056.5424000000,	    8512.0294000000,	    5478.5724000000 ; 		 //plane 3 point @22 
    828.6853000000,	    8489.9027000000,	    5428.0714000000 ; 		 //plane 3 point @23 
   1140.4955000000,	    8492.2854000000,	    4456.3846000000 ; 		 //plane 3 point @24 
     14.9425000000,	    8518.3675000000,	    -106.4025000000 ; 		 //plane 3 point @25 
  -1102.0039000000,	    8530.4859000000,	   -1431.5483000000 ; 		 //plane 3 point @26 
  -3077.4599000000,	    3154.3089000000,	    5467.5803000000 ; 		 //plane 4 point @27 
   1927.7529000000,	    3134.8279000000,	    5402.5405000000 ; 		 //plane 4 point @28 
   1918.4952000000,	    3137.0851000000,	    6883.7719000000 ; 		 //plane 4 point @29 
  -3077.4516000000,	    3156.4299000000,	    6881.9076000000 ; 		 //plane 4 point @30 
  -3077.4599000000,	    3154.3089000000,	    5467.5803000000 ; 		 //plane 4 point @31 
  -3107.6136000000,	   -4569.1019000000,	   -1459.1429000000 ; 		 //plane 5 point @32 
  -3056.4264000000,	    8541.7321000000,	   -1433.0335000000 ; 		 //plane 5 point @33 
  -3056.5424000000,	    8512.0294000000,	    5478.5724000000 ; 		 //plane 5 point @34 
  -3077.4599000000,	    3154.3089000000,	    5467.5803000000 ; 		 //plane 5 point @35 
  -3077.4516000000,	    3156.4299000000,	    6881.9076000000 ; 		 //plane 5 point @36 
  -3107.6136000000,	   -4569.1019000000,	    6865.9440000000 ; 		 //plane 5 point @37 
  -3107.6136000000,	   -4569.1019000000,	   -1459.1429000000 ; 		 //plane 6 point @39 
   2659.5298000000,	   -4582.5850000000,	   -1454.7212000000 ; 		 //plane 6 point @40 
   2897.9448000000,	   -4583.1424000000,	    -683.4618000000 ; 		 //plane 6 point @41 
   3481.1811000000,	   -4584.5059000000,	    1841.7012000000 ; 		 //plane 6 point @42 
   3659.1273000000,	   -4584.9219500000,	    3872.7058000000 ; 		 //plane 6 point @43 
   3158.7239000000,	   -4583.7521000000,	    5370.3277000000 ; 		 //plane 6 point @45 
   1875.7672000000,	   -4580.7526000000,	    5386.9948000000 ; 		 //plane 6 point @46 
   1866.4969000000,	   -4580.7310000000,	    6867.8159000000 ; 		 //plane 6 point @47 
