Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,    0 00 07 ,   89 20 43,          0,      0.000,      0.000,            0,            0,          0
2               ,    1 22 31 ,   89 18 24,      9.109,      0.000,      0.000,        0.219,        9.105,      0.110
3               ,  337 40 52 ,  129 05 50,          0,      0.000,      0.000,            0,            0,          0
4               ,  337 40 59 ,  129 05 50,      2.289,      0.000,      0.000,       -0.674,        1.643,     -1.443
5               ,  335 29 16 ,  128 53 47,      2.296,      0.000,      0.000,       -0.741,        1.626,     -1.442
6               ,  338 07 11 ,  128 09 09,      2.335,      0.000,      0.000,       -0.684,        1.704,     -1.442
7               ,  336 53 23 ,   15 42 58,      7.132,      0.000,      0.000,       -0.758,        1.777,      6.865
8               ,  332 51 11 ,   16 04 15,      7.144,      0.000,      0.000,       -0.902,        1.760,      6.864
9               ,   15 32 26 ,   85 32 33,      8.718,      0.000,      0.000,        2.329,        8.373,      0.678
10              ,   16 48 23 ,   79 08 55,      8.906,      0.000,      0.000,        2.529,        8.373,      1.677
11              ,   16 48 15 ,   72 38 56,      9.164,      0.000,      0.000,        2.529,        8.373,      2.733
12              ,   16 32 39 ,   63 16 19,      9.796,      0.000,      0.000,        2.491,        8.387,      4.406
13              ,   15 30 00 ,   60 35 52,      9.988,      0.000,      0.000,        2.325,        8.385,      4.903
14              ,   15 37 07 ,   64 33 29,      9.638,      0.000,      0.000,        2.343,        8.382,      4.141
15              ,   15 37 06 ,   74 40 01,      9.014,      0.000,      0.000,        2.340,        8.372,      2.384
16              ,   15 38 47 ,   80 05 30,      8.827,      0.000,      0.000,        2.345,        8.374,      1.519
17              ,    7 59 30 ,   99 10 22,      8.569,      0.000,      0.000,        1.176,        8.377,     -1.366
18              ,    7 59 27 ,   91 18 28,      8.467,      0.000,      0.000,        1.177,        8.383,     -0.193
19              ,    7 59 28 ,   84 13 45,      8.516,      0.000,      0.000,        1.178,        8.391,      0.856
20              ,    7 59 32 ,   77 20 36,      8.688,      0.000,      0.000,        1.179,        8.394,      1.904
21              ,    7 59 35 ,   71 50 19,      8.927,      0.000,      0.000,        1.180,        8.400,      2.782
22              ,    7 59 34 ,   66 29 49,      9.257,      0.000,      0.000,        1.180,        8.407,      3.692
23              ,    7 59 18 ,   61 40 38,      9.640,      0.000,      0.000,        1.179,        8.404,      4.574
24              ,    5 18 55 ,   51 40 50,     10.774,      0.000,      0.000,        0.783,        8.416,      6.680
25              ,    5 18 55 ,   58 44 44,      9.883,      0.000,      0.000,        0.783,        8.412,      5.128
26              ,    5 18 52 ,   64 20 30,      9.369,      0.000,      0.000,        0.782,        8.409,      4.057
27              ,    5 18 52 ,   68 12 32,      9.090,      0.000,      0.000,        0.782,        8.404,      3.374
28              ,    5 18 52 ,   74 47 42,      8.740,      0.000,      0.000,        0.781,        8.397,      2.292
29              ,    5 18 53 ,   78 47 07,      8.595,      0.000,      0.000,        0.781,        8.395,      1.672
30              ,    5 18 52 ,   85 49 53,      8.447,      0.000,      0.000,        0.780,        8.389,      0.614
31              ,    5 18 53 ,   91 17 17,      8.423,      0.000,      0.000,        0.780,        8.384,     -0.189
32              ,    5 29 18 ,   99 11 38,      8.528,      0.000,      0.000,        0.805,        8.380,     -1.363
33              ,  357 08 50 ,   99 11 28,      8.518,      0.000,      0.000,       -0.418,        8.398,     -1.361
34              ,  357 08 50 ,   87 54 11,      8.423,      0.000,      0.000,       -0.419,        8.406,      0.308
35              ,  357 08 48 ,   77 37 52,      8.626,      0.000,      0.000,       -0.419,        8.416,      1.848
36              ,  357 08 57 ,   69 13 28,      9.019,      0.000,      0.000,       -0.419,        8.422,      3.199
37              ,  357 09 01 ,   61 16 09,      9.624,      0.000,      0.000,       -0.420,        8.429,      4.626
38              ,  357 08 38 ,   51 44 05,     10.764,      0.000,      0.000,       -0.421,        8.441,      6.666
39              ,  354 32 19 ,   51 44 10,     10.798,      0.000,      0.000,       -0.807,        8.439,      6.687
40              ,  354 32 15 ,   59 43 24,      9.803,      0.000,      0.000,       -0.806,        8.427,      4.942
41              ,  354 32 17 ,   68 38 57,      9.086,      0.000,      0.000,       -0.805,        8.424,      3.308
42              ,  354 32 19 ,   80 05 16,      8.581,      0.000,      0.000,       -0.805,        8.415,      1.477
43              ,  354 32 18 ,   87 55 46,      8.453,      0.000,      0.000,       -0.804,        8.409,      0.305
44              ,  354 32 22 ,   99 06 17,      8.543,      0.000,      0.000,       -0.803,        8.398,     -1.352
