   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,  359 59 55 ,   89 58 22,          0,      0.000,      0.000,            0,            0,          0
2               ,    0 01 12 ,   89 56 27,      8.596,      0.000,      0.000,        0.003,        8.596,      0.009
3               ,    7 36 54 ,  127 52 17,      2.345,      0.000,      0.000,        0.245,        1.835,     -1.440
4               ,    6 58 35 ,   15 45 33,      7.142,      0.000,      0.000,        0.236,        1.925,      6.873
5               ,   20 05 32 ,   95 57 27,      9.241,      0.000,      0.000,        3.157,        8.632,     -0.959
6               ,   20 05 33 ,   82 24 43,      9.276,      0.000,      0.000,        3.159,        8.635,      1.225
7               ,   20 05 33 ,   72 48 38,      9.632,      0.000,      0.000,        3.161,        8.641,      2.846
8               ,   20 05 34 ,   63 48 15,     10.257,      0.000,      0.000,        3.162,        8.644,      4.528
9               ,   20 05 39 ,   57 42 40,     10.892,      0.000,      0.000,        3.164,        8.647,      5.818
10              ,   20 05 34 ,   54 10 13,     11.362,      0.000,      0.000,        3.165,        8.651,      6.651
11              ,   18 34 54 ,   53 45 53,     11.307,      0.000,      0.000,        2.906,        8.645,      6.684
12              ,   18 34 57 ,   63 17 25,     10.200,      0.000,      0.000,        2.904,        8.636,      4.584
13              ,   18 34 47 ,   72 07 10,      9.572,      0.000,      0.000,        2.903,        8.635,      2.939
14              ,   18 34 48 ,   84 06 09,      9.156,      0.000,      0.000,        2.902,        8.633,      0.941
15              ,   18 34 51 ,   95 56 30,      9.158,      0.000,      0.000,        2.902,        8.634,     -0.948
16              ,   10 21 14 ,   95 47 56,      8.809,      0.000,      0.000,        1.575,        8.621,     -0.890
17              ,   10 21 14 ,   85 35 11,      8.795,      0.000,      0.000,        1.576,        8.626,      0.677
18              ,   10 21 13 ,   74 40 52,      9.097,      0.000,      0.000,        1.577,        8.631,      2.403
19              ,   10 21 15 ,   65 48 30,      9.623,      0.000,      0.000,        1.578,        8.635,      3.943
20              ,   10 21 26 ,   58 16 44,     10.325,      0.000,      0.000,        1.579,        8.640,      5.429
21              ,   10 21 21 ,   52 47 45,     11.032,      0.000,      0.000,        1.579,        8.643,      6.670
22              ,    8 49 28 ,   52 48 00,     10.971,      0.000,      0.000,        1.341,        8.635,      6.633
23              ,    8 49 24 ,   57 07 29,     10.400,      0.000,      0.000,        1.340,        8.631,      5.645
24              ,    8 49 21 ,   64 21 13,      9.684,      0.000,      0.000,        1.339,        8.626,      4.191
25              ,    8 49 22 ,   74 11 10,      9.072,      0.000,      0.000,        1.339,        8.626,      2.472
26              ,    8 49 24 ,   86 12 13,      8.744,      0.000,      0.000,        1.338,        8.621,      0.579
27              ,    8 49 27 ,   95 46 23,      8.766,      0.000,      0.000,        1.338,        8.618,     -0.882
28              ,  359 34 53 ,   99 05 23,      8.702,      0.000,      0.000,       -0.063,        8.593,     -1.375
29              ,  359 34 51 ,   90 07 17,      8.595,      0.000,      0.000,       -0.063,        8.595,     -0.018
30              ,    0 06 45 ,   80 42 21,      8.712,      0.000,      0.000,        0.017,        8.597,      1.407
31              ,    0 06 47 ,   69 21 40,      9.188,      0.000,      0.000,        0.017,        8.599,      3.239
32              ,    0 06 54 ,   57 41 52,     10.182,      0.000,      0.000,        0.017,        8.606,      5.441
33              ,    0 06 48 ,   52 16 37,     10.885,      0.000,      0.000,        0.017,        8.610,      6.660
34              ,  357 52 14 ,   52 16 37,     10.886,      0.000,      0.000,       -0.320,        8.605,      6.661
35              ,  357 52 13 ,   62 28 36,      9.705,      0.000,      0.000,       -0.320,        8.601,      4.485
36              ,  357 52 11 ,   73 30 13,      8.969,      0.000,      0.000,       -0.320,        8.594,      2.547
37              ,  357 52 08 ,   86 00 25,      8.618,      0.000,      0.000,       -0.320,        8.591,      0.600
38              ,  357 52 12 ,   98 46 14,      8.695,      0.000,      0.000,       -0.319,        8.587,     -1.326
39              ,  349 23 25 ,   98 46 13,      8.820,      0.000,      0.000,       -1.605,        8.568,     -1.345
40              ,  349 23 29 ,   89 36 10,      8.716,      0.000,      0.000,       -1.605,        8.567,      0.060
41              ,  349 23 30 ,   78 35 30,      8.891,      0.000,      0.000,       -1.604,        8.567,      1.759
42              ,  349 39 03 ,   68 46 39,      9.347,      0.000,      0.000,       -1.565,        8.571,      3.383
43              ,  349 39 06 ,   58 30 39,     10.216,      0.000,      0.000,       -1.565,        8.570,      5.336
44              ,  349 39 12 ,   52 25 12,     10.993,      0.000,      0.000,       -1.565,        8.570,      6.704
45              ,  347 27 07 ,   62 14 38,      9.913,      0.000,      0.000,       -1.906,        8.563,      4.617
46              ,  347 27 01 ,   71 17 05,      9.262,      0.000,      0.000,       -1.906,        8.563,      2.972
47              ,  347 27 01 ,   82 37 09,      8.844,      0.000,      0.000,       -1.906,        8.561,      1.136
48              ,  347 27 01 ,   90 56 48,      8.772,      0.000,      0.000,       -1.906,        8.561,     -0.145
49              ,  347 27 05 ,   98 31 34,      8.872,      0.000,      0.000,       -1.906,        8.564,     -1.315
50              ,  339 49 36 ,   83 19 03,      9.154,      0.000,      0.000,       -3.135,        8.534,      1.065
51              ,  339 49 33 ,   77 17 56,      9.322,      0.000,      0.000,       -3.136,        8.536,      2.050
52              ,  339 49 31 ,   73 31 53,      9.483,      0.000,      0.000,       -3.136,        8.536,      2.688
53              ,  339 05 37 ,   64 47 21,     10.098,      0.000,      0.000,       -3.260,        8.534,      4.301
54              ,  340 08 57 ,   62 41 05,     10.208,      0.000,      0.000,       -3.080,        8.531,      4.684
55              ,   14 11 59 ,   95 43 27,      9.684,      0.000,      0.000,        2.364,        9.341,     -0.966
56              ,   14 12 00 ,   86 48 43,      9.651,      0.000,      0.000,        2.364,        9.341,      0.537
57              ,   14 12 03 ,   73 05 35,     10.075,      0.000,      0.000,        2.365,        9.345,      2.930
58              ,   14 12 06 ,   61 41 09,     10.957,      0.000,      0.000,        2.367,        9.351,      5.197
59              ,   14 12 03 ,   55 28 03,     11.716,      0.000,      0.000,        2.368,        9.356,      6.641
60              ,   13 01 22 ,   55 28 03,     11.656,      0.000,      0.000,        2.164,        9.355,      6.608
61              ,   12 28 44 ,   70 15 48,     10.169,      0.000,      0.000,        2.068,        9.345,      3.434
62              ,   12 28 43 ,   83 58 11,      9.621,      0.000,      0.000,        2.067,        9.342,      1.011
63              ,   12 28 41 ,   95 34 35,      9.609,      0.000,      0.000,        2.066,        9.338,     -0.934
64              ,    3 57 34 ,   95 34 31,      9.379,      0.000,      0.000,        0.645,        9.313,     -0.911
65              ,    3 00 00 ,   87 19 18,      9.338,      0.000,      0.000,        0.488,        9.315,      0.436
66              ,    3 00 01 ,   76 58 52,      9.577,      0.000,      0.000,        0.488,        9.318,      2.157
67              ,    3 00 10 ,   69 51 07,      9.940,      0.000,      0.000,        0.489,        9.319,      3.424
