Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.26643,	   9.00247,	  -1.46442
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.44757,	   8.90378,	  -1.46749
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.92678,	   5.25721,	  -1.46054
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.75875,	  -5.06055,	  -1.43999
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50934,	  -4.97600,	  -1.43658
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.26643,	   9.00247,	  -1.46442
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.26625,	   9.01293,	   6.85787
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.69707,	   8.92722,	   6.86094
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.43536,	  -5.04270,	   6.89084
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50934,	  -4.97600,	   6.88781
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.26625,	   9.01293,	   6.85787
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.44757,	   8.90378,	  -1.46749
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.26643,	   9.00247,	  -1.46442
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.26625,	   9.01293,	   6.85787
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.69707,	   8.92722,	   6.86094
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.68883,	   8.92549,	   5.37582
