     -3987.1846,	       8779.4918,	      -1475.7053 ; 		 //plane 0 point @1 
      1747.7570,	       8729.1815,	      -1462.9783 ; 		 //plane 0 point @2 
      2248.1509,	       5107.4312,	      -1452.7853 ; 		 //plane 0 point @3 
      2179.7103,	      -5226.9556,	      -1426.9879 ; 		 //plane 0 point @4 
     -4094.0106,	      -5197.4923,	      -1440.8463 ; 		 //plane 0 point @5 
     -3987.1846,	       8779.4918,	      -1475.7053 ; 		 //plane 0 point @6 
     -3986.9531,	       8809.7794,	       6848.5536 ; 		 //plane 1 point @7 
       944.1910,	       8766.4951,	       6852.5430 ; 		 //plane 1 point @8 
       823.4046,	      -5220.5859,	       6891.3250 ; 		 //plane 1 point @9 
     -4094.0106,	      -5197.4923,	       6887.4025 ; 		 //plane 1 point @10 
     -3986.9531,	       8809.7794,	       6848.5536 ; 		 //plane 1 point @11 
      1747.7570,	       8729.1815,	      -1462.9783 ; 		 //plane 2 point @12 
     -3987.1846,	       8779.4918,	      -1475.7053 ; 		 //plane 2 point @13 
     -3986.9531,	       8809.7794,	       6848.5536 ; 		 //plane 2 point @14 
       944.1910,	       8766.4951,	       6852.5430 ; 		 //plane 2 point @15 
       948.9385,	       8761.0790,	       5375.5220 ; 		 //plane 2 point @16 
      2216.6593,	       8749.8843,	       5358.1613 ; 		 //plane 2 point @17 
      2581.5564,	       8742.8694,	       4310.8343 ; 		 //plane 2 point @18 
      2599.0890,	       8734.4937,	       2051.3138 ; 		 //plane 2 point @19 
      2053.5486,	       8729.8815,	       -532.6651 ; 		 //plane 2 point @20 
      1747.7570,	       8729.1815,	      -1462.9783 ; 		 //plane 2 point @21 
     -3987.1846,	       8779.4918,	      -1475.7053 ; 		 //plane 3 point @22 
     -4094.0106,	      -5197.4923,	      -1440.8463 ; 		 //plane 3 point @23 
     -4094.0106,	      -5197.4923,	       6887.4025 ; 		 //plane 3 point @24 
     -3986.9531,	       8809.7794,	       6848.5536 ; 		 //plane 3 point @25 
     -3987.1846,	       8779.4918,	      -1475.7053 ; 		 //plane 3 point @26 
      2179.7103,	      -5226.9556,	      -1426.9879 ; 		 //plane 4 point @27 
     -4094.0106,	      -5197.4923,	      -1440.8463 ; 		 //plane 4 point @28 
     -4094.0106,	      -5197.4923,	       6887.4025 ; 		 //plane 4 point @29 
       823.4046,	      -5220.5859,	       6891.3250 ; 		 //plane 4 point @30 
       828.1935,	      -5220.6084,	       5415.8853 ; 		 //plane 4 point @31 
      2128.3831,	      -5226.7145,	       5398.0651 ; 		 //plane 4 point @32 
      2492.7862,	      -5228.4259,	       4352.2369 ; 		 //plane 4 point @33 
      2529.8716,	      -5228.6000,	       -412.8870 ; 		 //plane 4 point @34 
      2179.7103,	      -5226.9556,	      -1426.9879 ; 		 //plane 4 point @35 
      2248.1509,	       5107.4312,	      -1452.7853 ; 		 //plane 5 point @36 
      1747.7570,	       8729.1815,	      -1462.9783 ; 		 //plane 5 point @37 
      2053.5486,	       8729.8815,	       -532.6651 ; 		 //plane 5 point @38 
      2618.6196,	       4984.7801,	       -377.2515 ; 		 //plane 5 point @39 
      2248.1509,	       5107.4312,	      -1452.7853 ; 		 //plane 5 point @40 
      2618.6196,	       4984.7801,	       -377.2515 ; 		 //plane 6 point @41 
      2053.5486,	       8729.8815,	       -532.6651 ; 		 //plane 6 point @42 
      2599.0890,	       8734.4937,	       2051.3138 ; 		 //plane 6 point @43 
      2595.1830,	       5046.7458,	       -446.4669 ; 		 //plane 6 point @44 
      2618.6196,	       4984.7801,	       -377.2515 ; 		 //plane 6 point @45 
      2179.7103,	      -5226.9556,	      -1426.9879 ; 		 //plane 7 point @46 
      2248.1509,	       5107.4312,	      -1452.7853 ; 		 //plane 7 point @47 
      2594.8392,	       4992.6531,	       -446.2901 ; 		 //plane 7 point @48 
      2529.8716,	      -5228.6000,	       -412.8870 ; 		 //plane 7 point @49 
      2179.7103,	      -5226.9556,	      -1426.9879 ; 		 //plane 7 point @50 
      2595.1830,	       5046.7458,	       -446.4669 ; 		 //plane 8 point @51 
      2599.0890,	       8734.4937,	       2051.3138 ; 		 //plane 8 point @52 
      2581.5564,	       8742.8694,	       4310.8343 ; 		 //plane 8 point @53 
      2492.7862,	      -5228.4259,	       4352.2369 ; 		 //plane 8 point @54 
      2529.8716,	      -5228.6000,	       -412.8870 ; 		 //plane 8 point @55 
      2595.1830,	       5046.7458,	       -446.4669 ; 		 //plane 8 point @56 
      2581.5564,	       8742.8694,	       4310.8343 ; 		 //plane 9 point @57 
      2492.7862,	      -5228.4259,	       4352.2369 ; 		 //plane 9 point @58 
      2128.3831,	      -5226.7145,	       5398.0651 ; 		 //plane 9 point @59 
      2216.6593,	       8749.8843,	       5358.1613 ; 		 //plane 9 point @60 
      2581.5564,	       8742.8694,	       4310.8343 ; 		 //plane 9 point @61 
      2216.6593,	       8749.8843,	       5358.1613 ; 		 //plane 10 point @62 
      2128.3831,	      -5226.7145,	       5398.0651 ; 		 //plane 10 point @63 
       828.1935,	      -5220.6084,	       5415.8853 ; 		 //plane 10 point @64 
       948.9385,	       8761.0790,	       5375.5220 ; 		 //plane 10 point @65 
      2216.6593,	       8749.8843,	       5358.1613 ; 		 //plane 10 point @66 
       948.9385,	       8761.0790,	       5375.5220 ; 		 //plane 11 point @67 
       828.1935,	      -5220.6084,	       5415.8853 ; 		 //plane 11 point @68 
       823.4046,	      -5220.5859,	       6891.3250 ; 		 //plane 11 point @69 
       944.1910,	       8766.4951,	       6852.5430 ; 		 //plane 11 point @70 
       948.9385,	       8761.0790,	       5375.5220 ; 		 //plane 11 point @71 
