      3266.4305,	       9002.4700,	      -1464.4218 ; 		 //plane 0 point @1 
     -2447.5726,	       8903.7784,	      -1467.4903 ; 		 //plane 0 point @2 
     -2926.7770,	       5257.2053,	      -1460.5374 ; 		 //plane 0 point @3 
     -2758.7537,	      -5060.5490,	      -1439.9943 ; 		 //plane 0 point @4 
      3509.3405,	      -4975.9983,	      -1436.5814 ; 		 //plane 0 point @5 
      3266.4305,	       9002.4700,	      -1464.4218 ; 		 //plane 0 point @6 
      3266.2487,	       9012.9343,	       6857.8662 ; 		 //plane 1 point @7 
     -1697.0719,	       8927.2156,	       6860.9440 ; 		 //plane 1 point @8 
     -1435.3630,	      -5042.6977,	       6890.8398 ; 		 //plane 1 point @9 
      3509.3405,	      -4975.9983,	       6887.8138 ; 		 //plane 1 point @10 
      3266.2487,	       9012.9343,	       6857.8662 ; 		 //plane 1 point @11 
     -2447.5726,	       8903.7784,	      -1467.4903 ; 		 //plane 2 point @12 
      3266.4305,	       9002.4700,	      -1464.4218 ; 		 //plane 2 point @13 
      3266.2487,	       9012.9343,	       6857.8662 ; 		 //plane 2 point @14 
     -1697.0719,	       8927.2156,	       6860.9440 ; 		 //plane 2 point @15 
     -1688.8349,	       8925.4899,	       5375.8173 ; 		 //plane 2 point @16 
     -2961.4947,	       8903.4666,	       5341.7060 ; 		 //plane 2 point @17 
     -3319.7657,	       8895.9713,	       4302.1158 ; 		 //plane 2 point @18 
     -3334.5414,	       8892.7468,	       1941.2746 ; 		 //plane 2 point @19 
     -2785.8998,	       8899.1550,	       -497.5686 ; 		 //plane 2 point @20 
     -2447.5726,	       8903.7784,	      -1467.4903 ; 		 //plane 2 point @21 
      3266.4305,	       9002.4700,	      -1464.4218 ; 		 //plane 3 point @22 
      3509.3405,	      -4975.9983,	      -1436.5814 ; 		 //plane 3 point @23 
      3509.3405,	      -4975.9983,	       6887.8138 ; 		 //plane 3 point @24 
      3266.2487,	       9012.9343,	       6857.8662 ; 		 //plane 3 point @25 
      3266.4305,	       9002.4700,	      -1464.4218 ; 		 //plane 3 point @26 
     -2758.7537,	      -5060.5490,	      -1439.9943 ; 		 //plane 4 point @27 
      3509.3405,	      -4975.9983,	      -1436.5814 ; 		 //plane 4 point @28 
      3509.3405,	      -4975.9983,	       6887.8138 ; 		 //plane 4 point @29 
     -1435.3630,	      -5042.6977,	       6890.8398 ; 		 //plane 4 point @30 
     -1427.2297,	      -5042.5880,	       5418.2579 ; 		 //plane 4 point @31 
     -2730.1952,	      -5060.1638,	       5383.3217 ; 		 //plane 4 point @32 
     -3082.9638,	      -5064.9223,	       4359.8161 ; 		 //plane 4 point @33 
     -3113.0066,	      -5065.3275,	       -423.7928 ; 		 //plane 4 point @34 
     -2758.7537,	      -5060.5490,	      -1439.9943 ; 		 //plane 4 point @35 
     -2926.7770,	       5257.2053,	      -1460.5374 ; 		 //plane 5 point @36 
     -2447.5726,	       8903.7784,	      -1467.4903 ; 		 //plane 5 point @37 
     -2785.8998,	       8899.1550,	       -497.5686 ; 		 //plane 5 point @38 
     -3270.1494,	       5253.9449,	       -475.6145 ; 		 //plane 5 point @39 
     -2926.7770,	       5257.2053,	      -1460.5374 ; 		 //plane 5 point @40 
     -3270.1494,	       5253.9449,	       -475.6145 ; 		 //plane 6 point @41 
     -2785.8998,	       8899.1550,	       -497.5686 ; 		 //plane 6 point @42 
     -3334.5414,	       8892.7468,	       1941.2746 ; 		 //plane 6 point @43 
     -3287.0644,	       5211.6873,	       -425.0461 ; 		 //plane 6 point @44 
     -3270.1494,	       5253.9449,	       -475.6145 ; 		 //plane 6 point @45 
     -2758.7537,	      -5060.5490,	      -1439.9943 ; 		 //plane 7 point @46 
     -2926.7770,	       5257.2053,	      -1460.5374 ; 		 //plane 7 point @47 
     -3287.7773,	       5253.7775,	       -425.0512 ; 		 //plane 7 point @48 
     -3113.0066,	      -5065.3275,	       -423.7928 ; 		 //plane 7 point @49 
     -2758.7537,	      -5060.5490,	      -1439.9943 ; 		 //plane 7 point @50 
     -3287.0644,	       5211.6873,	       -425.0461 ; 		 //plane 8 point @51 
     -3334.5414,	       8892.7468,	       1941.2746 ; 		 //plane 8 point @52 
     -3319.7657,	       8895.9713,	       4302.1158 ; 		 //plane 8 point @53 
     -3082.9638,	      -5064.9223,	       4359.8161 ; 		 //plane 8 point @54 
     -3113.0066,	      -5065.3275,	       -423.7928 ; 		 //plane 8 point @55 
     -3287.0644,	       5211.6873,	       -425.0461 ; 		 //plane 8 point @56 
     -3319.7657,	       8895.9713,	       4302.1158 ; 		 //plane 9 point @57 
     -3082.9638,	      -5064.9223,	       4359.8161 ; 		 //plane 9 point @58 
     -2730.1952,	      -5060.1638,	       5383.3217 ; 		 //plane 9 point @59 
     -2961.4947,	       8903.4666,	       5341.7060 ; 		 //plane 9 point @60 
     -3319.7657,	       8895.9713,	       4302.1158 ; 		 //plane 9 point @61 
     -2961.4947,	       8903.4666,	       5341.7060 ; 		 //plane 10 point @62 
     -2730.1952,	      -5060.1638,	       5383.3217 ; 		 //plane 10 point @63 
     -1427.2297,	      -5042.5880,	       5418.2579 ; 		 //plane 10 point @64 
     -1688.8349,	       8925.4899,	       5375.8173 ; 		 //plane 10 point @65 
     -2961.4947,	       8903.4666,	       5341.7060 ; 		 //plane 10 point @66 
     -1688.8349,	       8925.4899,	       5375.8173 ; 		 //plane 11 point @67 
     -1427.2297,	      -5042.5880,	       5418.2579 ; 		 //plane 11 point @68 
     -1435.3630,	      -5042.6977,	       6890.8398 ; 		 //plane 11 point @69 
     -1697.0719,	       8927.2156,	       6860.9440 ; 		 //plane 11 point @70 
     -1688.8349,	       8925.4899,	       5375.8173 ; 		 //plane 11 point @71 
