  -3987.1846000000,	    8779.4918000000,	   -1475.7053000000 ; 		 //plane 0 point @1 
   1747.7570000000,	    8729.1815000000,	   -1462.9783000000 ; 		 //plane 0 point @2 
   2248.1509000000,	    5107.4312000000,	   -1452.7853000000 ; 		 //plane 0 point @3 
   2179.7103000000,	   -5226.9556000000,	   -1426.9879000000 ; 		 //plane 0 point @4 
  -4094.0106000000,	   -5197.4923000000,	   -1440.8463000000 ; 		 //plane 0 point @5 
  -3987.1846000000,	    8779.4918000000,	   -1475.7053000000 ; 		 //plane 0 point @6 
  -3986.9531000000,	    8809.7794000000,	    6848.5536000000 ; 		 //plane 1 point @7 
    944.1910000000,	    8766.4951000000,	    6852.5430000000 ; 		 //plane 1 point @8 
    823.4046000000,	   -5220.5859000000,	    6891.3250000000 ; 		 //plane 1 point @9 
  -4094.0106000000,	   -5197.4923000000,	    6887.4025000000 ; 		 //plane 1 point @10 
  -3986.9531000000,	    8809.7794000000,	    6848.5536000000 ; 		 //plane 1 point @11 
   1747.7570000000,	    8729.1815000000,	   -1462.9783000000 ; 		 //plane 2 point @12 
  -3987.1846000000,	    8779.4918000000,	   -1475.7053000000 ; 		 //plane 2 point @13 
  -3986.9531000000,	    8809.7794000000,	    6848.5536000000 ; 		 //plane 2 point @14 
    944.1910000000,	    8766.4951000000,	    6852.5430000000 ; 		 //plane 2 point @15 
    948.9385000000,	    8761.0790000000,	    5375.5220000000 ; 		 //plane 2 point @16 
   2216.6593000000,	    8749.8843000000,	    5358.1613000000 ; 		 //plane 2 point @17 
   2581.5564000000,	    8742.8694000000,	    4310.8343000000 ; 		 //plane 2 point @18 
   2599.0890000000,	    8734.4937000000,	    2051.3138000000 ; 		 //plane 2 point @19 
   2053.5486000000,	    8729.8815000000,	    -532.6651000000 ; 		 //plane 2 point @20 
   1747.7570000000,	    8729.1815000000,	   -1462.9783000000 ; 		 //plane 2 point @21 
  -3987.1846000000,	    8779.4918000000,	   -1475.7053000000 ; 		 //plane 3 point @22 
  -4094.0106000000,	   -5197.4923000000,	   -1440.8463000000 ; 		 //plane 3 point @23 
  -4094.0106000000,	   -5197.4923000000,	    6887.4025000000 ; 		 //plane 3 point @24 
  -3986.9531000000,	    8809.7794000000,	    6848.5536000000 ; 		 //plane 3 point @25 
  -3987.1846000000,	    8779.4918000000,	   -1475.7053000000 ; 		 //plane 3 point @26 
   2179.7103000000,	   -5226.9556000000,	   -1426.9879000000 ; 		 //plane 4 point @27 
  -4094.0106000000,	   -5197.4923000000,	   -1440.8463000000 ; 		 //plane 4 point @28 
  -4094.0106000000,	   -5197.4923000000,	    6887.4025000000 ; 		 //plane 4 point @29 
    823.4046000000,	   -5220.5859000000,	    6891.3250000000 ; 		 //plane 4 point @30 
    828.1935000000,	   -5220.6084000000,	    5415.8853000000 ; 		 //plane 4 point @31 
   2128.3831000000,	   -5226.7145000000,	    5398.0651000000 ; 		 //plane 4 point @32 
   2492.7862000000,	   -5228.4259000000,	    4352.2369000000 ; 		 //plane 4 point @33 
   2529.8716000000,	   -5228.6000000000,	    -412.8870000000 ; 		 //plane 4 point @34 
   2179.7103000000,	   -5226.9556000000,	   -1426.9879000000 ; 		 //plane 4 point @35 
   2248.1509000000,	    5107.4312000000,	   -1452.7853000000 ; 		 //plane 5 point @36 
   1747.7570000000,	    8729.1815000000,	   -1462.9783000000 ; 		 //plane 5 point @37 
   2053.5486000000,	    8729.8815000000,	    -532.6651000000 ; 		 //plane 5 point @38 
   2606.8153500000,	    5002.2397750000,	    -411.8150000000 ; 		 //plane 5 point @39 
   2248.1509000000,	    5107.4312000000,	   -1452.7853000000 ; 		 //plane 5 point @40 
   2606.8153500000,	    5002.2397750000,	    -411.8150000000 ; 		 //plane 6 point @41 
   2053.5486000000,	    8729.8815000000,	    -532.6651000000 ; 		 //plane 6 point @42 
   2599.0890000000,	    8734.4937000000,	    2051.3138000000 ; 		 //plane 6 point @43 
   2606.8153500000,	    5002.2397750000,	    -411.8150000000 ; 		 //plane 6 point @44 
   2606.8153500000,	    5002.2397750000,	    -411.8150000000 ; 		 //plane 6 point @45 
   2179.7103000000,	   -5226.9556000000,	   -1426.9879000000 ; 		 //plane 7 point @46 
   2248.1509000000,	    5107.4312000000,	   -1452.7853000000 ; 		 //plane 7 point @47 
   2606.8153500000,	    5002.2397750000,	    -411.8150000000 ; 		 //plane 7 point @48 
   2529.8716000000,	   -5228.6000000000,	    -412.8870000000 ; 		 //plane 7 point @49 
   2179.7103000000,	   -5226.9556000000,	   -1426.9879000000 ; 		 //plane 7 point @50 
   2606.8153500000,	    5002.2397750000,	    -411.8150000000 ; 		 //plane 8 point @51 
   2599.0890000000,	    8734.4937000000,	    2051.3138000000 ; 		 //plane 8 point @52 
   2581.5564000000,	    8742.8694000000,	    4310.8343000000 ; 		 //plane 8 point @53 
   2492.7862000000,	   -5228.4259000000,	    4352.2369000000 ; 		 //plane 8 point @54 
   2529.8716000000,	   -5228.6000000000,	    -412.8870000000 ; 		 //plane 8 point @55 
   2606.8153500000,	    5002.2397750000,	    -411.8150000000 ; 		 //plane 8 point @56 
   2581.5564000000,	    8742.8694000000,	    4310.8343000000 ; 		 //plane 9 point @57 
