The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
 -1475      -1475        0.044942             0.000022 
 -1474      -1474        0.262728             0.000176 
 -1473      -1473        0.661204             0.000638 
 -1472      -1472        1.240370             0.001589 
 -1471      -1471        2.000227             0.003209 
 -1470      -1470        2.940773             0.005680 
 -1469      -1469        4.062010             0.009181 
 -1468      -1468        5.363937             0.013894 
 -1467      -1467        6.846554             0.019999 
 -1466      -1466        8.509862             0.027678 
 -1465      -1465       10.353859             0.037110 
 -1464      -1464       12.378547             0.048476 
 -1463      -1463       14.583925             0.061957 
 -1462      -1462       16.893525             0.077696 
 -1461      -1461       19.224053             0.095754 
 -1460      -1460       21.575470             0.116154 
 -1459      -1459       23.947776             0.138916 
 -1458      -1458       26.340972             0.164060 
 -1457      -1457       28.755058             0.191608 
 -1456      -1456       31.190033             0.221581 
 -1455      -1455       33.645897             0.253999 
 -1454      -1454       36.122651             0.288883 
 -1453      -1453       38.620294             0.326255 
 -1452      -1452       41.132481             0.366131 
 -1451      -1451       43.645445             0.408520 
 -1450      -1450       46.158710             0.453422 
 -1449      -1449       48.672279             0.500837 
 -1448      -1448       51.186149             0.550767 
 -1447      -1447       53.700322             0.603210 
 -1446      -1446       56.214796             0.658167 
 -1445      -1445       58.729573             0.715640 
 -1444      -1444       61.244653             0.775627 
 -1443      -1443       63.760034             0.838129 
 -1442      -1442       66.275718             0.903147 
 -1441      -1441       68.791704             0.970681 
 -1440      -1440       71.242988             1.040698 
 -1439      -1439       73.515198             1.113077 
 -1438      -1438       75.606190             1.187638 
 -1437      -1437       77.515963             1.264199 
 -1436      -1436       79.244516             1.342579 
 -1435      -1435       80.791852             1.422597 
 -1434      -1434       82.157968             1.504072 
 -1433      -1433       83.342866             1.586823 
 -1432      -1432       84.346546             1.670667 
 -1431      -1431       85.169006             1.755425 
 -1430      -1430       85.810248             1.840915 
 -1429      -1429       86.270271             1.926955 
 -1428      -1428       86.549075             2.013365 
 -1427      -1427       86.646661             2.099963 
 -1426      -1426       86.651458             2.186612 
 -1425      -1425       86.656242             2.273265 
 -1424      -1424       86.661025             2.359924 
 -1423      -1423       86.665809             2.446588 
 -1422      -1422       86.670592             2.533256 
 -1421      -1421       86.675376             2.619929 
 -1420      -1420       86.680160             2.706606 
 -1419      -1419       86.684943             2.793289 
 -1418      -1418       86.689727             2.879976 
 -1417      -1417       86.694511             2.966668 
