Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.98718,	   8.77949,	  -1.47571
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.74776,	   8.72918,	  -1.46298
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.24815,	   5.10743,	  -1.45279
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.17971,	  -5.22696,	  -1.42699
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.09401,	  -5.19749,	  -1.44085
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.98718,	   8.77949,	  -1.47571
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.98695,	   8.80978,	   6.84855
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.94419,	   8.76650,	   6.85254
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.82340,	  -5.22059,	   6.89133
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.09401,	  -5.19749,	   6.88740
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.98695,	   8.80978,	   6.84855
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.74776,	   8.72918,	  -1.46298
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.98718,	   8.77949,	  -1.47571
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.98695,	   8.80978,	   6.84855
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.94419,	   8.76650,	   6.85254
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.94894,	   8.76108,	   5.37552
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.21666,	   8.74988,	   5.35816
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.58156,	   8.74287,	   4.31083
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.59909,	   8.73449,	   2.05131
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.05355,	   8.72988,	  -0.53267
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.74776,	   8.72918,	  -1.46298
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.98718,	   8.77949,	  -1.47571
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.09401,	  -5.19749,	  -1.44085
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.09401,	  -5.19749,	   6.88740
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.98695,	   8.80978,	   6.84855
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.98718,	   8.77949,	  -1.47571
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.17971,	  -5.22696,	  -1.42699
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.09401,	  -5.19749,	  -1.44085
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.09401,	  -5.19749,	   6.88740
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.82340,	  -5.22059,	   6.89133
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.82819,	  -5.22061,	   5.41589
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.12838,	  -5.22671,	   5.39807
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.49279,	  -5.22843,	   4.35224
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.52987,	  -5.22860,	  -0.41289
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.17971,	  -5.22696,	  -1.42699
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.24815,	   5.10743,	  -1.45279
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.74776,	   8.72918,	  -1.46298
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.05355,	   8.72988,	  -0.53267
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.60682,	   5.00224,	  -0.41181
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.24815,	   5.10743,	  -1.45279
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.60682,	   5.00224,	  -0.41181
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.05355,	   8.72988,	  -0.53267
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.59909,	   8.73449,	   2.05131
