   3266.4305000000,	    9002.4700000000,	   -1464.4218000000 ; 		 //plane 0 point @1 
  -2447.5726000000,	    8903.7784000000,	   -1467.4903000000 ; 		 //plane 0 point @2 
  -2926.7770000000,	    5257.2053000000,	   -1460.5374000000 ; 		 //plane 0 point @3 
  -2758.7537000000,	   -5060.5490000000,	   -1439.9943000000 ; 		 //plane 0 point @4 
   3509.3405000000,	   -4975.9983000000,	   -1436.5814000000 ; 		 //plane 0 point @5 
   3266.4305000000,	    9002.4700000000,	   -1464.4218000000 ; 		 //plane 0 point @6 
   3266.2487000000,	    9012.9343000000,	    6857.8662000000 ; 		 //plane 1 point @7 
  -1697.0719000000,	    8927.2156000000,	    6860.9440000000 ; 		 //plane 1 point @8 
  -1435.3630000000,	   -5042.6977000000,	    6890.8398000000 ; 		 //plane 1 point @9 
   3509.3405000000,	   -4975.9983000000,	    6887.8138000000 ; 		 //plane 1 point @10 
   3266.2487000000,	    9012.9343000000,	    6857.8662000000 ; 		 //plane 1 point @11 
  -2447.5726000000,	    8903.7784000000,	   -1467.4903000000 ; 		 //plane 2 point @12 
   3266.4305000000,	    9002.4700000000,	   -1464.4218000000 ; 		 //plane 2 point @13 
   3266.2487000000,	    9012.9343000000,	    6857.8662000000 ; 		 //plane 2 point @14 
  -1697.0719000000,	    8927.2156000000,	    6860.9440000000 ; 		 //plane 2 point @15 
  -1688.8349000000,	    8925.4899000000,	    5375.8173000000 ; 		 //plane 2 point @16 
  -2961.4947000000,	    8903.4666000000,	    5341.7060000000 ; 		 //plane 2 point @17 
  -3319.7657000000,	    8895.9713000000,	    4302.1158000000 ; 		 //plane 2 point @18 
  -3334.5414000000,	    8892.7468000000,	    1941.2746000000 ; 		 //plane 2 point @19 
  -2785.8998000000,	    8899.1550000000,	    -497.5686000000 ; 		 //plane 2 point @20 
  -2447.5726000000,	    8903.7784000000,	   -1467.4903000000 ; 		 //plane 2 point @21 
   3266.4305000000,	    9002.4700000000,	   -1464.4218000000 ; 		 //plane 3 point @22 
   3509.3405000000,	   -4975.9983000000,	   -1436.5814000000 ; 		 //plane 3 point @23 
   3509.3405000000,	   -4975.9983000000,	    6887.8138000000 ; 		 //plane 3 point @24 
