Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.64010,	   8.44315,	  -1.44705
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.64709,	   8.43297,	  -1.43505
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.60265,	  -4.86245,	  -1.44609
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66506,	  -4.83757,	  -1.45804
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.64010,	   8.44315,	  -1.44705
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.64013,	   8.42487,	   6.87095
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.28914,	   8.41689,	   6.87942
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.25803,	  -4.85712,	   6.86284
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66506,	  -4.83757,	   6.85440
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.64013,	   8.42487,	   6.87095
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.64709,	   8.43297,	  -1.43505
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.64010,	   8.44315,	  -1.44705
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.64013,	   8.42487,	   6.87095
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.28914,	   8.41689,	   6.87942
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.30307,	   8.42012,	   5.40277
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.59769,	   8.41808,	   5.37663
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.95819,	   8.41979,	   4.33533
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.99336,	   8.43025,	  -0.45151
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.64709,	   8.43297,	  -1.43505
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.64010,	   8.44315,	  -1.44705
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66506,	  -4.83757,	  -1.45804
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66506,	  -4.83757,	   6.85440
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.64013,	   8.42487,	   6.87095
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.64010,	   8.44315,	  -1.44705
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.60265,	  -4.86245,	  -1.44609
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66506,	  -4.83757,	  -1.45804
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66506,	  -4.83757,	   6.85440
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.25803,	  -4.85712,	   6.86284
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.27198,	  -4.85717,	   5.38411
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.57426,	  -4.86234,	   5.35782
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.92899,	  -4.86375,	   4.33316
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.96390,	  -4.86389,	  -0.42005
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.60265,	  -4.86245,	  -1.44609
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.64709,	   8.43297,	  -1.43505
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.60265,	  -4.86245,	  -1.44609
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.96390,	  -4.86389,	  -0.42005
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.99336,	   8.43025,	  -0.45151
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.64709,	   8.43297,	  -1.43505
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.99336,	   8.43025,	  -0.45151
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.96390,	  -4.86389,	  -0.42005
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.92899,	  -4.86375,	   4.33316
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.95819,	   8.41979,	   4.33533
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.99336,	   8.43025,	  -0.45151
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.95819,	   8.41979,	   4.33533
46   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.92899,	  -4.86375,	   4.33316
47   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.57426,	  -4.86234,	   5.35782
48   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.59769,	   8.41808,	   5.37663
49   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.95819,	   8.41979,	   4.33533
50   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.59769,	   8.41808,	   5.37663
51   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.57426,	  -4.86234,	   5.35782
52   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.27198,	  -4.85717,	   5.38411
53   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.30307,	   8.42012,	   5.40277
54   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.59769,	   8.41808,	   5.37663
55   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.30307,	   8.42012,	   5.40277
56   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.27198,	  -4.85717,	   5.38411
57   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.25803,	  -4.85712,	   6.86284
58   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.28914,	   8.41689,	   6.87942
59   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.30307,	   8.42012,	   5.40277
