      3635.7137,	       8443.1478,	      -1444.5689 ; 		 //plane 0 point @1 
     -2647.0852,	       8432.9744,	      -1439.1426 ; 		 //plane 0 point @2 
     -2602.6383,	      -4862.4542,	      -1450.1945 ; 		 //plane 0 point @3 
      3674.2984,	      -4837.5326,	      -1455.6036 ; 		 //plane 0 point @4 
      3635.7137,	       8443.1478,	      -1444.5689 ; 		 //plane 0 point @5 
      3635.7669,	       8424.8456,	       6873.4192 ; 		 //plane 1 point @6 
     -1297.8263,	       8416.8589,	       6876.7397 ; 		 //plane 1 point @7 
     -1266.7048,	      -4857.1501,	       6860.1421 ; 		 //plane 1 point @8 
      3674.2984,	      -4837.5326,	       6856.8311 ; 		 //plane 1 point @9 
      3635.7669,	       8424.8456,	       6873.4192 ; 		 //plane 1 point @10 
     -2647.0852,	       8432.9744,	      -1439.1426 ; 		 //plane 2 point @11 
      3635.7137,	       8443.1478,	      -1444.5689 ; 		 //plane 2 point @12 
      3635.7669,	       8424.8456,	       6873.4192 ; 		 //plane 2 point @13 
     -1297.8263,	       8416.8589,	       6876.7397 ; 		 //plane 2 point @14 
     -1310.2153,	       8420.0880,	       5400.0752 ; 		 //plane 2 point @15 
     -2604.8049,	       8418.0547,	       5372.5877 ; 		 //plane 2 point @16 
     -2964.2163,	       8419.7655,	       4330.9085 ; 		 //plane 2 point @17 
     -2994.3906,	       8430.2494,	       -455.9671 ; 		 //plane 2 point @18 
     -2647.0852,	       8432.9744,	      -1439.1426 ; 		 //plane 2 point @19 
      3635.7137,	       8443.1478,	      -1444.5689 ; 		 //plane 3 point @20 
      3674.2984,	      -4837.5326,	      -1455.6036 ; 		 //plane 3 point @21 
      3674.2984,	      -4837.5326,	       6856.8311 ; 		 //plane 3 point @22 
      3635.7669,	       8424.8456,	       6873.4192 ; 		 //plane 3 point @23 
      3635.7137,	       8443.1478,	      -1444.5689 ; 		 //plane 3 point @24 
     -2602.6383,	      -4862.4542,	      -1450.1945 ; 		 //plane 4 point @25 
      3674.2984,	      -4837.5326,	      -1455.6036 ; 		 //plane 4 point @26 
      3674.2984,	      -4837.5326,	       6856.8311 ; 		 //plane 4 point @27 
     -1266.7048,	      -4857.1501,	       6860.1421 ; 		 //plane 4 point @28 
     -1279.1036,	      -4857.1993,	       5381.3988 ; 		 //plane 4 point @29 
     -2581.3580,	      -4862.3697,	       5353.7440 ; 		 //plane 4 point @30 
     -2935.0173,	      -4863.7738,	       4328.7159 ; 		 //plane 4 point @31 
     -2964.9565,	      -4863.8927,	       -424.5319 ; 		 //plane 4 point @32 
     -2602.6383,	      -4862.4542,	      -1450.1945 ; 		 //plane 4 point @33 
     -2647.0852,	       8432.9744,	      -1439.1426 ; 		 //plane 5 point @34 
     -2602.6383,	      -4862.4542,	      -1450.1945 ; 		 //plane 5 point @35 
     -2964.9565,	      -4863.8927,	       -424.5319 ; 		 //plane 5 point @36 
     -2994.3906,	       8430.2494,	       -455.9671 ; 		 //plane 5 point @37 
     -2647.0852,	       8432.9744,	      -1439.1426 ; 		 //plane 5 point @38 
     -2994.3906,	       8430.2494,	       -455.9671 ; 		 //plane 6 point @39 
     -2964.9565,	      -4863.8927,	       -424.5319 ; 		 //plane 6 point @40 
     -2935.0173,	      -4863.7738,	       4328.7159 ; 		 //plane 6 point @41 
     -2964.2163,	       8419.7655,	       4330.9085 ; 		 //plane 6 point @42 
     -2994.3906,	       8430.2494,	       -455.9671 ; 		 //plane 6 point @43 
     -2964.2163,	       8419.7655,	       4330.9085 ; 		 //plane 7 point @44 
     -2935.0173,	      -4863.7738,	       4328.7159 ; 		 //plane 7 point @45 
     -2581.3580,	      -4862.3697,	       5353.7440 ; 		 //plane 7 point @46 
     -2604.8049,	       8418.0547,	       5372.5877 ; 		 //plane 7 point @47 
     -2964.2163,	       8419.7655,	       4330.9085 ; 		 //plane 7 point @48 
     -2604.8049,	       8418.0547,	       5372.5877 ; 		 //plane 8 point @49 
     -2581.3580,	      -4862.3697,	       5353.7440 ; 		 //plane 8 point @50 
     -1279.1036,	      -4857.1993,	       5381.3988 ; 		 //plane 8 point @51 
     -1310.2153,	       8420.0880,	       5400.0752 ; 		 //plane 8 point @52 
     -2604.8049,	       8418.0547,	       5372.5877 ; 		 //plane 8 point @53 
     -1310.2153,	       8420.0880,	       5400.0752 ; 		 //plane 9 point @54 
     -1279.1036,	      -4857.1993,	       5381.3988 ; 		 //plane 9 point @55 
     -1266.7048,	      -4857.1501,	       6860.1421 ; 		 //plane 9 point @56 
     -1297.8263,	       8416.8589,	       6876.7397 ; 		 //plane 9 point @57 
     -1310.2153,	       8420.0880,	       5400.0752 ; 		 //plane 9 point @58 
