Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.63571,	   8.44315,	  -1.44457
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.64709,	   8.43297,	  -1.43914
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.60264,	  -4.86245,	  -1.45019
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.67430,	  -4.83753,	  -1.45560
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.63571,	   8.44315,	  -1.44457
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.63577,	   8.42485,	   6.87342
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.29783,	   8.41686,	   6.87674
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.26670,	  -4.85715,	   6.86014
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.67430,	  -4.83753,	   6.85683
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.63577,	   8.42485,	   6.87342
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.64709,	   8.43297,	  -1.43914
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.63571,	   8.44315,	  -1.44457
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.63577,	   8.42485,	   6.87342
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.29783,	   8.41686,	   6.87674
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.31022,	   8.42009,	   5.40008
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.60480,	   8.41805,	   5.37259
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.96422,	   8.41977,	   4.33091
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.99439,	   8.43025,	  -0.45597
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.64709,	   8.43297,	  -1.43914
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.63571,	   8.44315,	  -1.44457
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.67430,	  -4.83753,	  -1.45560
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.67430,	  -4.83753,	   6.85683
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.63577,	   8.42485,	   6.87342
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.63571,	   8.44315,	  -1.44457
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.60264,	  -4.86245,	  -1.45019
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.67430,	  -4.83753,	  -1.45560
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.67430,	  -4.83753,	   6.85683
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.26670,	  -4.85715,	   6.86014
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.27910,	  -4.85720,	   5.38140
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.58136,	  -4.86237,	   5.35374
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.93502,	  -4.86377,	   4.32872
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.96496,	  -4.86389,	  -0.42453
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.60264,	  -4.86245,	  -1.45019
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.64709,	   8.43297,	  -1.43914
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.60264,	  -4.86245,	  -1.45019
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.96496,	  -4.86389,	  -0.42453
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.99439,	   8.43025,	  -0.45597
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.64709,	   8.43297,	  -1.43914
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.99439,	   8.43025,	  -0.45597
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.96496,	  -4.86389,	  -0.42453
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.93502,	  -4.86377,	   4.32872
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.96422,	   8.41977,	   4.33091
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.99439,	   8.43025,	  -0.45597
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.96422,	   8.41977,	   4.33091
46   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.93502,	  -4.86377,	   4.32872
47   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.58136,	  -4.86237,	   5.35374
48   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.60480,	   8.41805,	   5.37259
49   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.96422,	   8.41977,	   4.33091
50   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.60480,	   8.41805,	   5.37259
51   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.58136,	  -4.86237,	   5.35374
52   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.27910,	  -4.85720,	   5.38140
53   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.31022,	   8.42009,	   5.40008
54   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.60480,	   8.41805,	   5.37259
55   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.31022,	   8.42009,	   5.40008
56   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.27910,	  -4.85720,	   5.38140
57   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.26670,	  -4.85715,	   6.86014
58   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.29783,	   8.41686,	   6.87674
59   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.31022,	   8.42009,	   5.40008
