   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,  359 59 59 ,   90 01 33,          0,      0.000,      0.000,            0,            0,          0
2               ,  359 57 52 ,   90 00 02,      8.089,      0.000,      0.000,       -0.005,        8.089,     -0.000
3               ,   36 34 17 ,  123 25 19,      2.606,      0.000,      0.000,        1.296,        1.747,     -1.435
4               ,   36 34 28 ,   17 29 56,      7.200,      0.000,      0.000,        1.290,        1.739,      6.866
5               ,   23 36 06 ,   94 07 16,      8.850,      0.000,      0.000,        3.534,        8.089,     -0.636
6               ,   23 36 06 ,   85 48 29,      8.847,      0.000,      0.000,        3.533,        8.085,      0.647
7               ,   23 36 06 ,   78 51 39,      8.993,      0.000,      0.000,        3.533,        8.086,      1.737
8               ,   23 36 10 ,   73 40 27,      9.191,      0.000,      0.000,        3.532,        8.082,      2.583
9               ,   23 36 12 ,   67 16 37,      9.557,      0.000,      0.000,        3.530,        8.078,      3.692
10              ,   23 36 13 ,   59 41 36,     10.206,      0.000,      0.000,        3.528,        8.074,      5.150
11              ,   23 36 03 ,   52 40 45,     11.077,      0.000,      0.000,        3.527,        8.072,      6.716
12              ,   21 28 15 ,   52 11 53,     10.972,      0.000,      0.000,        3.173,        8.068,      6.725
13              ,   21 28 11 ,   58 13 34,     10.196,      0.000,      0.000,        3.173,        8.066,      5.369
14              ,   21 28 12 ,   64 13 05,      9.627,      0.000,      0.000,        3.173,        8.068,      4.187
15              ,   21 28 12 ,   70 06 39,      9.218,      0.000,      0.000,        3.173,        8.067,      3.136
16              ,   21 28 12 ,   78 34 02,      8.851,      0.000,      0.000,        3.175,        8.073,      1.754
17              ,   21 28 12 ,   88 39 23,      8.682,      0.000,      0.000,        3.177,        8.077,      0.204
18              ,   21 28 17 ,   93 35 18,      8.699,      0.000,      0.000,        3.178,        8.080,     -0.544
19              ,   13 34 09 ,   96 04 31,      8.369,      0.000,      0.000,        1.953,        8.090,     -0.886
20              ,   13 34 10 ,   87 23 36,      8.326,      0.000,      0.000,        1.951,        8.085,      0.379
21              ,   13 34 13 ,   79 10 45,      8.465,      0.000,      0.000,        1.951,        8.082,      1.589
22              ,   13 34 20 ,   69 00 39,      8.897,      0.000,      0.000,        1.949,        8.074,      3.187
23              ,   13 34 23 ,   61 10 09,      9.476,      0.000,      0.000,        1.948,        8.069,      4.569
24              ,   13 34 27 ,   55 24 50,     10.079,      0.000,      0.000,        1.948,        8.066,      5.721
25              ,   13 34 22 ,   50 58 47,     10.677,      0.000,      0.000,        1.947,        8.063,      6.722
26              ,   11 00 40 ,   50 58 47,     10.581,      0.000,      0.000,        1.570,        8.069,      6.662
27              ,   11 00 39 ,   58 14 02,      9.670,      0.000,      0.000,        1.570,        8.070,      5.091
28              ,   11 00 38 ,   66 02 56,      9.003,      0.000,      0.000,        1.571,        8.076,      3.655
29              ,   11 00 39 ,   75 47 33,      8.493,      0.000,      0.000,        1.572,        8.081,      2.084
30              ,   11 00 37 ,   84 23 19,      8.273,      0.000,      0.000,        1.573,        8.082,      0.809
31              ,   11 00 42 ,   95 29 05,      8.279,      0.000,      0.000,        1.574,        8.089,     -0.791
32              ,    2 41 03 ,   99 26 50,      8.206,      0.000,      0.000,        0.379,        8.086,     -1.347
33              ,    2 41 07 ,   89 50 33,      8.096,      0.000,      0.000,        0.379,        8.087,      0.022
34              ,    2 41 07 ,   82 07 20,      8.167,      0.000,      0.000,        0.379,        8.081,      1.119
35              ,    2 41 10 ,   75 48 50,      8.344,      0.000,      0.000,        0.379,        8.080,      2.045
36              ,    2 41 12 ,   66 56 33,      8.788,      0.000,      0.000,        0.379,        8.077,      3.442
37              ,    2 41 10 ,   60 41 38,      9.271,      0.000,      0.000,        0.379,        8.075,      4.538
38              ,    2 41 12 ,   55 20 39,      9.829,      0.000,      0.000,        0.379,        8.077,      5.589
39              ,    2 41 14 ,   50 04 41,     10.534,      0.000,      0.000,        0.379,        8.069,      6.760
40              ,  359 38 13 ,   50 04 41,     10.536,      0.000,      0.000,       -0.051,        8.080,      6.761
41              ,  359 38 11 ,   55 11 57,      9.846,      0.000,      0.000,       -0.051,        8.085,      5.619
42              ,  359 38 09 ,   62 14 41,      9.138,      0.000,      0.000,       -0.051,        8.087,      4.256
43              ,  359 38 09 ,   68 43 34,      8.677,      0.000,      0.000,       -0.051,        8.085,      3.148
44              ,  359 38 09 ,   76 04 25,      8.332,      0.000,      0.000,       -0.051,        8.087,      2.005
45              ,  359 38 11 ,   84 12 58,      8.129,      0.000,      0.000,       -0.051,        8.087,      0.819
46              ,  359 38 09 ,   92 08 29,      8.095,      0.000,      0.000,       -0.051,        8.089,     -0.303
47              ,  359 38 13 ,   99 31 33,      8.204,      0.000,      0.000,       -0.051,        8.091,     -1.358
48              ,  351 04 10 ,   98 35 36,      8.280,      0.000,      0.000,       -1.271,        8.088,     -1.237
49              ,  351 04 13 ,   90 18 00,      8.181,      0.000,      0.000,       -1.270,        8.082,     -0.043
50              ,  351 04 13 ,   83 05 14,      8.237,      0.000,      0.000,       -1.269,        8.078,      0.991
51              ,  351 04 14 ,   73 01 07,      8.546,      0.000,      0.000,       -1.269,        8.074,      2.496
52              ,  351 04 16 ,   64 11 20,      9.070,      0.000,      0.000,       -1.267,        8.066,      3.949
53              ,  351 04 14 ,   58 03 58,      9.638,      0.000,      0.000,       -1.270,        8.080,      5.098
54              ,  351 26 29 ,   50 29 33,     10.563,      0.000,      0.000,       -1.213,        8.059,      6.720
55              ,  349 05 56 ,   61 01 38,      9.401,      0.000,      0.000,       -1.555,        8.076,      4.554
56              ,  349 05 59 ,   67 03 00,      8.926,      0.000,      0.000,       -1.554,        8.071,      3.481
57              ,  349 06 02 ,   74 11 19,      8.547,      0.000,      0.000,       -1.555,        8.076,      2.329
58              ,  349 06 03 ,   80 37 39,      8.335,      0.000,      0.000,       -1.555,        8.076,      1.357
59              ,  349 06 04 ,   87 05 44,      8.237,      0.000,      0.000,       -1.555,        8.078,      0.417
60              ,  349 06 03 ,   94 17 28,      8.255,      0.000,      0.000,       -1.557,        8.084,     -0.618
61              ,  349 06 03 ,   98 43 48,      8.331,      0.000,      0.000,       -1.557,        8.086,     -1.265
62              ,  341 02 26 ,   95 48 46,      8.583,      0.000,      0.000,       -2.774,        8.076,     -0.869
63              ,  340 11 49 ,   92 18 24,      8.594,      0.000,      0.000,       -2.909,        8.079,     -0.346
64              ,  340 11 54 ,   87 27 54,      8.598,      0.000,      0.000,       -2.910,        8.082,      0.380
65              ,  340 11 52 ,   82 57 29,      8.654,      0.000,      0.000,       -2.910,        8.081,      1.061
66              ,  340 11 53 ,   77 47 57,      8.788,      0.000,      0.000,       -2.910,        8.082,      1.857
67              ,  340 11 57 ,   72 29 04,      9.004,      0.000,      0.000,       -2.909,        8.078,      2.710
68              ,  340 12 07 ,   63 31 59,      9.587,      0.000,      0.000,       -2.907,        8.075,      4.273
69              ,  341 13 53 ,   60 39 13,      9.774,      0.000,      0.000,       -2.741,        8.066,      4.790
70              ,   17 25 42 ,   93 14 35,      9.232,      0.000,      0.000,        2.761,        8.795,     -0.522
71              ,   17 25 41 ,   87 42 28,      9.222,      0.000,      0.000,        2.760,        8.792,      0.369
72              ,   17 25 39 ,   82 59 30,      9.281,      0.000,      0.000,        2.759,        8.788,      1.132
73              ,   17 25 38 ,   78 12 13,      9.407,      0.000,      0.000,        2.758,        8.786,      1.923
74              ,   17 25 41 ,   74 03 29,      9.573,      0.000,      0.000,        2.757,        8.783,      2.629
75              ,   17 25 44 ,   69 13 28,      9.844,      0.000,      0.000,        2.757,        8.781,      3.492
76              ,   17 25 44 ,   65 13 40,     10.135,      0.000,      0.000,        2.756,        8.780,      4.247
77              ,   17 25 44 ,   60 21 06,     10.585,      0.000,      0.000,        2.755,        8.777,      5.236
78              ,   17 25 45 ,   56 54 10,     10.984,      0.000,      0.000,        2.756,        8.779,      5.998
79              ,   17 25 42 ,   53 23 10,     11.465,      0.000,      0.000,        2.756,        8.780,      6.838
80              ,    7 17 23 ,   52 47 20,     11.118,      0.000,      0.000,        1.124,        8.783,      6.724
81              ,    7 17 19 ,   58 07 57,     10.428,      0.000,      0.000,        1.124,        8.784,      5.505
82              ,    7 17 24 ,   65 02 16,      9.772,      0.000,      0.000,        1.124,        8.787,      4.124
83              ,    7 17 21 ,   71 04 57,      9.368,      0.000,      0.000,        1.124,        8.790,      3.037
84              ,    7 17 21 ,   78 27 11,      9.047,      0.000,      0.000,        1.125,        8.792,      1.811
85              ,    7 17 20 ,   85 45 51,      8.891,      0.000,      0.000,        1.125,        8.796,      0.657
86              ,    7 17 22 ,   95 56 28,      8.919,      0.000,      0.000,        1.126,        8.800,     -0.923
87              ,    5 02 30 ,   95 56 18,      8.883,      0.000,      0.000,        0.776,        8.802,     -0.919
88              ,    5 02 30 ,   89 29 56,      8.834,      0.000,      0.000,        0.776,        8.799,      0.077
89              ,    5 02 29 ,   83 23 06,      8.888,      0.000,      0.000,        0.776,        8.794,      1.024
90              ,    5 02 31 ,   77 29 22,      9.040,      0.000,      0.000,        0.776,        8.791,      1.958
91              ,    5 02 31 ,   71 47 31,      9.289,      0.000,      0.000,        0.775,        8.789,      2.902
92              ,    5 02 32 ,   66 35 17,      9.609,      0.000,      0.000,        0.775,        8.784,      3.818
93              ,    5 02 32 ,   59 52 26,     10.192,      0.000,      0.000,        0.775,        8.781,      5.115
94              ,    5 02 35 ,   53 23 42,     10.984,      0.000,      0.000,        0.775,        8.783,      6.549
95              ,  356 46 30 ,   98 03 12,      8.897,      0.000,      0.000,       -0.496,        8.795,     -1.246
96              ,  356 46 31 ,   89 30 29,      8.810,      0.000,      0.000,       -0.496,        8.796,      0.076
97              ,  356 46 28 ,   80 04 26,      8.940,      0.000,      0.000,       -0.495,        8.793,      1.541
98              ,  356 46 41 ,   71 47 12,      9.268,      0.000,      0.000,       -0.495,        8.789,      2.897
99              ,  356 46 48 ,   61 32 59,     10.013,      0.000,      0.000,       -0.495,        8.790,      4.770
100             ,  356 46 10 ,   53 02 21,     11.016,      0.000,      0.000,       -0.496,        8.788,      6.624
101             ,  354 48 17 ,   53 02 31,     11.031,      0.000,      0.000,       -0.798,        8.778,      6.632
102             ,  354 48 16 ,   63 13 20,      9.880,      0.000,      0.000,       -0.799,        8.784,      4.451
103             ,  354 48 14 ,   74 50 05,      9.146,      0.000,      0.000,       -0.799,        8.791,      2.393
104             ,  354 48 14 ,   84 08 29,      8.877,      0.000,      0.000,       -0.800,        8.794,      0.906
105             ,  354 48 14 ,   93 04 45,      8.845,      0.000,      0.000,       -0.800,        8.796,     -0.475
106             ,  354 47 42 ,   98 02 06,      8.921,      0.000,      0.000,       -0.801,        8.797,     -1.247
107             ,  346 55 37 ,   98 01 45,      9.114,      0.000,      0.000,       -2.041,        8.791,     -1.273
108             ,  346 55 41 ,   91 47 29,      9.028,      0.000,      0.000,       -2.041,        8.790,     -0.282
109             ,  346 55 39 ,   84 08 34,      9.068,      0.000,      0.000,       -2.040,        8.786,      0.925
110             ,  346 55 38 ,   77 05 40,      9.250,      0.000,      0.000,       -2.039,        8.783,      2.066
111             ,  346 55 48 ,   68 33 07,      9.686,      0.000,      0.000,       -2.039,        8.782,      3.542
112             ,  346 55 30 ,   62 04 51,     10.206,      0.000,      0.000,       -2.040,        8.784,      4.778
113             ,  345 20 17 ,   59 55 50,     10.482,      0.000,      0.000,       -2.296,        8.776,      5.252
114             ,  344 45 31 ,   67 24 15,      9.855,      0.000,      0.000,       -2.392,        8.779,      3.787
