Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.47418,	   8.53092,	  -1.44523
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.79503,	   8.41034,	  -1.42538
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.48339,	  -4.90955,	  -1.45864
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.79599,	  -4.75401,	  -1.47845
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.47418,	   8.53092,	  -1.44523
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.47517,	   8.49024,	   6.88433
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.43903,	   8.39580,	   6.88332
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.13199,	  -4.87607,	   6.83027
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.79599,	  -4.75401,	   6.83139
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.47517,	   8.49024,	   6.88433
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.79503,	   8.41034,	  -1.42538
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.47418,	   8.53092,	  -1.44523
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.47517,	   8.49024,	   6.88433
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.43903,	   8.39580,	   6.88332
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.45190,	   8.40277,	   5.40579
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.73697,	   8.37820,	   5.37893
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.10254,	   8.37626,	   4.33918
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.14026,	   8.39881,	  -0.42312
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.79503,	   8.41034,	  -1.42538
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.47418,	   8.53092,	  -1.44523
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.79599,	  -4.75401,	  -1.47845
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.79599,	  -4.75401,	   6.83139
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.47517,	   8.49024,	   6.88433
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.47418,	   8.53092,	  -1.44523
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.48339,	  -4.90955,	  -1.45864
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.79599,	  -4.75401,	  -1.47845
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.79599,	  -4.75401,	   6.83139
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.13199,	  -4.87607,	   6.83027
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.14457,	  -4.87639,	   5.36675
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.43577,	  -4.90837,	   5.33974
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.79549,	  -4.91728,	   4.31613
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.83266,	  -4.91820,	  -0.44485
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.48339,	  -4.90955,	  -1.45864
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.79503,	   8.41034,	  -1.42538
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.48339,	  -4.90955,	  -1.45864
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.83266,	  -4.91820,	  -0.44485
