   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,  359 59 58 ,   90 05 31,          0,      0.000,      0.000,            0,            0,          0
2               ,    1 11 14 ,   89 23 09,      8.106,      0.000,      0.000,        0.168,        8.104,      0.087
3               ,  320 47 42 ,  125 43 14,      2.470,      0.000,      0.000,       -1.268,        1.554,     -1.442
4               ,  323 11 48 ,   18 02 40,      7.206,      0.000,      0.000,       -1.337,        1.787,      6.852
5               ,   20 50 45 ,   93 07 06,      8.638,      0.000,      0.000,        3.070,        8.061,     -0.470
6               ,   20 50 48 ,   85 58 34,      8.650,      0.000,      0.000,        3.071,        8.064,      0.607
7               ,   20 50 50 ,   78 37 39,      8.800,      0.000,      0.000,        3.070,        8.062,      1.735
8               ,   20 50 47 ,   71 55 51,      9.076,      0.000,      0.000,        3.070,        8.063,      2.815
9               ,   20 43 25 ,   63 24 52,      9.637,      0.000,      0.000,        3.050,        8.061,      4.313
10              ,   19 42 14 ,   60 40 37,      9.816,      0.000,      0.000,        2.886,        8.057,      4.807
11              ,   19 42 15 ,   64 26 36,      9.485,      0.000,      0.000,        2.885,        8.056,      4.092
12              ,   19 48 15 ,   79 13 55,      8.717,      0.000,      0.000,        2.902,        8.057,      1.629
13              ,   19 48 18 ,   86 14 06,      8.584,      0.000,      0.000,        2.902,        8.059,      0.564
14              ,   19 48 21 ,   96 20 17,      8.617,      0.000,      0.000,        2.902,        8.058,     -0.951
15              ,   12 01 17 ,   99 40 41,      8.377,      0.000,      0.000,        1.720,        8.076,     -1.408
16              ,   12 01 19 ,   91 12 09,      8.260,      0.000,      0.000,        1.720,        8.077,     -0.173
17              ,   12 01 20 ,   82 12 28,      8.333,      0.000,      0.000,        1.720,        8.075,      1.130
18              ,   12 01 23 ,   73 43 51,      8.602,      0.000,      0.000,        1.720,        8.077,      2.410
19              ,   12 01 26 ,   66 29 58,      9.003,      0.000,      0.000,        1.720,        8.075,      3.590
20              ,   12 01 09 ,   61 05 24,      9.433,      0.000,      0.000,        1.719,        8.076,      4.560
21              ,    9 25 42 ,   51 42 52,     10.439,      0.000,      0.000,        1.342,        8.083,      6.468
22              ,    9 25 42 ,   57 55 09,      9.675,      0.000,      0.000,        1.343,        8.087,      5.138
23              ,    9 25 42 ,   64 09 17,      9.100,      0.000,      0.000,        1.342,        8.079,      3.967
