   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,    0 00 05 ,   89 44 26,          0,      0.000,      0.000,            0,            0,          0
2               ,  358 56 10 ,   89 46 47,      7.455,      0.000,      0.000,       -0.138,        7.454,      0.029
3               ,    6 57 29 ,  130 59 29,      2.200,      0.000,      0.000,        0.201,        1.648,     -1.443
4               ,    7 31 44 ,   14 52 33,      7.109,      0.000,      0.000,        0.239,        1.809,      6.871
5               ,   23 47 26 ,   94 28 14,      8.145,      0.000,      0.000,        3.276,        7.431,     -0.635
6               ,   23 47 28 ,   87 03 03,      8.126,      0.000,      0.000,        3.274,        7.426,      0.418
7               ,   23 47 34 ,   80 50 41,      8.219,      0.000,      0.000,        3.274,        7.425,      1.308
8               ,   23 47 40 ,   71 45 08,      8.540,      0.000,      0.000,        3.272,        7.421,      2.674
9               ,   23 47 40 ,   64 07 32,      9.017,      0.000,      0.000,        3.273,        7.424,      3.935
10              ,   23 47 45 ,   58 06 27,      9.553,      0.000,      0.000,        3.273,        7.422,      5.047
11              ,   23 47 13 ,   50 41 16,     10.485,      0.000,      0.000,        3.272,        7.423,      6.643
12              ,   22 09 34 ,   50 10 15,     10.429,      0.000,      0.000,        3.021,        7.417,      6.680
13              ,   22 09 32 ,   56 31 56,      9.602,      0.000,      0.000,        3.021,        7.418,      5.295
14              ,   22 09 31 ,   67 05 53,      8.699,      0.000,      0.000,        3.022,        7.421,      3.385
15              ,   22 09 35 ,   77 32 20,      8.210,      0.000,      0.000,        3.024,        7.425,      1.772
16              ,   22 09 35 ,   85 22 24,      8.049,      0.000,      0.000,        3.026,        7.430,      0.649
17              ,   22 09 29 ,   94 43 16,      8.054,      0.000,      0.000,        3.027,        7.434,     -0.663
18              ,   13 38 59 ,   97 07 14,      7.721,      0.000,      0.000,        1.808,        7.445,     -0.957
19              ,   13 39 05 ,   86 47 20,      7.672,      0.000,      0.000,        1.808,        7.443,      0.430
20              ,   13 39 16 ,   76 53 47,      7.860,      0.000,      0.000,        1.807,        7.439,      1.782
21              ,   13 39 15 ,   68 52 36,      8.202,      0.000,      0.000,        1.806,        7.435,      2.956
22              ,   13 39 13 ,   61 22 14,      8.719,      0.000,      0.000,        1.806,        7.436,      4.177
23              ,   13 39 17 ,   55 21 03,      9.300,      0.000,      0.000,        1.806,        7.435,      5.288
24              ,   13 38 58 ,   48 54 12,     10.150,      0.000,      0.000,        1.805,        7.433,      6.672
25              ,   11 05 31 ,   48 54 31,     10.052,      0.000,      0.000,        1.458,        7.435,      6.607
26              ,   11 05 36 ,   56 53 11,      9.046,      0.000,      0.000,        1.458,        7.435,      4.942
27              ,   11 05 35 ,   64 58 57,      8.365,      0.000,      0.000,        1.458,        7.438,      3.537
28              ,   11 05 35 ,   76 20 04,      7.803,      0.000,      0.000,        1.459,        7.440,      1.844
29              ,   11 05 33 ,   87 13 19,      7.595,      0.000,      0.000,        1.460,        7.444,      0.368
30              ,   11 05 31 ,   96 47 07,      7.645,      0.000,      0.000,        1.460,        7.450,     -0.903
31              ,    2 01 48 ,   96 46 49,      7.500,      0.000,      0.000,        0.264,        7.443,     -0.885
32              ,    2 01 48 ,   86 58 35,      7.454,      0.000,      0.000,        0.264,        7.439,      0.393
33              ,    2 01 49 ,   76 20 29,      7.663,      0.000,      0.000,        0.264,        7.441,      1.809
34              ,    2 01 53 ,   65 36 47,      8.172,      0.000,      0.000,        0.264,        7.438,      3.374
35              ,    2 01 54 ,   57 04 34,      8.865,      0.000,      0.000,        0.264,        7.437,      4.818
36              ,    2 01 19 ,   47 43 27,     10.057,      0.000,      0.000,        0.263,        7.436,      6.765
37              ,  358 57 30 ,   47 47 03,     10.043,      0.000,      0.000,       -0.135,        7.437,      6.748
38              ,  358 57 27 ,   53 17 28,      9.284,      0.000,      0.000,       -0.135,        7.442,      5.550
39              ,  358 57 28 ,   59 36 22,      8.631,      0.000,      0.000,       -0.135,        7.444,      4.367
40              ,  358 57 30 ,   66 49 48,      8.099,      0.000,      0.000,       -0.135,        7.445,      3.187
41              ,  358 57 31 ,   75 40 09,      7.689,      0.000,      0.000,       -0.135,        7.449,      1.903
42              ,  358 57 29 ,   85 56 15,      7.471,      0.000,      0.000,       -0.135,        7.451,      0.529
43              ,  358 57 34 ,   99 50 48,      7.567,      0.000,      0.000,       -0.135,        7.455,     -1.294
44              ,  349 05 42 ,   99 18 00,      7.687,      0.000,      0.000,       -1.435,        7.449,     -1.242
45              ,  349 05 40 ,   93 29 28,      7.598,      0.000,      0.000,       -1.435,        7.447,     -0.463
46              ,  349 05 42 ,   86 19 18,      7.597,      0.000,      0.000,       -1.434,        7.444,      0.487
47              ,  349 05 52 ,   80 44 35,      7.680,      0.000,      0.000,       -1.434,        7.443,      1.235
48              ,  349 05 52 ,   74 24 12,      7.868,      0.000,      0.000,       -1.433,        7.441,      2.115
49              ,  349 06 07 ,   70 33 56,      8.034,      0.000,      0.000,       -1.432,        7.440,      2.673
50              ,  349 06 13 ,   66 49 13,      8.239,      0.000,      0.000,       -1.432,        7.438,      3.243
51              ,  349 05 59 ,   63 25 35,      8.467,      0.000,      0.000,       -1.432,        7.436,      3.788
52              ,  349 33 54 ,   59 09 18,      8.800,      0.000,      0.000,       -1.368,        7.430,      4.512
53              ,  349 34 06 ,   53 43 10,      9.382,      0.000,      0.000,       -1.369,        7.438,      5.552
54              ,  349 33 50 ,   48 40 23,     10.063,      0.000,      0.000,       -1.369,        7.432,      6.645
55              ,  346 59 31 ,   59 57 43,      8.805,      0.000,      0.000,       -1.716,        7.427,      4.407
56              ,  346 59 26 ,   64 41 26,      8.435,      0.000,      0.000,       -1.717,        7.430,      3.606
57              ,  346 59 28 ,   71 26 37,      8.050,      0.000,      0.000,       -1.718,        7.435,      2.562
58              ,  346 59 27 ,   77 23 33,      7.822,      0.000,      0.000,       -1.718,        7.438,      1.707
59              ,  346 59 26 ,   82 42 10,      7.698,      0.000,      0.000,       -1.719,        7.440,      0.978
60              ,  346 59 26 ,   89 20 30,      7.641,      0.000,      0.000,       -1.720,        7.444,      0.088
61              ,  346 59 25 ,   93 03 07,      7.653,      0.000,      0.000,       -1.720,        7.446,     -0.407
62              ,  346 59 18 ,   99 15 54,      7.744,      0.000,      0.000,       -1.721,        7.446,     -1.247
63              ,  338 23 08 ,   95 09 38,      8.041,      0.000,      0.000,       -2.950,        7.445,     -0.723
64              ,  338 23 07 ,   88 15 16,      8.007,      0.000,      0.000,       -2.948,        7.441,      0.244
65              ,  338 23 06 ,   82 47 40,      8.065,      0.000,      0.000,       -2.948,        7.439,      1.012
66              ,  338 23 03 ,   76 37 52,      8.221,      0.000,      0.000,       -2.946,        7.436,      1.901
67              ,  338 23 11 ,   70 35 17,      8.483,      0.000,      0.000,       -2.947,        7.438,      2.819
68              ,  338 49 09 ,   59 40 50,      9.238,      0.000,      0.000,       -2.881,        7.436,      4.663
69              ,  337 47 29 ,   62 11 36,      9.086,      0.000,      0.000,       -3.038,        7.440,      4.238
70              ,  337 47 25 ,   78 02 48,      8.212,      0.000,      0.000,       -3.037,        7.438,      1.701
71              ,  337 47 31 ,   93 02 44,      8.053,      0.000,      0.000,       -3.039,        7.445,     -0.428
72              ,   17 36 53 ,   93 14 45,      8.564,      0.000,      0.000,        2.587,        8.149,     -0.485
73              ,   17 36 52 ,   86 46 18,      8.559,      0.000,      0.000,        2.586,        8.145,      0.482
74              ,   17 37 00 ,   80 00 27,      8.673,      0.000,      0.000,        2.585,        8.141,      1.505
75              ,   17 36 59 ,   71 41 57,      8.994,      0.000,      0.000,        2.584,        8.139,      2.824
76              ,   17 37 01 ,   65 02 46,      9.415,      0.000,      0.000,        2.584,        8.136,      3.972
77              ,   17 37 01 ,   60 31 00,      9.808,      0.000,      0.000,        2.584,        8.137,      4.827
78              ,   17 37 03 ,   55 59 51,     10.297,      0.000,      0.000,        2.584,        8.136,      5.758
79              ,   17 36 28 ,   52 19 50,     10.781,      0.000,      0.000,        2.581,        8.134,      6.588
80              ,   15 34 26 ,   51 51 01,     10.744,      0.000,      0.000,        2.268,        8.139,      6.637
81              ,   15 34 31 ,   56 23 48,     10.145,      0.000,      0.000,        2.269,        8.139,      5.615
82              ,   15 34 28 ,   63 14 04,      9.463,      0.000,      0.000,        2.269,        8.139,      4.262
83              ,   15 34 29 ,   70 03 14,      8.990,      0.000,      0.000,        2.269,        8.140,      3.067
