Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.46678,	   7.79375,	  -1.45990
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.77539,	   7.80379,	  -1.45989
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.78336,	  -0.16397,	  -1.44912
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.86989,	  -4.04842,	  -1.44387
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.44550,	  -4.07778,	  -1.44385
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.46678,	   7.79375,	  -1.45990
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.46677,	   7.79101,	   6.85858
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.44822,	   7.79892,	   6.85227
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.50944,	  -4.05041,	   6.87798
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.44550,	  -4.07778,	   6.88439
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.46677,	   7.79101,	   6.85858
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.77539,	   7.80379,	  -1.45989
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.46678,	   7.79375,	  -1.45990
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.46677,	   7.79101,	   6.85858
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.44822,	   7.79892,	   6.85227
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.46088,	   7.79942,	   5.38759
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.77186,	   7.80154,	   5.35389
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.13342,	   7.80247,	   4.28699
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.14222,	   7.80405,	  -0.46228
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.77539,	   7.80379,	  -1.45989
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.46678,	   7.79375,	  -1.45990
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.44550,	  -4.07778,	  -1.44385
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.44550,	  -4.07778,	   6.88439
