      3466.7773,	       7793.7533,	      -1459.8976 ; 		 //plane 0 point @1 
     -2775.3895,	       7803.7918,	      -1459.8937 ; 		 //plane 0 point @2 
     -2783.3566,	       -163.9706,	      -1449.1212 ; 		 //plane 0 point @3 
     -1869.8942,	      -4048.4226,	      -1443.8720 ; 		 //plane 0 point @4 
      3445.4976,	      -4077.7803,	      -1443.8471 ; 		 //plane 0 point @5 
      3466.7773,	       7793.7533,	      -1459.8976 ; 		 //plane 0 point @6 
      3466.7724,	       7791.0118,	       6858.5811 ; 		 //plane 1 point @7 
     -1448.2189,	       7798.9180,	       6852.2697 ; 		 //plane 1 point @8 
     -1509.4440,	      -4050.4134,	       6877.9804 ; 		 //plane 1 point @9 
      3445.4976,	      -4077.7803,	       6884.3853 ; 		 //plane 1 point @10 
      3466.7724,	       7791.0118,	       6858.5811 ; 		 //plane 1 point @11 
     -2775.3895,	       7803.7918,	      -1459.8937 ; 		 //plane 2 point @12 
      3466.7773,	       7793.7533,	      -1459.8976 ; 		 //plane 2 point @13 
      3466.7724,	       7791.0118,	       6858.5811 ; 		 //plane 2 point @14 
     -1448.2189,	       7798.9180,	       6852.2697 ; 		 //plane 2 point @15 
     -1460.8798,	       7799.4211,	       5387.5930 ; 		 //plane 2 point @16 
     -2771.8644,	       7801.5405,	       5353.8868 ; 		 //plane 2 point @17 
     -3133.4173,	       7802.4735,	       4286.9866 ; 		 //plane 2 point @18 
     -3142.2209,	       7804.0529,	       -462.2813 ; 		 //plane 2 point @19 
     -2775.3895,	       7803.7918,	      -1459.8937 ; 		 //plane 2 point @20 
      3466.7773,	       7793.7533,	      -1459.8976 ; 		 //plane 3 point @21 
      3445.4976,	      -4077.7803,	      -1443.8471 ; 		 //plane 3 point @22 
      3445.4976,	      -4077.7803,	       6884.3853 ; 		 //plane 3 point @23 
      3466.7724,	       7791.0118,	       6858.5811 ; 		 //plane 3 point @24 
      3466.7773,	       7793.7533,	      -1459.8976 ; 		 //plane 3 point @25 
     -1869.8942,	      -4048.4226,	      -1443.8720 ; 		 //plane 4 point @26 
      3445.4976,	      -4077.7803,	      -1443.8471 ; 		 //plane 4 point @27 
      3445.4976,	      -4077.7803,	       6884.3853 ; 		 //plane 4 point @28 
     -1509.4440,	      -4050.4134,	       6877.9804 ; 		 //plane 4 point @29 
     -1522.1351,	      -4050.3433,	       5410.0820 ; 		 //plane 4 point @30 
     -2819.2326,	      -4043.1793,	       5376.7225 ; 		 //plane 4 point @31 
     -3156.0642,	      -4041.3189,	       4382.7583 ; 		 //plane 4 point @32 
     -3161.8815,	      -4041.2868,	       1245.5470 ; 		 //plane 4 point @33 
     -2514.7205,	      -4044.8611,	       -617.6802 ; 		 //plane 4 point @34 
     -1869.8942,	      -4048.4226,	      -1443.8720 ; 		 //plane 4 point @35 
     -2775.3895,	       7803.7918,	      -1459.8937 ; 		 //plane 5 point @36 
     -2783.4545,	       -261.9059,	      -1448.9888 ; 		 //plane 5 point @37 
     -3157.4344,	       -119.7263,	       -431.7418 ; 		 //plane 5 point @38 
     -3142.2209,	       7804.0529,	       -462.2813 ; 		 //plane 5 point @39 
     -2775.3895,	       7803.7918,	      -1459.8937 ; 		 //plane 5 point @40 
     -2783.3566,	       -163.9706,	      -1449.1212 ; 		 //plane 6 point @41 
     -1869.8942,	      -4048.4226,	      -1443.8720 ; 		 //plane 6 point @42 
     -2514.7205,	      -4044.8611,	       -617.6802 ; 		 //plane 6 point @43 
     -2802.5689,	       -254.6390,	      -1396.9964 ; 		 //plane 6 point @44 
     -2783.3566,	       -163.9706,	      -1449.1212 ; 		 //plane 6 point @45 
     -2802.5689,	       -254.6390,	      -1396.9964 ; 		 //plane 7 point @46 
     -2514.7205,	      -4044.8611,	       -617.6802 ; 		 //plane 7 point @47 
     -3161.8815,	      -4041.2868,	       1245.5470 ; 		 //plane 7 point @48 
     -3157.4344,	       -119.7263,	       -431.7418 ; 		 //plane 7 point @49 
