   3466.7773000000,	    7793.7533000000,	   -1459.8976000000 ; 		 //plane 0 point @1 
  -2775.3895000000,	    7803.7918000000,	   -1459.8937000000 ; 		 //plane 0 point @2 
  -2789.7933333333,	    -226.8385000000,	   -1431.7021333333 ; 		 //plane 0 point @3 
  -1869.8942000000,	   -4048.4226000000,	   -1443.8720000000 ; 		 //plane 0 point @4 
   3445.4976000000,	   -4077.7803000000,	   -1443.8471000000 ; 		 //plane 0 point @5 
   3466.7773000000,	    7793.7533000000,	   -1459.8976000000 ; 		 //plane 0 point @6 
   3466.7724000000,	    7791.0118000000,	    6858.5811000000 ; 		 //plane 1 point @7 
  -1448.2189000000,	    7798.9180000000,	    6852.2697000000 ; 		 //plane 1 point @8 
  -1509.4440000000,	   -4050.4134000000,	    6877.9804000000 ; 		 //plane 1 point @9 
   3445.4976000000,	   -4077.7803000000,	    6884.3853000000 ; 		 //plane 1 point @10 
   3466.7724000000,	    7791.0118000000,	    6858.5811000000 ; 		 //plane 1 point @11 
  -2775.3895000000,	    7803.7918000000,	   -1459.8937000000 ; 		 //plane 2 point @12 
   3466.7773000000,	    7793.7533000000,	   -1459.8976000000 ; 		 //plane 2 point @13 
   3466.7724000000,	    7791.0118000000,	    6858.5811000000 ; 		 //plane 2 point @14 
  -1448.2189000000,	    7798.9180000000,	    6852.2697000000 ; 		 //plane 2 point @15 
  -1460.8798000000,	    7799.4211000000,	    5387.5930000000 ; 		 //plane 2 point @16 
  -2771.8644000000,	    7801.5405000000,	    5353.8868000000 ; 		 //plane 2 point @17 
  -3133.4173000000,	    7802.4735000000,	    4286.9866000000 ; 		 //plane 2 point @18 
  -3142.2209000000,	    7804.0529000000,	    -462.2813000000 ; 		 //plane 2 point @19 
  -2775.3895000000,	    7803.7918000000,	   -1459.8937000000 ; 		 //plane 2 point @20 
   3466.7773000000,	    7793.7533000000,	   -1459.8976000000 ; 		 //plane 3 point @21 
   3445.4976000000,	   -4077.7803000000,	   -1443.8471000000 ; 		 //plane 3 point @22 
   3445.4976000000,	   -4077.7803000000,	    6884.3853000000 ; 		 //plane 3 point @23 
   3466.7724000000,	    7791.0118000000,	    6858.5811000000 ; 		 //plane 3 point @24 
