The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
   -16      -1459        2.866690             0.001433 
   -15      -1458        6.064380             0.005899 
   -14      -1457        9.262175             0.013562 
   -13      -1456       12.460075             0.024423 
   -12      -1455       15.658079             0.038482 
   -11      -1454       18.856189             0.055739 
   -10      -1453       22.054404             0.076195 
    -9      -1452       25.252724             0.099848 
    -8      -1451       28.451149             0.126700 
    -7      -1450       31.649679             0.156751 
    -6      -1449       34.848313             0.190000 
    -5      -1448       38.047053             0.226447 
    -4      -1447       41.245898             0.266094 
    -3      -1446       44.444848             0.308939 
    -2      -1445       47.643902             0.354984 
    -1      -1444       50.843062             0.404227 
     0      -1443       70.890224             0.465094 
     1      -1442       71.126612             0.536102 
     2      -1441       71.341657             0.607336 
     3      -1440       71.535359             0.678775 
     4      -1439       71.707718             0.750396 
     5      -1438       71.858734             0.822180 
     6      -1437       71.988407             0.894103 
     7      -1436       72.096738             0.966146 
     8      -1435       72.183725             1.038286 
     9      -1434       72.249369             1.110502 
    10      -1433       72.293671             1.182774 
    11      -1432       72.316629             1.255079 
    12      -1431       72.323505             1.327399 
    13      -1430       72.329432             1.399726 
    14      -1429       72.335357             1.472058 
    15      -1428       72.341280             1.544396 
    16      -1427       72.347202             1.616741 
    17      -1426       72.353121             1.689091 
    18      -1425       72.359038             1.761447 
    19      -1424       72.364953             1.833809 
    20      -1423       72.370866             1.906177 
    21      -1422       72.376777             1.978551 
    22      -1421       72.382686             2.050930 
    23      -1420       72.388593             2.123316 
    24      -1419       72.394498             2.195708 
    25      -1418       72.400401             2.268105 
    26      -1417       72.406302             2.340508 
    27      -1416       72.412201             2.412918 
    28      -1415       72.418098             2.485333 
    29      -1414       72.423993             2.557754 
    30      -1413       72.429886             2.630181 
    31      -1412       72.435777             2.702614 
    32      -1411       72.441666             2.775052 
    33      -1410       72.447553             2.847497 
