The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
   -38      -1464        0.025519             0.000013 
   -37      -1463        0.178862             0.000115 
   -36      -1462        0.470726             0.000440 
   -35      -1461        0.901112             0.001126 
   -34      -1460        1.470019             0.002311 
   -33      -1459        2.177447             0.004135 
   -32      -1458        3.023396             0.006735 
   -31      -1457        4.007867             0.010251 
   -30      -1456        5.130859             0.014820 
   -29      -1455        6.392372             0.020582 
   -28      -1454        7.792407             0.027674 
   -27      -1453        9.330962             0.036236 
   -26      -1452       11.008039             0.046406 
   -25      -1451       12.823638             0.058321 
   -24      -1450       14.777757             0.072122 
   -23      -1449       16.870398             0.087946 
   -22      -1448       19.101560             0.105932 
   -21      -1447       21.471243             0.126219 
   -20      -1446       23.617935             0.148763 
   -19      -1445       25.664738             0.173404 
   -18      -1444       27.711544             0.200093 
   -17      -1443       29.758354             0.228828 
   -16      -1442       31.805168             0.259609 
   -15      -1441       33.851986             0.292438 
   -14      -1440       35.898807             0.327313 
   -13      -1439       37.945633             0.364236 
   -12      -1438       39.992462             0.403205 
   -11      -1437       42.039294             0.444220 
   -10      -1436       44.086131             0.487283 
    -9      -1435       46.132971             0.532393 
    -8      -1434       48.283853             0.579601 
    -7      -1433       50.547017             0.629017 
    -6      -1432       52.719334             0.680650 
    -5      -1431       54.800804             0.734410 
    -4      -1430       56.791427             0.790206 
    -3      -1429       58.691203             0.847947 
    -2      -1428       60.500132             0.907543 
    -1      -1427       62.218215             0.968902 
     0      -1426       63.845450             1.031934 
     1      -1425       65.381839             1.096548 
     2      -1424       66.827380             1.162652 
     3      -1423       68.182075             1.230157 
     4      -1422       69.445923             1.298971 
     5      -1421       70.618924             1.369003 
     6      -1420       71.701078             1.440163 
     7      -1419       72.535668             1.512282 
     8      -1418       72.723866             1.584911 
     9      -1417       72.834269             1.657691 
    10      -1416       72.867837             1.730542 
    11      -1415       72.873761             1.803412 
    12      -1414       72.879682             1.876289 
    13      -1413       72.885602             1.949172 
    14      -1412       72.891519             2.022060 
    15      -1411       72.897434             2.094955 
    16      -1410       72.903347             2.167855 
    17      -1409       72.909258             2.240761 
    18      -1408       72.915166             2.313674 
    19      -1407       72.921073             2.386592 
    20      -1406       72.926977             2.459516 
    21      -1405       72.932879             2.532446 
    22      -1404       72.938778             2.605382 
    23      -1403       72.944676             2.678323 
    24      -1402       72.950571             2.751271 
    25      -1401       72.956464             2.824224 
    26      -1400       72.962355             2.897184 
    27      -1399       72.968244             2.970149 
    28      -1398       72.974130             3.043120 
    29      -1397       72.980015             3.116097 
    30      -1396       72.985897             3.189080 
    31      -1395       72.991776             3.262069 
    32      -1394       72.997654             3.335064 
    33      -1393       73.003530             3.408065 
    34      -1392       73.009403             3.481071 
    35      -1391       73.015274             3.554083 
    36      -1390       73.021143             3.627102 
    37      -1389       73.027009             3.700126 
    38      -1388       73.032874             3.773156 
    39      -1387       73.038736             3.846191 
    40      -1386       73.044596             3.919233 
    41      -1385       73.050454             3.992281 
    42      -1384       73.056309             4.065334 
    43      -1383       73.062163             4.138393 
    44      -1382       73.068014             4.211458 
    45      -1381       73.073863             4.284529 
    46      -1380       73.079710             4.357606 
    47      -1379       73.085554             4.430689 
    48      -1378       73.091397             4.503777 
    49      -1377       73.097237             4.576871 
    50      -1376       73.103075             4.649972 
    51      -1375       73.108911             4.723078 
    52      -1374       73.114744             4.796189 
    53      -1373       73.120576             4.869307 
    54      -1372       73.126405             4.942431 
    55      -1371       73.132232             5.015560 
    56      -1370       73.138057             5.088695 
    57      -1369       73.143879             5.161836 
    58      -1368       73.149700             5.234983 
    59      -1367       73.155518             5.308135 
    60      -1366       73.161334             5.381294 
    61      -1365       73.167147             5.454458 
    62      -1364       73.172959             5.527628 
    63      -1363       73.178768             5.600804 
    64      -1362       73.184575             5.673986 
    65      -1361       73.190380             5.747173 
    66      -1360       73.196183             5.820366 
    67      -1359       73.201984             5.893565 
    68      -1358       73.207782             5.966770 
    69      -1357       73.213578             6.039981 
    70      -1356       73.219372             6.113197 
    71      -1355       73.225164             6.186420 
    72      -1354       73.230953             6.259648 
    73      -1353       73.236740             6.332882 
    74      -1352       73.242526             6.406121 
    75      -1351       73.248308             6.479367 
    76      -1350       73.254089             6.552618 
    77      -1349       73.259868             6.625875 
    78      -1348       73.265644             6.699138 
    79      -1347       73.271418             6.772406 
    80      -1346       73.277190             6.845680 
    81      -1345       73.282960             6.918961 
    82      -1344       73.288727             6.992246 
    83      -1343       73.294492             7.065538 
    84      -1342       73.300255             7.138835 
    85      -1341       73.306016             7.212139 
    86      -1340       73.311775             7.285447 
    87      -1339       73.317531             7.358762 
    88      -1338       73.323285             7.432082 
    89      -1337       73.329038             7.505409 
    90      -1336       73.334787             7.578741 
    91      -1335       73.340535             7.652078 
    92      -1334       73.346280             7.725422 
    93      -1333       73.352024             7.798771 
    94      -1332       73.357765             7.872126 
    95      -1331       73.363503             7.945486 
    96      -1330       73.369240             8.018853 
    97      -1329       73.374975             8.092225 
    98      -1328       73.380707             8.165603 
    99      -1327       73.386437             8.238986 
   100      -1326       73.392165             8.312375 
   101      -1325       73.397890             8.385771 
   102      -1324       73.403613             8.459171 
   103      -1323       73.409335             8.532578 
   104      -1322       73.415054             8.605990 
   105      -1321       73.420770             8.679408 
   106      -1320       73.426485             8.752831 
   107      -1319       73.432197             8.826261 
   108      -1318       73.437908             8.899696 
   109      -1317       73.443616             8.973137 
   110      -1316       73.449321             9.046583 
   111      -1315       73.455025             9.120035 
