Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.09230,	   7.24730,	  -1.46461
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.21117,	   7.32237,	  -1.44676
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.30197,	  -0.55190,	  -1.41616
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.40945,	  -4.54380,	  -1.41922
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.94541,	  -4.61117,	  -1.43437
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.09230,	   7.24730,	  -1.46461
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.09255,	   7.26754,	   6.85453
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.85212,	   7.32638,	   6.85149
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.02720,	  -4.54861,	   6.88506
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.94541,	  -4.61117,	   6.88812
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.09255,	   7.26754,	   6.85453
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.21117,	   7.32237,	  -1.44676
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.09230,	   7.24730,	  -1.46461
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.09255,	   7.26754,	   6.85453
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.85212,	   7.32638,	   6.85149
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.86025,	   7.32289,	   5.37887
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.16187,	   7.33833,	   5.35493
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.53457,	   7.34016,	   4.28547
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.56306,	   7.32900,	  -0.44137
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.21117,	   7.32237,	  -1.44676
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.09230,	   7.24730,	  -1.46461
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.94541,	  -4.61117,	  -1.43437
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.94541,	  -4.61117,	   6.88812
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.09255,	   7.26754,	   6.85453
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.09230,	   7.24730,	  -1.46461
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.40945,	  -4.54380,	  -1.41922
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.94541,	  -4.61117,	  -1.43437
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.94541,	  -4.61117,	   6.88812
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.02720,	  -4.54861,	   6.88506
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.03528,	  -4.54851,	   5.41157
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.31343,	  -4.53243,	   5.38806
