  -4092.2995000000,	    7247.3038000000,	   -1464.6070000000 ; 		 //plane 0 point @1 
   2211.1683000000,	    7322.3674000000,	   -1446.7558000000 ; 		 //plane 0 point @2 
   2301.9696000000,	    -551.8981000000,	   -1416.1570000000 ; 		 //plane 0 point @3 
   1409.4463000000,	   -4543.7989000000,	   -1419.2176000000 ; 		 //plane 0 point @4 
  -3945.4112000000,	   -4611.1725000000,	   -1434.3733000000 ; 		 //plane 0 point @5 
  -4092.2995000000,	    7247.3038000000,	   -1464.6070000000 ; 		 //plane 0 point @6 
  -4092.5502000000,	    7267.5366000000,	    6854.5251000000 ; 		 //plane 1 point @7 
    852.1178000000,	    7326.3778000000,	    6851.4915000000 ; 		 //plane 1 point @8 
   1027.1964000000,	   -4548.6083000000,	    6885.0570000000 ; 		 //plane 1 point @9 
  -3945.4112000000,	   -4611.1725000000,	    6888.1173000000 ; 		 //plane 1 point @10 
  -4092.5502000000,	    7267.5366000000,	    6854.5251000000 ; 		 //plane 1 point @11 
   2211.1683000000,	    7322.3674000000,	   -1446.7558000000 ; 		 //plane 2 point @12 
  -4092.2995000000,	    7247.3038000000,	   -1464.6070000000 ; 		 //plane 2 point @13 
  -4092.5502000000,	    7267.5366000000,	    6854.5251000000 ; 		 //plane 2 point @14 
    852.1178000000,	    7326.3778000000,	    6851.4915000000 ; 		 //plane 2 point @15 
    860.2483000000,	    7322.8925000000,	    5378.8715000000 ; 		 //plane 2 point @16 
   2161.8718000000,	    7338.3254000000,	    5354.9284000000 ; 		 //plane 2 point @17 
   2534.5744000000,	    7340.1597000000,	    4285.4683000000 ; 		 //plane 2 point @18 
   2563.0554000000,	    7329.0009000000,	    -441.3735000000 ; 		 //plane 2 point @19 
   2211.1683000000,	    7322.3674000000,	   -1446.7558000000 ; 		 //plane 2 point @20 
  -4092.2995000000,	    7247.3038000000,	   -1464.6070000000 ; 		 //plane 3 point @21 
  -3945.4112000000,	   -4611.1725000000,	   -1434.3733000000 ; 		 //plane 3 point @22 
  -3945.4112000000,	   -4611.1725000000,	    6888.1173000000 ; 		 //plane 3 point @23 
  -4092.5502000000,	    7267.5366000000,	    6854.5251000000 ; 		 //plane 3 point @24 
  -4092.2995000000,	    7247.3038000000,	   -1464.6070000000 ; 		 //plane 3 point @25 
   1409.4463000000,	   -4543.7989000000,	   -1419.2176000000 ; 		 //plane 4 point @26 
  -3945.4112000000,	   -4611.1725000000,	   -1434.3733000000 ; 		 //plane 4 point @27 
  -3945.4112000000,	   -4611.1725000000,	    6888.1173000000 ; 		 //plane 4 point @28 
   1027.1964000000,	   -4548.6083000000,	    6885.0570000000 ; 		 //plane 4 point @29 
   1035.2787000000,	   -4548.5066000000,	    5411.5696000000 ; 		 //plane 4 point @30 
   2313.4300000000,	   -4532.4252000000,	    5388.0555000000 ; 		 //plane 4 point @31 
   2670.2069000000,	   -4527.9363000000,	    4364.1863000000 ; 		 //plane 4 point @32 
   2688.8867000000,	   -4527.7012000000,	    1249.5643000000 ; 		 //plane 4 point @33 
   2048.7137000000,	   -4535.7558000000,	    -612.2442000000 ; 		 //plane 4 point @34 
   1409.4463000000,	   -4543.7989000000,	   -1419.2176000000 ; 		 //plane 4 point @35 
   2211.1683000000,	    7322.3674000000,	   -1446.7558000000 ; 		 //plane 5 point @36 
   2301.9696000000,	    -551.8981000000,	   -1416.1570000000 ; 		 //plane 5 point @37 
   2652.9546000000,	    -525.0215000000,	    -412.7633000000 ; 		 //plane 5 point @38 
   2563.0554000000,	    7329.0009000000,	    -441.3735000000 ; 		 //plane 5 point @39 
   2211.1683000000,	    7322.3674000000,	   -1446.7558000000 ; 		 //plane 5 point @40 
   2301.9696000000,	    -551.8981000000,	   -1416.1570000000 ; 		 //plane 6 point @41 
   1409.4463000000,	   -4543.7989000000,	   -1419.2176000000 ; 		 //plane 6 point @42 
   2048.7137000000,	   -4535.7558000000,	    -612.2442000000 ; 		 //plane 6 point @43 
   2301.9696000000,	    -551.8981000000,	   -1416.1570000000 ; 		 //plane 6 point @44 
   2301.9696000000,	    -551.8981000000,	   -1416.1570000000 ; 		 //plane 6 point @45 
   2301.9696000000,	    -551.8981000000,	   -1416.1570000000 ; 		 //plane 7 point @46 
   2048.7137000000,	   -4535.7558000000,	    -612.2442000000 ; 		 //plane 7 point @47 
   2688.8867000000,	   -4527.7012000000,	    1249.5643000000 ; 		 //plane 7 point @48 
   2652.9546000000,	    -525.0215000000,	    -412.7633000000 ; 		 //plane 7 point @49 
   2301.9696000000,	    -551.8981000000,	   -1416.1570000000 ; 		 //plane 7 point @50 
   2563.0554000000,	    7329.0009000000,	    -441.3735000000 ; 		 //plane 8 point @51 
   2652.9546000000,	    -525.0215000000,	    -412.7633000000 ; 		 //plane 8 point @52 
   2688.8867000000,	   -4527.7012000000,	    1249.5643000000 ; 		 //plane 8 point @53 
   2670.2069000000,	   -4527.9363000000,	    4364.1863000000 ; 		 //plane 8 point @54 
   2534.5744000000,	    7340.1597000000,	    4285.4683000000 ; 		 //plane 8 point @55 
   2563.0554000000,	    7329.0009000000,	    -441.3735000000 ; 		 //plane 8 point @56 
   2534.5744000000,	    7340.1597000000,	    4285.4683000000 ; 		 //plane 9 point @57 
   2670.2069000000,	   -4527.9363000000,	    4364.1863000000 ; 		 //plane 9 point @58 
   2313.4300000000,	   -4532.4252000000,	    5388.0555000000 ; 		 //plane 9 point @59 
   2161.8718000000,	    7338.3254000000,	    5354.9284000000 ; 		 //plane 9 point @60 
   2534.5744000000,	    7340.1597000000,	    4285.4683000000 ; 		 //plane 9 point @61 
   2161.8718000000,	    7338.3254000000,	    5354.9284000000 ; 		 //plane 10 point @62 
   2313.4300000000,	   -4532.4252000000,	    5388.0555000000 ; 		 //plane 10 point @63 
   1035.2787000000,	   -4548.5066000000,	    5411.5696000000 ; 		 //plane 10 point @64 
    860.2483000000,	    7322.8925000000,	    5378.8715000000 ; 		 //plane 10 point @65 
   2161.8718000000,	    7338.3254000000,	    5354.9284000000 ; 		 //plane 10 point @66 
    860.2483000000,	    7322.8925000000,	    5378.8715000000 ; 		 //plane 11 point @67 
   1035.2787000000,	   -4548.5066000000,	    5411.5696000000 ; 		 //plane 11 point @68 
   1027.1964000000,	   -4548.6083000000,	    6885.0570000000 ; 		 //plane 11 point @69 
    852.1178000000,	    7326.3778000000,	    6851.4915000000 ; 		 //plane 11 point @70 
    860.2483000000,	    7322.8925000000,	    5378.8715000000 ; 		 //plane 11 point @71 
