Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,  359 59 58 ,   89 30 04,          0,      0.000,      0.000,            0,            0,          0
2               ,    0 00 01 ,   89 30 04,      1.123,      0.000,      0.000,        0.000,        1.123,      0.010
3               ,   12 32 26 ,  134 08 21,      2.019,      0.000,      0.000,        0.315,        1.415,     -1.406
4               ,   12 32 19 ,   37 48 29,      2.351,      0.000,      0.000,        0.313,        1.407,      1.857
5               ,  321 21 20 ,  124 50 58,      2.232,      0.000,      0.000,       -1.144,        1.431,     -1.275
6               ,  321 21 23 ,  104 36 52,      1.884,      0.000,      0.000,       -1.139,        1.424,     -0.475
7               ,  321 21 23 ,   86 17 38,      1.838,      0.000,      0.000,       -1.145,        1.432,      0.119
8               ,  321 21 25 ,   72 14 13,      1.929,      0.000,      0.000,       -1.147,        1.435,      0.589
9               ,  321 21 24 ,   58 13 13,      2.161,      0.000,      0.000,       -1.147,        1.435,      1.138
10              ,  321 21 25 ,   47 23 38,      2.500,      0.000,      0.000,       -1.149,        1.437,      1.693
11              ,  329 33 21 ,  127 30 43,      2.096,      0.000,      0.000,       -0.842,        1.433,     -1.276
12              ,  329 33 23 ,  105 35 40,      1.717,      0.000,      0.000,       -0.838,        1.426,     -0.462
13              ,  329 33 23 ,   85 03 42,      1.672,      0.000,      0.000,       -0.844,        1.436,      0.144
14              ,  329 33 23 ,   70 48 06,      1.770,      0.000,      0.000,       -0.847,        1.441,      0.582
15              ,  329 33 21 ,   56 00 16,      2.016,      0.000,      0.000,       -0.847,        1.441,      1.127
16              ,  329 33 24 ,   44 17 27,      2.396,      0.000,      0.000,       -0.848,        1.442,      1.715
17              ,  340 42 44 ,  126 14 48,      1.891,      0.000,      0.000,       -0.504,        1.439,     -1.118
18              ,  340 42 47 ,  103 56 34,      1.571,      0.000,      0.000,       -0.504,        1.439,     -0.379
