     -1223.5887,	       1438.2304,	      -1392.7730 ; 		 //plane 0 point @1 
      1288.2760,	       1447.6856,	      -1401.3106 ; 		 //plane 0 point @2 
       445.5086,	      -1364.4108,	      -1396.5547 ; 		 //plane 0 point @3 
     -1229.0217,	      -1373.9874,	      -1390.8609 ; 		 //plane 0 point @4 
     -1223.5887,	       1438.2304,	      -1392.7730 ; 		 //plane 0 point @5 
      1288.2760,	       1447.6856,	      -1401.3106 ; 		 //plane 1 point @6 
     -1223.5887,	       1438.2304,	      -1392.7730 ; 		 //plane 1 point @7 
     -1223.6005,	       1432.1192,	       1878.2503 ; 		 //plane 1 point @8 
      2666.3243,	       1446.7526,	       1869.8815 ; 		 //plane 1 point @9 
      1923.2932,	       1447.9748,	       -278.8234 ; 		 //plane 1 point @10 
      1637.8388,	       1447.9749,	       -853.0150 ; 		 //plane 1 point @11 
      1288.2760,	       1447.6856,	      -1401.3106 ; 		 //plane 1 point @12 
     -1223.6005,	       1432.1192,	       1878.2503 ; 		 //plane 2 point @13 
      2666.3243,	       1446.7526,	       1869.8815 ; 		 //plane 2 point @14 
      2096.3641,	      -1354.9696,	       1884.4363 ; 		 //plane 2 point @15 
     -1229.0217,	      -1373.9874,	       1891.6216 ; 		 //plane 2 point @16 
     -1223.6005,	       1432.1192,	       1878.2503 ; 		 //plane 2 point @17 
     -1223.5887,	       1438.2304,	      -1392.7730 ; 		 //plane 3 point @18 
     -1229.0217,	      -1373.9874,	      -1390.8609 ; 		 //plane 3 point @19 
     -1229.0217,	      -1373.9874,	       1891.6216 ; 		 //plane 3 point @20 
     -1223.6005,	       1432.1192,	       1878.2503 ; 		 //plane 3 point @21 
     -1223.5887,	       1438.2304,	      -1392.7730 ; 		 //plane 3 point @22 
       445.5086,	      -1364.4108,	      -1396.5547 ; 		 //plane 4 point @23 
     -1229.0217,	      -1373.9874,	      -1390.8609 ; 		 //plane 4 point @24 
     -1229.0217,	      -1373.9874,	       1891.6216 ; 		 //plane 4 point @25 
      2096.3641,	      -1354.9696,	       1884.4363 ; 		 //plane 4 point @26 
      1775.7625,	      -1356.8031,	        958.7180 ; 		 //plane 4 point @27 
      1161.0194,	      -1360.3188,	       -275.9147 ; 		 //plane 4 point @28 
       445.5086,	      -1364.4108,	      -1396.5547 ; 		 //plane 4 point @29 
      1288.2760,	       1447.6856,	      -1401.3106 ; 		 //plane 5 point @30 
       445.5086,	      -1364.4108,	      -1396.5547 ; 		 //plane 5 point @31 
      1161.0194,	      -1360.3188,	       -275.9147 ; 		 //plane 5 point @32 
      1637.8388,	       1447.9749,	       -853.0150 ; 		 //plane 5 point @33 
      1288.2760,	       1447.6856,	      -1401.3106 ; 		 //plane 5 point @34 
      1637.8388,	       1447.9749,	       -853.0150 ; 		 //plane 6 point @35 
      1161.0194,	      -1360.3188,	       -275.9147 ; 		 //plane 6 point @36 
      1775.7625,	      -1356.8031,	        958.7180 ; 		 //plane 6 point @37 
      1923.2932,	       1447.9748,	       -278.8234 ; 		 //plane 6 point @38 
      1637.8388,	       1447.9749,	       -853.0150 ; 		 //plane 6 point @39 
      1923.2932,	       1447.9748,	       -278.8234 ; 		 //plane 7 point @40 
      1775.7625,	      -1356.8031,	        958.7180 ; 		 //plane 7 point @41 
      2096.3641,	      -1354.9696,	       1884.4363 ; 		 //plane 7 point @42 
      2666.3243,	       1446.7526,	       1869.8815 ; 		 //plane 7 point @43 
      1923.2932,	       1447.9748,	       -278.8234 ; 		 //plane 7 point @44 
