Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22359,	   1.43945,	  -1.39277
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.28851,	   1.45024,	  -1.40131
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.43468,	  -1.36447,	  -1.39652
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22902,	  -1.37399,	  -1.39086
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22359,	   1.43945,	  -1.39277
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.28851,	   1.45024,	  -1.40131
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22359,	   1.43945,	  -1.39277
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22360,	   1.43054,	   1.87793
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.65330,	   1.44721,	   1.85879
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.92146,	   1.44988,	  -0.27199
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.61980,	   1.45026,	  -0.88871
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.28851,	   1.45024,	  -1.40131
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22360,	   1.43054,	   1.87793
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.65330,	   1.44721,	   1.85879
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.09089,	  -1.35500,	   1.88221
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22902,	  -1.37399,	   1.89864
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22360,	   1.43054,	   1.87793
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22359,	   1.43945,	  -1.39277
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22902,	  -1.37399,	  -1.39086
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22902,	  -1.37399,	   1.89864
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22360,	   1.43054,	   1.87793
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22359,	   1.43945,	  -1.39277
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.43468,	  -1.36447,	  -1.39652
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22902,	  -1.37399,	  -1.39086
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22902,	  -1.37399,	   1.89864
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.09089,	  -1.35500,	   1.88221
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.77924,	  -1.35678,	   0.97656
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.18194,	  -1.36020,	  -0.24228
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.43468,	  -1.36447,	  -1.39652
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.28851,	   1.45024,	  -1.40131
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.43468,	  -1.36447,	  -1.39652
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.18194,	  -1.36020,	  -0.24228
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.61980,	   1.45026,	  -0.88871
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.28851,	   1.45024,	  -1.40131
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.61980,	   1.45026,	  -0.88871
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.18194,	  -1.36020,	  -0.24228
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.77924,	  -1.35678,	   0.97656
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.92146,	   1.44988,	  -0.27199
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.61980,	   1.45026,	  -0.88871
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.92146,	   1.44988,	  -0.27199
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.77924,	  -1.35678,	   0.97656
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.09089,	  -1.35500,	   1.88221
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.65330,	   1.44721,	   1.85879
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.92146,	   1.44988,	  -0.27199
