     -1223.5864,	       1439.4480,	      -1392.7738 ; 		 //plane 0 point @1 
      1288.5092,	       1450.2396,	      -1401.3131 ; 		 //plane 0 point @2 
       434.6849,	      -1364.4727,	      -1396.5179 ; 		 //plane 0 point @3 
     -1229.0217,	      -1373.9874,	      -1390.8609 ; 		 //plane 0 point @4 
     -1223.5864,	       1439.4480,	      -1392.7738 ; 		 //plane 0 point @5 
      1288.5092,	       1450.2396,	      -1401.3131 ; 		 //plane 1 point @6 
     -1223.5864,	       1439.4480,	      -1392.7738 ; 		 //plane 1 point @7 
     -1223.6036,	       1430.5407,	       1877.9290 ; 		 //plane 1 point @8 
      2653.3032,	       1447.2116,	       1858.7876 ; 		 //plane 1 point @9 
      1921.4570,	       1449.8773,	       -271.9937 ; 		 //plane 1 point @10 
      1619.7974,	       1450.2637,	       -888.7126 ; 		 //plane 1 point @11 
      1288.5092,	       1450.2396,	      -1401.3131 ; 		 //plane 1 point @12 
     -1223.6036,	       1430.5407,	       1877.9290 ; 		 //plane 2 point @13 
      2653.3032,	       1447.2116,	       1858.7876 ; 		 //plane 2 point @14 
      2090.8938,	      -1355.0009,	       1882.2135 ; 		 //plane 2 point @15 
     -1229.0217,	      -1373.9874,	       1898.6396 ; 		 //plane 2 point @16 
     -1223.6036,	       1430.5407,	       1877.9290 ; 		 //plane 2 point @17 
     -1223.5864,	       1439.4480,	      -1392.7738 ; 		 //plane 3 point @18 
     -1229.0217,	      -1373.9874,	      -1390.8609 ; 		 //plane 3 point @19 
     -1229.0217,	      -1373.9874,	       1898.6396 ; 		 //plane 3 point @20 
     -1223.6036,	       1430.5407,	       1877.9290 ; 		 //plane 3 point @21 
     -1223.5864,	       1439.4480,	      -1392.7738 ; 		 //plane 3 point @22 
       434.6849,	      -1364.4727,	      -1396.5179 ; 		 //plane 4 point @23 
     -1229.0217,	      -1373.9874,	      -1390.8609 ; 		 //plane 4 point @24 
     -1229.0217,	      -1373.9874,	       1898.6396 ; 		 //plane 4 point @25 
      2090.8938,	      -1355.0009,	       1882.2135 ; 		 //plane 4 point @26 
      1779.2409,	      -1356.7832,	        976.5592 ; 		 //plane 4 point @27 
      1181.9408,	      -1360.1992,	       -242.2802 ; 		 //plane 4 point @28 
       434.6849,	      -1364.4727,	      -1396.5179 ; 		 //plane 4 point @29 
      1288.5092,	       1450.2396,	      -1401.3131 ; 		 //plane 5 point @30 
       434.6849,	      -1364.4727,	      -1396.5179 ; 		 //plane 5 point @31 
      1181.9408,	      -1360.1992,	       -242.2802 ; 		 //plane 5 point @32 
      1619.7974,	       1450.2637,	       -888.7126 ; 		 //plane 5 point @33 
      1288.5092,	       1450.2396,	      -1401.3131 ; 		 //plane 5 point @34 
      1619.7974,	       1450.2637,	       -888.7126 ; 		 //plane 6 point @35 
      1181.9408,	      -1360.1992,	       -242.2802 ; 		 //plane 6 point @36 
      1779.2409,	      -1356.7832,	        976.5592 ; 		 //plane 6 point @37 
      1921.4570,	       1449.8773,	       -271.9937 ; 		 //plane 6 point @38 
      1619.7974,	       1450.2637,	       -888.7126 ; 		 //plane 6 point @39 
      1921.4570,	       1449.8773,	       -271.9937 ; 		 //plane 7 point @40 
      1779.2409,	      -1356.7832,	        976.5592 ; 		 //plane 7 point @41 
      2090.8938,	      -1355.0009,	       1882.2135 ; 		 //plane 7 point @42 
      2653.3032,	       1447.2116,	       1858.7876 ; 		 //plane 7 point @43 
      1921.4570,	       1449.8773,	       -271.9937 ; 		 //plane 7 point @44 
