   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
M               ,    0 00 00 ,   89 43 54,          0,      0.000,      0.000,            0,            0,          0
2               ,    0 00 01 ,   89 43 54,      1.952,      0.000,      0.000,        0.000,        1.952,      0.009
3               ,  326 20 50 ,  116 56 41,      2.653,      0.000,      0.000,       -1.311,        1.969,     -1.202
4               ,  326 20 52 ,   96 33 20,      2.379,      0.000,      0.000,       -1.310,        1.967,     -0.272
5               ,  326 20 52 ,   72 12 28,      2.489,      0.000,      0.000,       -1.313,        1.973,      0.761
6               ,  326 20 52 ,   47 49 08,      3.205,      0.000,      0.000,       -1.316,        1.977,      2.152
7               ,  326 20 49 ,   36 06 20,      4.035,      0.000,      0.000,       -1.318,        1.979,      3.260
8               ,  326 20 56 ,   29 39 08,      4.809,      0.000,      0.000,       -1.318,        1.981,      4.180
9               ,  353 52 09 ,   25 49 20,      4.534,      0.000,      0.000,       -0.211,        1.964,      4.082
10              ,  353 52 08 ,   32 46 33,      3.648,      0.000,      0.000,       -0.211,        1.964,      3.067
11              ,  353 52 11 ,   45 20 36,      2.774,      0.000,      0.000,       -0.211,        1.962,      1.950
12              ,  353 52 11 ,   61 05 13,      2.245,      0.000,      0.000,       -0.210,        1.954,      1.085
13              ,  353 52 12 ,   88 00 28,      1.966,      0.000,      0.000,       -0.210,        1.953,      0.068
14              ,  353 52 15 ,  107 01 13,      2.050,      0.000,      0.000,       -0.209,        1.949,     -0.600
15              ,  353 52 24 ,  122 55 28,      2.341,      0.000,      0.000,       -0.210,        1.954,     -1.272
16              ,   17 09 37 ,  120 19 46,      2.358,      0.000,      0.000,        0.601,        1.945,     -1.191
17              ,   17 09 35 ,  100 49 21,      2.072,      0.000,      0.000,        0.600,        1.944,     -0.389
18              ,   17 09 33 ,   73 00 19,      2.126,      0.000,      0.000,        0.600,        1.942,      0.621
19              ,   17 09 39 ,   45 33 59,      2.858,      0.000,      0.000,        0.602,        1.950,      2.001
20              ,   17 09 35 ,   33 14 52,      3.732,      0.000,      0.000,        0.604,        1.955,      3.121
21              ,   17 09 35 ,   26 52 17,      4.528,      0.000,      0.000,        0.604,        1.955,      4.039
22              ,   41 11 59 ,   32 49 49,      4.756,      0.000,      0.000,        1.698,        1.940,      3.997
23              ,   41 11 55 ,   39 22 15,      4.064,      0.000,      0.000,        1.698,        1.940,      3.141
24              ,   41 11 55 ,   48 33 57,      3.432,      0.000,      0.000,        1.695,        1.936,      2.271
25              ,   41 11 55 ,   66 32 13,      2.802,      0.000,      0.000,        1.693,        1.934,      1.115
26              ,   41 11 48 ,   86 09 49,      2.569,      0.000,      0.000,        1.688,        1.929,      0.172
27              ,   41 11 57 ,   97 15 42,      2.597,      0.000,      0.000,        1.697,        1.939,     -0.328
28              ,   49 31 37 ,   77 13 25,      3.036,      0.000,      0.000,        2.253,        1.922,      0.671
