Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.67972,	   1.92526,	  -1.58488
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.37083,	   1.90151,	  -1.58813
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.84418,	  -0.87375,	  -1.33716
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.68426,	  -0.85330,	  -1.33454
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.67972,	   1.92526,	  -1.58488
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.37083,	   1.90151,	  -1.58813
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.67972,	   1.92526,	  -1.58488
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.67968,	   1.94779,	   2.65199
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.24682,	   1.91710,	   2.62689
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.19824,	   1.90661,	   0.58125
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.97693,	   1.90349,	  -0.32812
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.72612,	   1.90187,	  -1.00066
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.37083,	   1.90151,	  -1.58813
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.67968,	   1.94779,	   2.65199
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.24682,	   1.91710,	   2.62689
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.20632,	  -0.88477,	   2.63209
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.68426,	  -0.85330,	   2.65696
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.67968,	   1.94779,	   2.65199
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.67972,	   1.92526,	  -1.58488
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.68426,	  -0.85330,	  -1.33454
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.68426,	  -0.85330,	   2.65696
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.67968,	   1.94779,	   2.65199
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.67972,	   1.92526,	  -1.58488
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.84418,	  -0.87375,	  -1.33716
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.68426,	  -0.85330,	  -1.33454
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.68426,	  -0.85330,	   2.65696
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.20632,	  -0.88477,	   2.63209
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.19733,	  -0.88470,	   2.25202
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.82061,	  -0.88165,	   0.69904
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.41541,	  -0.87837,	  -0.39053
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.84418,	  -0.87375,	  -1.33716
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.37083,	   1.90151,	  -1.58813
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.84418,	  -0.87375,	  -1.33716
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.41541,	  -0.87837,	  -0.39053
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.72612,	   1.90187,	  -1.00066
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.37083,	   1.90151,	  -1.58813
