The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
  -224      -1588        0.000083             0.000000 
  -223      -1587        0.006609             0.000003 
  -222      -1586        0.023555             0.000018 
  -221      -1585        0.050922             0.000056 
  -220      -1584        0.084660             0.000123 
  -219      -1583        0.118455             0.000225 
  -218      -1582        0.152235             0.000360 
  -217      -1581        0.185998             0.000530 
  -216      -1580        0.219744             0.000732 
  -215      -1579        0.253474             0.000969 
  -214      -1578        0.287188             0.001239 
  -213      -1577        0.320885             0.001543 
  -212      -1576        0.354566             0.001881 
  -211      -1575        0.388231             0.002252 
  -210      -1574        0.421879             0.002658 
  -209      -1573        0.455511             0.003096 
  -208      -1572        0.489126             0.003569 
  -207      -1571        0.522725             0.004074 
  -206      -1570        0.556308             0.004614 
  -205      -1569        0.589874             0.005187 
  -204      -1568        0.623423             0.005794 
  -203      -1567        0.656957             0.006434 
  -202      -1566        0.690474             0.007108 
  -201      -1565        0.723974             0.007815 
  -200      -1564        0.757458             0.008556 
  -199      -1563        0.790926             0.009330 
  -198      -1562        0.824377             0.010137 
  -197      -1561        0.857812             0.010979 
  -196      -1560        0.891231             0.011853 
  -195      -1559        0.924633             0.012761 
  -194      -1558        0.958018             0.013702 
  -193      -1557        0.991388             0.014677 
  -192      -1556        1.024741             0.015685 
  -191      -1555        1.058077             0.016726 
  -190      -1554        1.091397             0.017801 
  -189      -1553        1.124701             0.018909 
  -188      -1552        1.157988             0.020051 
  -187      -1551        1.191259             0.021225 
  -186      -1550        1.224513             0.022433 
  -185      -1549        1.257751             0.023674 
  -184      -1548        1.290973             0.024949 
  -183      -1547        1.324178             0.026256 
  -182      -1546        1.357367             0.027597 
  -181      -1545        1.390540             0.028971 
  -180      -1544        1.423696             0.030378 
  -179      -1543        1.456835             0.031818 
  -178      -1542        1.489959             0.033292 
  -177      -1541        1.523066             0.034798 
  -176      -1540        1.556156             0.036338 
  -175      -1539        1.589230             0.037911 
  -174      -1538        1.622288             0.039516 
  -173      -1537        1.655329             0.041155 
  -172      -1536        1.688354             0.042827 
  -171      -1535        1.721362             0.044532 
  -170      -1534        1.754354             0.046270 
  -169      -1533        1.787330             0.048040 
  -168      -1532        1.820289             0.049844 
  -167      -1531        1.853232             0.051681 
  -166      -1530        1.886158             0.053551 
  -165      -1529        1.919068             0.055453 
  -164      -1528        1.951962             0.057389 
  -163      -1527        1.984839             0.059357 
  -162      -1526        2.017700             0.061359 
  -161      -1525        2.050545             0.063393 
  -160      -1524        2.083373             0.065460 
  -159      -1523        2.116184             0.067559 
  -158      -1522        2.148979             0.069692 
  -157      -1521        2.181758             0.071857 
  -156      -1520        2.214521             0.074055 
  -155      -1519        2.247267             0.076286 
  -154      -1518        2.279996             0.078550 
  -153      -1517        2.312709             0.080846 
  -152      -1516        2.345406             0.083175 
  -151      -1515        2.378087             0.085537 
  -150      -1514        2.410751             0.087932 
  -149      -1513        2.443398             0.090359 
  -148      -1512        2.476029             0.092818 
  -147      -1511        2.508644             0.095311 
  -146      -1510        2.541243             0.097836 
  -145      -1509        2.573825             0.100393 
  -144      -1508        2.606390             0.102983 
  -143      -1507        2.638939             0.105606 
  -142      -1506        2.671472             0.108261 
  -141      -1505        2.703989             0.110949 
  -140      -1504        2.736489             0.113669 
  -139      -1503        2.768972             0.116422 
  -138      -1502        2.801439             0.119207 
  -137      -1501        2.833890             0.122025 
  -136      -1500        2.866324             0.124875 
  -135      -1499        2.898742             0.127757 
  -134      -1498        2.931144             0.130672 
  -133      -1497        2.963529             0.133620 
  -132      -1496        2.995898             0.136599 
  -131      -1495        3.028250             0.139611 
  -130      -1494        3.060586             0.142656 
  -129      -1493        3.092906             0.145733 
  -128      -1492        3.125209             0.148842 
  -127      -1491        3.157496             0.151983 
  -126      -1490        3.189766             0.155157 
  -125      -1489        3.222020             0.158363 
  -124      -1488        3.254257             0.161601 
  -123      -1487        3.286479             0.164871 
  -122      -1486        3.318683             0.168174 
  -121      -1485        3.350872             0.171508 
  -120      -1484        3.383044             0.174875 
  -119      -1483        3.415199             0.178274 
  -118      -1482        3.447338             0.181706 
  -117      -1481        3.479461             0.185169 
  -116      -1480        3.511567             0.188665 
  -115      -1479        3.543657             0.192192 
  -114      -1478        3.575731             0.195752 
  -113      -1477        3.607788             0.199344 
  -112      -1476        3.639829             0.202968 
  -111      -1475        3.671853             0.206623 
  -110      -1474        3.703861             0.210311 
  -109      -1473        3.735852             0.214031 
  -108      -1472        3.767827             0.217783 
  -107      -1471        3.799786             0.221567 
  -106      -1470        3.831729             0.225383 
  -105      -1469        3.863654             0.229230 
  -104      -1468        3.895564             0.233110 
  -103      -1467        3.927457             0.237021 
  -102      -1466        3.959334             0.240965 
  -101      -1465        3.991194             0.244940 
  -100      -1464        4.023038             0.248947 
   -99      -1463        4.054865             0.252986 
   -98      -1462        4.086676             0.257057 
   -97      -1461        4.118471             0.261159 
   -96      -1460        4.150249             0.265294 
   -95      -1459        4.182011             0.269460 
   -94      -1458        4.213757             0.273658 
   -93      -1457        4.245486             0.277887 
   -92      -1456        4.277199             0.282149 
   -91      -1455        4.308895             0.286442 
   -90      -1454        4.340575             0.290767 
   -89      -1453        4.372238             0.295123 
   -88      -1452        4.403885             0.299511 
   -87      -1451        4.435516             0.303931 
   -86      -1450        4.467130             0.308382 
   -85      -1449        4.498728             0.312865 
   -84      -1448        4.530310             0.317379 
   -83      -1447        4.561875             0.321926 
   -82      -1446        4.593423             0.326503 
   -81      -1445        4.624955             0.331112 
   -80      -1444        4.656471             0.335753 
   -79      -1443        4.687971             0.340425 
   -78      -1442        4.719454             0.345129 
   -77      -1441        4.750920             0.349864 
   -76      -1440        4.782371             0.354631 
   -75      -1439        4.813805             0.359429 
   -74      -1438        4.845222             0.364258 
   -73      -1437        4.876623             0.369119 
   -72      -1436        4.908008             0.374012 
   -71      -1435        4.939376             0.378935 
   -70      -1434        4.970728             0.383890 
   -69      -1433        5.002063             0.388877 
   -68      -1432        5.033382             0.393895 
   -67      -1431        5.064685             0.398944 
   -66      -1430        5.095971             0.404024 
   -65      -1429        5.127241             0.409136 
   -64      -1428        5.158494             0.414278 
   -63      -1427        5.189731             0.419453 
   -62      -1426        5.220952             0.424658 
   -61      -1425        5.252156             0.429894 
   -60      -1424        5.283344             0.435162 
   -59      -1423        5.314515             0.440461 
   -58      -1422        5.345670             0.445791 
   -57      -1421        5.376809             0.451152 
   -56      -1420        5.407931             0.456545 
   -55      -1419        5.439037             0.461968 
   -54      -1418        5.470126             0.467423 
   -53      -1417        5.501199             0.472909 
   -52      -1416        5.532256             0.478425 
   -51      -1415        5.563296             0.483973 
   -50      -1414        5.594320             0.489552 
   -49      -1413        5.625327             0.495162 
   -48      -1412        5.656318             0.500802 
   -47      -1411        5.687293             0.506474 
   -46      -1410        5.718251             0.512177 
   -45      -1409        5.749193             0.517911 
   -44      -1408        5.780118             0.523675 
   -43      -1407        5.811027             0.529471 
   -42      -1406        5.841920             0.535297 
   -41      -1405        5.872796             0.541155 
   -40      -1404        5.903656             0.547043 
   -39      -1403        5.934499             0.552962 
   -38      -1402        5.965326             0.558912 
   -37      -1401        5.996137             0.564893 
   -36      -1400        6.026931             0.570904 
   -35      -1399        6.057708             0.576947 
   -34      -1398        6.088470             0.583020 
   -33      -1397        6.119215             0.589124 
   -32      -1396        6.149943             0.595258 
   -31      -1395        6.180655             0.601423 
   -30      -1394        6.211351             0.607619 
   -29      -1393        6.242031             0.613846 
   -28      -1392        6.272694             0.620103 
   -27      -1391        6.303340             0.626392 
   -26      -1390        6.333970             0.632710 
   -25      -1389        6.364584             0.639059 
   -24      -1388        6.395181             0.645439 
   -23      -1387        6.425762             0.651850 
   -22      -1386        6.456327             0.658291 
   -21      -1385        6.486875             0.664762 
   -20      -1384        6.517407             0.671265 
   -19      -1383        6.547922             0.677797 
   -18      -1382        6.578421             0.684360 
   -17      -1381        6.608903             0.690954 
   -16      -1380        6.639369             0.697578 
   -15      -1379        6.669819             0.704233 
