The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
  -284      -1588        0.000074             0.000000 
  -283      -1587        0.006524             0.000003 
  -282      -1586        0.023395             0.000018 
  -281      -1585        0.050687             0.000055 
  -280      -1584        0.084354             0.000123 
  -279      -1583        0.118079             0.000224 
  -278      -1582        0.151789             0.000359 
  -277      -1581        0.185483             0.000528 
  -276      -1580        0.219161             0.000730 
  -275      -1579        0.252823             0.000966 
  -274      -1578        0.286470             0.001236 
  -273      -1577        0.320101             0.001539 
  -272      -1576        0.353716             0.001876 
  -271      -1575        0.387315             0.002246 
  -270      -1574        0.420898             0.002650 
  -269      -1573        0.454466             0.003088 
  -268      -1572        0.488018             0.003559 
  -267      -1571        0.521554             0.004064 
  -266      -1570        0.555074             0.004602 
  -265      -1569        0.588578             0.005174 
  -264      -1568        0.622067             0.005780 
  -263      -1567        0.655540             0.006418 
  -262      -1566        0.688997             0.007091 
  -261      -1565        0.722438             0.007796 
  -260      -1564        0.755863             0.008536 
  -259      -1563        0.789273             0.009308 
  -258      -1562        0.822667             0.010114 
  -257      -1561        0.856045             0.010953 
  -256      -1560        0.889407             0.011826 
  -255      -1559        0.922754             0.012732 
  -254      -1558        0.956084             0.013672 
  -253      -1557        0.989399             0.014644 
  -252      -1556        1.022698             0.015650 
  -251      -1555        1.055982             0.016690 
  -250      -1554        1.089249             0.017762 
  -249      -1553        1.122501             0.018868 
  -248      -1552        1.155737             0.020007 
  -247      -1551        1.188957             0.021180 
  -246      -1550        1.222161             0.022385 
  -245      -1549        1.255350             0.023624 
  -244      -1548        1.288523             0.024896 
  -243      -1547        1.321680             0.026201 
  -242      -1546        1.354821             0.027539 
  -241      -1545        1.387946             0.028911 
  -240      -1544        1.421056             0.030315 
  -239      -1543        1.454150             0.031753 
  -238      -1542        1.487228             0.033224 
  -237      -1541        1.520290             0.034727 
  -236      -1540        1.553336             0.036264 
  -235      -1539        1.586367             0.037834 
  -234      -1538        1.619382             0.039437 
  -233      -1537        1.652381             0.041073 
  -232      -1536        1.685364             0.042742 
  -231      -1535        1.718331             0.044443 
  -230      -1534        1.751283             0.046178 
  -229      -1533        1.784219             0.047946 
  -228      -1532        1.817139             0.049747 
  -227      -1531        1.850043             0.051580 
  -226      -1530        1.882932             0.053447 
  -225      -1529        1.915804             0.055346 
  -224      -1528        1.948661             0.057278 
  -223      -1527        1.981502             0.059243 
  -222      -1526        2.014328             0.061241 
  -221      -1525        2.047137             0.063272 
  -220      -1524        2.079931             0.065336 
  -219      -1523        2.112709             0.067432 
  -218      -1522        2.145471             0.069561 
  -217      -1521        2.178217             0.071723 
  -216      -1520        2.210948             0.073917 
  -215      -1519        2.243662             0.076145 
  -214      -1518        2.276361             0.078405 
  -213      -1517        2.309044             0.080697 
  -212      -1516        2.341712             0.083023 
  -211      -1515        2.374363             0.085381 
  -210      -1514        2.406999             0.087772 
  -209      -1513        2.439619             0.090195 
  -208      -1512        2.472223             0.092651 
  -207      -1511        2.504812             0.095139 
  -206      -1510        2.537384             0.097660 
  -205      -1509        2.569941             0.100214 
  -204      -1508        2.602482             0.102800 
  -203      -1507        2.635007             0.105419 
  -202      -1506        2.667517             0.108070 
  -201      -1505        2.700010             0.110754 
  -200      -1504        2.732488             0.113470 
  -199      -1503        2.764950             0.116219 
  -198      -1502        2.797397             0.119000 
  -197      -1501        2.829827             0.121814 
  -196      -1500        2.862242             0.124660 
  -195      -1499        2.894641             0.127538 
  -194      -1498        2.927024             0.130449 
  -193      -1497        2.959391             0.133392 
  -192      -1496        2.991742             0.136368 
  -191      -1495        3.024078             0.139376 
  -190      -1494        3.056398             0.142416 
  -189      -1493        3.088702             0.145489 
  -188      -1492        3.120990             0.148593 
  -187      -1491        3.153263             0.151731 
  -186      -1490        3.185520             0.154900 
  -185      -1489        3.217761             0.158102 
  -184      -1488        3.249986             0.161335 
  -183      -1487        3.282195             0.164602 
  -182      -1486        3.314389             0.167900 
  -181      -1485        3.346566             0.171230 
  -180      -1484        3.378728             0.174593 
