Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.67972,	   1.92526,	  -1.58488
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.36396,	   1.90156,	  -1.58812
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.85434,	  -0.87383,	  -1.33717
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.68426,	  -0.85330,	  -1.33454
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.67972,	   1.92526,	  -1.58488
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.36396,	   1.90156,	  -1.58812
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.67972,	   1.92526,	  -1.58488
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.67968,	   1.94779,	   2.65199
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.25575,	   1.91703,	   2.62683
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.17623,	   1.90687,	   0.59941
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.97062,	   1.90368,	  -0.30234
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.76277,	   1.90204,	  -0.91409
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.36396,	   1.90156,	  -1.58812
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.67968,	   1.94779,	   2.65199
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.25575,	   1.91703,	   2.62683
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.20201,	  -0.88473,	   2.63212
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.68426,	  -0.85330,	   2.65696
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.67968,	   1.94779,	   2.65199
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.67972,	   1.92526,	  -1.58488
