     -1679.7214,	       1925.2627,	      -1584.8805 ; 		 //plane 0 point @1
      1363.9601,	       1901.5641,	      -1588.1190 ; 		 //plane 0 point @2
       854.3432,	       -873.8343,	      -1337.1691 ; 		 //plane 0 point @3
     -1684.2602,	       -853.3015,	      -1334.5372 ; 		 //plane 0 point @4
     -1679.7214,	       1925.2627,	      -1584.8805 ; 		 //plane 0 point @5
      1363.9601,	       1901.5641,	      -1588.1190 ; 		 //plane 1 point @6
     -1679.7214,	       1925.2627,	      -1584.8805 ; 		 //plane 1 point @7
    -1679.6846,	       1947.7876,	       5331.9855 ; 		 //plane 1 point @8
      2255.7462,	       1917.0343,	       5306.8306 ; 		 //plane 1 point @9
      2176.2254,	       1906.8743,	        599.4120 ; 		 //plane 1 point @10
      1970.6199,	       1903.6798,	       -302.3410 ; 		 //plane 1 point @11
      1762.7671,	       1902.0447,	       -914.0896 ; 		 //plane 1 point @12
      1363.9601,	       1901.5641,	      -1588.1190 ; 		 //plane 1 point @13
    -1679.6846,	       1947.7876,	       5331.9855 ; 		 //plane 2 point @14
      2255.7462,	       1917.0343,	       5306.8306 ; 		 //plane 2 point @15
      2202.0146,	       -884.7346,	       5312.1215 ; 		 //plane 2 point @16
     -1684.2602,	       -853.3015,	       5336.9603 ; 		 //plane 2 point @17
    -1679.6846,	       1947.7876,	       5331.9855 ; 		 //plane 2 point @18
     -1679.7214,	       1925.2627,	      -1584.8805 ; 		 //plane 3 point @19
     -1684.2602,	       -853.3015,	      -1334.5372 ; 		 //plane 3 point @20
     -1684.2602,	       -853.3015,	       5336.9603 ; 		 //plane 3 point @21
    -1679.6846,	       1947.7876,	       5331.9855 ; 		 //plane 3 point @22
     -1679.7214,	       1925.2627,	      -1584.8805 ; 		 //plane 3 point @23
       854.3432,	       -873.8343,	      -1337.1691 ; 		 //plane 4 point @24
     -1684.2602,	       -853.3015,	      -1334.5372 ; 		 //plane 4 point @25
     -1684.2602,	       -853.3015,	       5336.9603 ; 		 //plane 4 point @26
      2202.0146,	       -884.7346,	       5312.1215 ; 		 //plane 4 point @27
      2187.4036,	       -884.6164,	       2258.6311 ; 		 //plane 4 point @28
      1900.6087,	       -882.2968,	        996.8864 ; 		 //plane 4 point @29
      1453.9748,	       -878.6843,	       -321.4895 ; 		 //plane 4 point @30
       854.3432,	       -873.8343,	      -1337.1691 ; 		 //plane 4 point @31
      1363.9601,	       1901.5641,	      -1588.1190 ; 		 //plane 5 point @32
       854.3432,	       -873.8343,	      -1337.1691 ; 		 //plane 5 point @33
      1453.9748,	       -878.6843,	       -321.4895 ; 		 //plane 5 point @34
      1762.7671,	       1902.0447,	       -914.0896 ; 		 //plane 5 point @35
      1363.9601,	       1901.5641,	      -1588.1190 ; 		 //plane 5 point @36
      1762.7671,	       1902.0447,	       -914.0896 ; 		 //plane 6 point @37
      1453.9748,	       -878.6843,	       -321.4895 ; 		 //plane 6 point @38
      1900.6087,	       -882.2968,	        996.8864 ; 		 //plane 6 point @39
      1970.6199,	       1903.6798,	       -302.3410 ; 		 //plane 6 point @40
      1762.7671,	       1902.0447,	       -914.0896 ; 		 //plane 6 point @41
      1970.6199,	       1903.6798,	       -302.3410 ; 		 //plane 7 point @42
      1900.6087,	       -882.2968,	        996.8864 ; 		 //plane 7 point @43
      2187.4036,	       -884.6164,	       2258.6311 ; 		 //plane 7 point @44
      2176.2254,	       1906.8743,	        599.4120 ; 		 //plane 7 point @45
      1970.6199,	       1903.6798,	       -302.3410 ; 		 //plane 7 point @46
      2176.2254,	       1906.8743,	        599.4120 ; 		 //plane 8 point @47
      2187.4036,	       -884.6164,	       2258.6311 ; 		 //plane 8 point @48
      2202.0146,	       -884.7346,	       5312.1215 ; 		 //plane 8 point @49
      2255.7462,	       1917.0343,	       5306.8306 ; 		 //plane 8 point @50
      2176.2254,	       1906.8743,	        599.4120 ; 		 //plane 8 point @51
