Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,  359 59 59 ,   90 11 12,          0,      0.000,      0.000,            0,            0,          0
2               ,   10 10 28 ,   89 00 44,      2.094,      0.000,      0.000,        0.370,        2.061,      0.036
3               ,  126 27 20 ,  140 52 23,      1.958,      0.000,      0.000,        0.994,       -0.734,     -1.519
4               ,  121 27 37 ,   10 06 21,      5.468,      0.000,      0.000,        0.818,       -0.501,      5.384
5               ,  302 14 54 ,  118 23 46,      2.936,      0.000,      0.000,       -2.185,        1.378,     -1.396
6               ,  302 14 57 ,  103 56 22,      2.659,      0.000,      0.000,       -2.183,        1.377,     -0.641
7               ,  302 15 01 ,   95 35 33,      2.593,      0.000,      0.000,       -2.182,        1.377,     -0.253
8               ,  302 15 02 ,   75 04 09,      2.673,      0.000,      0.000,       -2.184,        1.378,      0.689
9               ,  302 15 04 ,   66 52 41,      2.809,      0.000,      0.000,       -2.185,        1.379,      1.103
10              ,  302 15 10 ,   51 43 22,      3.296,      0.000,      0.000,       -2.188,        1.381,      2.042
11              ,  302 15 12 ,   42 39 55,      3.817,      0.000,      0.000,       -2.188,        1.380,      2.807
12              ,  301 41 43 ,   35 05 45,      4.573,      0.000,      0.000,       -2.237,        1.381,      3.742
13              ,  301 41 46 ,   30 35 59,      5.127,      0.000,      0.000,       -2.221,        1.371,      4.413
14              ,  306 38 59 ,   25 10 00,      5.408,      0.000,      0.000,       -1.845,        1.373,      4.895
15              ,  306 38 48 ,   29 28 16,      4.664,      0.000,      0.000,       -1.841,        1.370,      4.061
16              ,  306 38 49 ,   36 37 26,      3.854,      0.000,      0.000,       -1.845,        1.372,      3.093
17              ,  306 38 49 ,   43 47 50,      3.321,      0.000,      0.000,       -1.844,        1.372,      2.397
18              ,  307 04 38 ,   52 48 52,      2.859,      0.000,      0.000,       -1.817,        1.373,      1.728
19              ,  307 04 40 ,   77 07 53,      1.035,      0.000,      0.000,       -0.805,        0.608,      0.230
20              ,  307 04 38 ,   83 34 31,      2.297,      0.000,      0.000,       -1.821,        1.376,      0.257
21              ,  307 04 34 ,   98 42 52,      2.308,      0.000,      0.000,       -1.820,        1.375,     -0.350
22              ,  307 04 35 ,  118 57 17,      2.608,      0.000,      0.000,       -1.821,        1.376,     -1.263
23              ,  292 04 15 ,   58 22 36,      4.398,      0.000,      0.000,       -3.471,        1.407,      2.306
24              ,  351 50 49 ,  131 23 49,      1.839,      0.000,      0.000,       -0.196,        1.366,     -1.216
25              ,  351 50 52 ,  103 26 21,      1.413,      0.000,      0.000,       -0.195,        1.360,     -0.328
26              ,  351 50 51 ,   81 53 02,      1.386,      0.000,      0.000,       -0.195,        1.358,      0.196
27              ,  351 50 52 ,   61 46 28,      1.556,      0.000,      0.000,       -0.194,        1.357,      0.736
28              ,  351 50 54 ,   46 42 15,      1.883,      0.000,      0.000,       -0.194,        1.356,      1.291
29              ,  351 50 55 ,   35 19 48,      2.371,      0.000,      0.000,       -0.194,        1.357,      1.934
30              ,  351 50 55 ,   27 23 32,      2.973,      0.000,      0.000,       -0.194,        1.354,      2.640
31              ,  351 50 57 ,   20 37 41,      3.868,      0.000,      0.000,       -0.193,        1.349,      3.620
32              ,  351 50 47 ,   15 38 05,      5.046,      0.000,      0.000,       -0.193,        1.346,      4.859
33              ,  347 57 36 ,   14 01 17,      5.702,      0.000,      0.000,       -0.288,        1.351,      5.532
34              ,  334 44 30 ,   17 00 19,      5.134,      0.000,      0.000,       -0.641,        1.358,      4.910
35              ,  334 44 32 ,   23 05 39,      3.839,      0.000,      0.000,       -0.643,        1.362,      3.532
36              ,  334 44 32 ,   30 54 57,      2.939,      0.000,      0.000,       -0.644,        1.365,      2.521
37              ,  334 44 36 ,   44 20 07,      2.165,      0.000,      0.000,       -0.645,        1.368,      1.548
38              ,  334 44 39 ,   63 04 07,      1.696,      0.000,      0.000,       -0.645,        1.368,      0.768
39              ,  334 44 42 ,   91 01 56,      1.513,      0.000,      0.000,       -0.646,        1.368,     -0.027
40              ,   37 09 24 ,  126 16 08,      2.101,      0.000,      0.000,        1.023,        1.350,     -1.243
41              ,   35 28 15 ,   95 28 01,      1.664,      0.000,      0.000,        0.961,        1.349,     -0.158
42              ,   35 28 22 ,   72 09 59,      1.741,      0.000,      0.000,        0.962,        1.350,      0.533
43              ,   35 28 29 ,   54 25 05,      2.037,      0.000,      0.000,        0.961,        1.349,      1.185
44              ,   35 28 32 ,   41 11 29,      2.510,      0.000,      0.000,        0.959,        1.346,      1.889
45              ,   35 28 27 ,   31 07 52,      3.192,      0.000,      0.000,        0.958,        1.344,      2.732
46              ,   35 28 29 ,   23 57 46,      4.057,      0.000,      0.000,        0.956,        1.342,      3.707
47              ,   35 28 28 ,   17 40 03,      5.404,      0.000,      0.000,        0.952,        1.336,      5.149
48              ,   44 25 13 ,   20 06 25,      5.415,      0.000,      0.000,        1.303,        1.330,      5.085
49              ,   44 25 10 ,   26 09 05,      4.244,      0.000,      0.000,        1.309,        1.336,      3.810
50              ,   44 25 09 ,   34 58 14,      3.267,      0.000,      0.000,        1.311,        1.337,      2.677
51              ,   44 25 10 ,   45 29 47,      2.630,      0.000,      0.000,        1.313,        1.340,      1.844
52              ,   44 25 06 ,   61 15 23,      2.142,      0.000,      0.000,        1.314,        1.341,      1.030
53              ,   44 25 05 ,   84 28 34,      1.887,      0.000,      0.000,        1.315,        1.342,      0.182
54              ,   44 25 04 ,  121 19 18,      2.205,      0.000,      0.000,        1.318,        1.345,     -1.146
55              ,   62 33 35 ,  106 11 57,      2.981,      0.000,      0.000,        2.541,        1.319,     -0.832
56              ,   62 33 34 ,   91 17 15,      2.856,      0.000,      0.000,        2.534,        1.316,     -0.064
57              ,   62 33 34 ,   82 09 00,      2.880,      0.000,      0.000,        2.532,        1.315,      0.393
58              ,   62 33 37 ,   64 25 01,      3.157,      0.000,      0.000,        2.527,        1.312,      1.363
59              ,   62 33 34 ,   50 21 28,      3.691,      0.000,      0.000,        2.522,        1.310,      2.355
60              ,   62 33 38 ,   39 51 25,      4.431,      0.000,      0.000,        2.520,        1.308,      3.401
61              ,   62 33 40 ,   28 58 48,      5.831,      0.000,      0.000,        2.507,        1.302,      5.101
62              ,   62 33 42 ,   25 30 51,      6.565,      0.000,      0.000,        2.510,        1.303,      5.925
63              ,   65 44 35 ,   28 52 02,      6.542,      0.000,      0.000,        2.880,        1.298,      5.729
64              ,   65 23 41 ,   35 53 03,      5.337,      0.000,      0.000,        2.844,        1.302,      4.324
65              ,   66 02 09 ,   42 46 40,      4.742,      0.000,      0.000,        2.943,        1.308,      3.480
66              ,   63 55 44 ,   70 50 50,      3.165,      0.000,      0.000,        2.686,        1.314,      1.038
67              ,   63 55 51 ,   83 22 29,      3.011,      0.000,      0.000,        2.687,        1.314,      0.347
68              ,   63 47 02 ,   98 33 05,      3.013,      0.000,      0.000,        2.673,        1.316,     -0.448
69              ,   63 47 05 ,  106 34 35,      3.115,      0.000,      0.000,        2.678,        1.319,     -0.889
70              ,   47 31 00 ,   87 14 26,      3.027,      0.000,      0.000,        2.229,        2.042,      0.146
71              ,   47 31 01 ,   67 01 09,      3.271,      0.000,      0.000,        2.221,        2.034,      1.277
72              ,   47 31 02 ,   52 57 26,      3.766,      0.000,      0.000,        2.217,        2.030,      2.268
73              ,   47 24 44 ,   46 29 30,      4.135,      0.000,      0.000,        2.208,        2.030,      2.847
74              ,   47 24 42 ,   38 49 46,      4.774,      0.000,      0.000,        2.204,        2.025,      3.719
75              ,   15 53 13 ,  120 33 54,      2.494,      0.000,      0.000,        0.588,        2.066,     -1.268
76              ,   15 53 24 ,  104 47 00,      2.219,      0.000,      0.000,        0.587,        2.064,     -0.566
77              ,   15 53 19 ,   87 51 45,      2.147,      0.000,      0.000,        0.587,        2.063,      0.080
78              ,   15 53 20 ,   68 32 03,      2.305,      0.000,      0.000,        0.587,        2.063,      0.843
79              ,   14 51 03 ,   49 39 50,      2.798,      0.000,      0.000,        0.547,        2.062,      1.811
80              ,   14 51 16 ,   39 01 26,      3.383,      0.000,      0.000,        0.546,        2.059,      2.628
81              ,   14 51 17 ,   33 09 31,      3.892,      0.000,      0.000,        0.546,        2.058,      3.259
82              ,   14 51 18 ,   27 51 37,      4.553,      0.000,      0.000,        0.545,        2.056,      4.025
83              ,   14 51 14 ,   23 10 36,      5.390,      0.000,      0.000,        0.544,        2.050,      4.955
84              ,   13 17 55 ,   18 35 07,      6.607,      0.000,      0.000,        0.484,        2.049,      6.262
85              ,    4 45 10 ,   19 49 15,      6.068,      0.000,      0.000,        0.170,        2.050,      5.708
