      3055.1285,	       1688.3116,	      -1512.2023 ; 		 //plane 0 point @1 
     -2300.6840,	       1758.6688,	      -1468.8546 ; 		 //plane 0 point @2 
     -1719.6073,	       -733.5372,	      -1477.0217 ; 		 //plane 0 point @3 
      3041.7216,	       -790.6707,	      -1515.5504 ; 		 //plane 0 point @4 
      3055.1285,	       1688.3116,	      -1512.2023 ; 		 //plane 0 point @5 
      3054.9611,	       1657.3595,	       5413.2196 ; 		 //plane 1 point @6 
     -3206.3355,	       1740.1589,	       5341.4788 ; 		 //plane 1 point @7 
     -3225.5151,	       -715.4671,	       5353.3540 ; 		 //plane 1 point @8 
      3041.7216,	       -790.6707,	       5425.1250 ; 		 //plane 1 point @9 
      3054.9611,	       1657.3595,	       5413.2196 ; 		 //plane 1 point @10 
     -2300.6840,	       1758.6688,	      -1468.8546 ; 		 //plane 2 point @11 
      3055.1285,	       1688.3116,	      -1512.2023 ; 		 //plane 2 point @12 
      3054.9611,	       1657.3595,	       5413.2196 ; 		 //plane 2 point @13 
     -3206.3355,	       1740.1589,	       5341.4788 ; 		 //plane 2 point @14 
     -3550.5192,	       1749.3065,	       4309.2504 ; 		 //plane 2 point @15 
     -3557.7893,	       1763.4075,	       1175.8537 ; 		 //plane 2 point @16 
     -2941.9763,	       1763.4155,	       -640.8521 ; 		 //plane 2 point @17 
     -2300.6840,	       1758.6688,	      -1468.8546 ; 		 //plane 2 point @18 
      3055.1285,	       1688.3116,	      -1512.2023 ; 		 //plane 3 point @19 
      3041.7216,	       -790.6707,	      -1515.5504 ; 		 //plane 3 point @20 
      3041.7216,	       -790.6707,	       5425.1250 ; 		 //plane 3 point @21 
      3054.9611,	       1657.3595,	       5413.2196 ; 		 //plane 3 point @22 
      3055.1285,	       1688.3116,	      -1512.2023 ; 		 //plane 3 point @23 
     -1719.6073,	       -733.5372,	      -1477.0217 ; 		 //plane 4 point @24 
      3041.7216,	       -790.6707,	      -1515.5504 ; 		 //plane 4 point @25 
      3041.7216,	       -790.6707,	       5425.1250 ; 		 //plane 4 point @26 
     -3225.5151,	       -715.4671,	       5353.3540 ; 		 //plane 4 point @27 
     -3552.3979,	       -711.5446,	       4373.1467 ; 		 //plane 4 point @28 
     -3557.4524,	       -711.4840,	       2198.1254 ; 		 //plane 4 point @29 
     -2769.2573,	       -720.9419,	       -123.2090 ; 		 //plane 4 point @30 
     -1719.6073,	       -733.5372,	      -1477.0217 ; 		 //plane 4 point @31 
     -2300.6840,	       1758.6688,	      -1468.8546 ; 		 //plane 5 point @32 
     -1719.6073,	       -733.5372,	      -1477.0217 ; 		 //plane 5 point @33 
     -2769.2573,	       -720.9419,	       -123.2090 ; 		 //plane 5 point @34 
     -2941.9763,	       1763.4155,	       -640.8521 ; 		 //plane 5 point @35 
     -2300.6840,	       1758.6688,	      -1468.8546 ; 		 //plane 5 point @36 
     -2941.9763,	       1763.4155,	       -640.8521 ; 		 //plane 6 point @37 
     -2769.2573,	       -720.9419,	       -123.2090 ; 		 //plane 6 point @38 
     -3557.4524,	       -711.4840,	       2198.1254 ; 		 //plane 6 point @39 
     -3557.7893,	       1763.4075,	       1175.8537 ; 		 //plane 6 point @40 
     -2941.9763,	       1763.4155,	       -640.8521 ; 		 //plane 6 point @41 
     -3557.7893,	       1763.4075,	       1175.8537 ; 		 //plane 7 point @42 
     -3557.4524,	       -711.4840,	       2198.1254 ; 		 //plane 7 point @43 
     -3552.3979,	       -711.5446,	       4373.1467 ; 		 //plane 7 point @44 
     -3550.5192,	       1749.3065,	       4309.2504 ; 		 //plane 7 point @45 
     -3557.7893,	       1763.4075,	       1175.8537 ; 		 //plane 7 point @46 
     -3550.5192,	       1749.3065,	       4309.2504 ; 		 //plane 8 point @47 
     -3552.3979,	       -711.5446,	       4373.1467 ; 		 //plane 8 point @48 
     -3225.5151,	       -715.4671,	       5353.3540 ; 		 //plane 8 point @49 
     -3206.3355,	       1740.1589,	       5341.4788 ; 		 //plane 8 point @50 
     -3550.5192,	       1749.3065,	       4309.2504 ; 		 //plane 8 point @51 
