The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
     4      -1515        0.013860             0.000007 
     5      -1514        0.109978             0.000069 
     6      -1513        0.297600             0.000273 
     7      -1512        0.574857             0.000709 
     8      -1511        0.881238             0.001437 
     9      -1510        1.187636             0.002471 
    10      -1509        1.494051             0.003812 
    11      -1508        1.800483             0.005459 
    12      -1507        2.106932             0.007413 
    13      -1506        2.413397             0.009673 
    14      -1505        2.719880             0.012240 
    15      -1504        3.026379             0.015113 
    16      -1503        3.332895             0.018293 
    17      -1502        3.639428             0.021779 
    18      -1501        3.945977             0.025572 
    19      -1500        4.252543             0.029671 
    20      -1499        4.559127             0.034077 
    21      -1498        4.865727             0.038789 
    22      -1497        5.172343             0.043808 
    23      -1496        5.478977             0.049134 
    24      -1495        5.785627             0.054766 
    25      -1494        6.092295             0.060705 
    26      -1493        6.398979             0.066951 
    27      -1492        6.705679             0.073503 
    28      -1491        7.012397             0.080362 
    29      -1490        7.319131             0.087528 
    30      -1489        7.625883             0.095000 
    31      -1488        7.932651             0.102780 
    32      -1487        8.239436             0.110866 
    33      -1486        8.546237             0.119259 
    34      -1485        8.853056             0.127958 
    35      -1484        9.159891             0.136965 
    36      -1483        9.466743             0.146278 
    37      -1482        9.773612             0.155898 
    38      -1481       10.080498             0.165825 
    39      -1480       10.387401             0.176059 
    40      -1479       10.694320             0.186600 
    41      -1478       11.001256             0.197448 
    42      -1477       11.308200             0.208603 
    43      -1476       11.595675             0.220054 
    44      -1475       11.845797             0.231775 
    45      -1474       12.058568             0.243727 
    46      -1473       12.233986             0.255874 
    47      -1472       12.372052             0.268177 
    48      -1471       12.472767             0.280599 
    49      -1470       12.536129             0.293104 
    50      -1469       12.562139             0.305653 
    51      -1468       12.564436             0.318216 
    52      -1467       12.566339             0.330781 
    53      -1466       12.568242             0.343349 
    54      -1465       12.570145             0.355918 
    55      -1464       12.572048             0.368489 
    56      -1463       12.573951             0.381062 
    57      -1462       12.575854             0.393637 
    58      -1461       12.577757             0.406214 
    59      -1460       12.579660             0.418792 
    60      -1459       12.581563             0.431373 
    61      -1458       12.583465             0.443955 
    62      -1457       12.585368             0.456540 
    63      -1456       12.587271             0.469126 
    64      -1455       12.589174             0.481714 
    65      -1454       12.591077             0.494305 
    66      -1453       12.592980             0.506897 
    67      -1452       12.594883             0.519490 
    68      -1451       12.596785             0.532086 
    69      -1450       12.598688             0.544684 
    70      -1449       12.600591             0.557284 
    71      -1448       12.602494             0.569885 
    72      -1447       12.604397             0.582489 
    73      -1446       12.606299             0.595094 
    74      -1445       12.608202             0.607701 
    75      -1444       12.610105             0.620310 
    76      -1443       12.612008             0.632921 
    77      -1442       12.613911             0.645534 
    78      -1441       12.615813             0.658149 
    79      -1440       12.617716             0.670766 
    80      -1439       12.619619             0.683385 
    81      -1438       12.621522             0.696005 
    82      -1437       12.623424             0.708628 
    83      -1436       12.625327             0.721252 
    84      -1435       12.627230             0.733878 
    85      -1434       12.629132             0.746507 
    86      -1433       12.631035             0.759137 
    87      -1432       12.632938             0.771769 
    88      -1431       12.634841             0.784403 
    89      -1430       12.636743             0.797038 
    90      -1429       12.638646             0.809676 
    91      -1428       12.640549             0.822316 
    92      -1427       12.642451             0.834957 
    93      -1426       12.644354             0.847601 
    94      -1425       12.646257             0.860246 
    95      -1424       12.648159             0.872893 
    96      -1423       12.650062             0.885542 
    97      -1422       12.651965             0.898193 
    98      -1421       12.653867             0.910846 
    99      -1420       12.655770             0.923501 
   100      -1419       12.657673             0.936158 
   101      -1418       12.659575             0.948816 
   102      -1417       12.661478             0.961477 
   103      -1416       12.663380             0.974139 
   104      -1415       12.665283             0.986804 
   105      -1414       12.667186             0.999470 
   106      -1413       12.669088             1.012138 
   107      -1412       12.670991             1.024808 
   108      -1411       12.672893             1.037480 
   109      -1410       12.674796             1.050154 
   110      -1409       12.676698             1.062830 
   111      -1408       12.678601             1.075507 
   112      -1407       12.680504             1.088187 
   113      -1406       12.682406             1.100868 
   114      -1405       12.684309             1.113552 
   115      -1404       12.686211             1.126237 
   116      -1403       12.688114             1.138924 
   117      -1402       12.690016             1.151613 
   118      -1401       12.691919             1.164304 
   119      -1400       12.693821             1.176997 
   120      -1399       12.695724             1.189692 
   121      -1398       12.697626             1.202388 
   122      -1397       12.699529             1.215087 
   123      -1396       12.701431             1.227787 
   124      -1395       12.703334             1.240490 
   125      -1394       12.705236             1.253194 
   126      -1393       12.707139             1.265900 
   127      -1392       12.709041             1.278608 
   128      -1391       12.710944             1.291318 
   129      -1390       12.712846             1.304030 
   130      -1389       12.714748             1.316744 
   131      -1388       12.716651             1.329460 
   132      -1387       12.718553             1.342177 
   133      -1386       12.720456             1.354897 
   134      -1385       12.722358             1.367618 
   135      -1384       12.724261             1.380342 
   136      -1383       12.726163             1.393067 
   137      -1382       12.728065             1.405794 
   138      -1381       12.729968             1.418523 
   139      -1380       12.731870             1.431254 
   140      -1379       12.733772             1.443987 
   141      -1378       12.735675             1.456721 
   142      -1377       12.737577             1.469458 
   143      -1376       12.739480             1.482196 
   144      -1375       12.741382             1.494937 
   145      -1374       12.743284             1.507679 
   146      -1373       12.745187             1.520423 
   147      -1372       12.747089             1.533170 
   148      -1371       12.748991             1.545918 
   149      -1370       12.750894             1.558668 
   150      -1369       12.752796             1.571419 
   151      -1368       12.754698             1.584173 
   152      -1367       12.756601             1.596929 
   153      -1366       12.758503             1.609686 
   154      -1365       12.760405             1.622446 
   155      -1364       12.762307             1.635207 
   156      -1363       12.764210             1.647970 
   157      -1362       12.766112             1.660736 
   158      -1361       12.768014             1.673503 
   159      -1360       12.769917             1.686272 
   160      -1359       12.771819             1.699043 
   161      -1358       12.773721             1.711815 
   162      -1357       12.775623             1.724590 
   163      -1356       12.777525             1.737367 
   164      -1355       12.779428             1.750145 
   165      -1354       12.781330             1.762925 
   166      -1353       12.783232             1.775708 
   167      -1352       12.785134             1.788492 
   168      -1351       12.787037             1.801278 
   169      -1350       12.788939             1.814066 
   170      -1349       12.790841             1.826856 
   171      -1348       12.792743             1.839648 
   172      -1347       12.794645             1.852441 
   173      -1346       12.796547             1.865237 
   174      -1345       12.798450             1.878034 
   175      -1344       12.800352             1.890834 
   176      -1343       12.802254             1.903635 
   177      -1342       12.804156             1.916438 
   178      -1341       12.806058             1.929243 
   179      -1340       12.807960             1.942050 
   180      -1339       12.809863             1.954859 
   181      -1338       12.811765             1.967670 
   182      -1337       12.813667             1.980483 
   183      -1336       12.815569             1.993297 
   184      -1335       12.817471             2.006114 
   185      -1334       12.819373             2.018932 
   186      -1333       12.821275             2.031753 
   187      -1332       12.823177             2.044575 
   188      -1331       12.825079             2.057399 
   189      -1330       12.826981             2.070225 
   190      -1329       12.828883             2.083053 
   191      -1328       12.830786             2.095883 
   192      -1327       12.832688             2.108715 
   193      -1326       12.834590             2.121548 
   194      -1325       12.836492             2.134384 
   195      -1324       12.838394             2.147221 
   196      -1323       12.840296             2.160061 
   197      -1322       12.842198             2.172902 
   198      -1321       12.844100             2.185745 
   199      -1320       12.846002             2.198590 
   200      -1319       12.847904             2.211437 
   201      -1318       12.849806             2.224286 
   202      -1317       12.851708             2.237137 
   203      -1316       12.853610             2.249989 
   204      -1315       12.855512             2.262844 
   205      -1314       12.857414             2.275700 
   206      -1313       12.859316             2.288559 
   207      -1312       12.861218             2.301419 
   208      -1311       12.863120             2.314281 
   209      -1310       12.865022             2.327145 
   210      -1309       12.866924             2.340011 
   211      -1308       12.868825             2.352879 
   212      -1307       12.870727             2.365749 
   213      -1306       12.872629             2.378620 
   214      -1305       12.874531             2.391494 
   215      -1304       12.876433             2.404370 
   216      -1303       12.878335             2.417247 
   217      -1302       12.880237             2.430126 
   218      -1301       12.882139             2.443007 
   219      -1300       12.884041             2.455890 
   220      -1299       12.885943             2.468775 
   221      -1298       12.887844             2.481662 
   222      -1297       12.889746             2.494551 
   223      -1296       12.891648             2.507442 
   224      -1295       12.893550             2.520334 
   225      -1294       12.895452             2.533229 
   226      -1293       12.897354             2.546125 
   227      -1292       12.899256             2.559024 
   228      -1291       12.901157             2.571924 
   229      -1290       12.903059             2.584826 
   230      -1289       12.904961             2.597730 
   231      -1288       12.906863             2.610636 
   232      -1287       12.908765             2.623544 
   233      -1286       12.910666             2.636453 
   234      -1285       12.912568             2.649365 
   235      -1284       12.914470             2.662279 
   236      -1283       12.916372             2.675194 
   237      -1282       12.918274             2.688111 
   238      -1281       12.920175             2.701031 
   239      -1280       12.922077             2.713952 
   240      -1279       12.923979             2.726875 
   241      -1278       12.925881             2.739800 
   242      -1277       12.927782             2.752726 
   243      -1276       12.929684             2.765655 
   244      -1275       12.931586             2.778586 
   245      -1274       12.933488             2.791518 
   246      -1273       12.935389             2.804453 
   247      -1272       12.937291             2.817389 
   248      -1271       12.939193             2.830327 
   249      -1270       12.941094             2.843268 
   250      -1269       12.942996             2.856210 
   251      -1268       12.944898             2.869154 
   252      -1267       12.946799             2.882099 
   253      -1266       12.948701             2.895047 
   254      -1265       12.950603             2.907997 
   255      -1264       12.952504             2.920948 
   256      -1263       12.954406             2.933902 
   257      -1262       12.956308             2.946857 
   258      -1261       12.958209             2.959814 
   259      -1260       12.960111             2.972774 
   260      -1259       12.962013             2.985735 
   261      -1258       12.963914             2.998698 
   262      -1257       12.965816             3.011662 
   263      -1256       12.967718             3.024629 
   264      -1255       12.969619             3.037598 
   265      -1254       12.971521             3.050568 
   266      -1253       12.973422             3.063541 
   267      -1252       12.975324             3.076515 
   268      -1251       12.977226             3.089492 
   269      -1250       12.979127             3.102470 
   270      -1249       12.981029             3.115450 
   271      -1248       12.982930             3.128432 
   272      -1247       12.984832             3.141416 
   273      -1246       12.986733             3.154401 
   274      -1245       12.988635             3.167389 
   275      -1244       12.990536             3.180379 
   276      -1243       12.992438             3.193370 
   277      -1242       12.994339             3.206364 
   278      -1241       12.996241             3.219359 
   279      -1240       12.998143             3.232356 
   280      -1239       13.000044             3.245355 
   281      -1238       13.001946             3.258356 
   282      -1237       13.003847             3.271359 
   283      -1236       13.005749             3.284364 
   284      -1235       13.007650             3.297371 
