Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.05513,	   1.68831,	  -1.51220
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.30068,	   1.75867,	  -1.46885
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.71961,	  -0.73354,	  -1.47702
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.04172,	  -0.79067,	  -1.51555
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.05513,	   1.68831,	  -1.51220
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.05496,	   1.65736,	   5.41322
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.20634,	   1.74016,	   5.34148
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.22552,	  -0.71547,	   5.35335
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.04172,	  -0.79067,	   5.42513
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.05496,	   1.65736,	   5.41322
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.30068,	   1.75867,	  -1.46885
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.05513,	   1.68831,	  -1.51220
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.05496,	   1.65736,	   5.41322
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.20634,	   1.74016,	   5.34148
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.55052,	   1.74931,	   4.30925
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.55779,	   1.76341,	   1.17585
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.94198,	   1.76342,	  -0.64085
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.30068,	   1.75867,	  -1.46885
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.05513,	   1.68831,	  -1.51220
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.04172,	  -0.79067,	  -1.51555
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.04172,	  -0.79067,	   5.42513
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.05496,	   1.65736,	   5.41322
