Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,    0 00 01 ,   88 08 17,          0,      0.000,      0.000,            0,            0,          0
2               ,    0 00 01 ,   88 08 17,      0.123,      0.000,      0.000,        0.000,        0.123,      0.004
3               ,  236 40 06 ,  139 55 22,      0.216,      0.000,      0.000,       -0.116,       -0.077,     -0.166
4               ,  239 39 34 ,  136 10 04,      1.969,      0.000,      0.000,       -1.177,       -0.689,     -1.420
5               ,  230 46 23 ,   10 32 45,      5.584,      0.000,      0.000,       -0.792,       -0.646,      5.490
6               ,   57 54 57 ,  114 50 32,      2.801,      0.000,      0.000,        2.153,        1.350,     -1.177
7               ,   57 54 57 ,   93 37 55,      2.506,      0.000,      0.000,        2.119,        1.328,     -0.159
8               ,   59 31 52 ,   73 11 47,      2.686,      0.000,      0.000,        2.216,        1.304,      0.776
9               ,   60 36 35 ,   50 56 46,      3.344,      0.000,      0.000,        2.263,        1.275,      2.107
10              ,   61 21 05 ,   39 51 51,      4.071,      0.000,      0.000,        2.290,        1.251,      3.125
11              ,   62 32 28 ,   30 53 23,      5.205,      0.000,      0.000,        2.371,        1.232,      4.467
12              ,   57 40 54 ,   26 40 16,      5.108,      0.000,      0.000,        1.938,        1.226,      4.565
13              ,   57 41 12 ,   33 51 25,      4.175,      0.000,      0.000,        1.966,        1.243,      3.467
14              ,   56 04 54 ,   51 42 02,      2.923,      0.000,      0.000,        1.904,        1.280,      1.812
15              ,   55 20 35 ,   74 05 53,      2.390,      0.000,      0.000,        1.891,        1.307,      0.655
16              ,   53 34 47 ,   97 11 17,      2.255,      0.000,      0.000,        1.801,        1.329,     -0.282
17              ,   53 01 39 ,  119 05 59,      2.571,      0.000,      0.000,        1.795,        1.351,     -1.250
18              ,   27 53 35 ,   87 31 00,      1.484,      0.000,      0.000,        0.693,        1.310,      0.064
19              ,   27 53 44 ,   62 07 13,      1.660,      0.000,      0.000,        0.686,        1.297,      0.776
20              ,   26 31 45 ,   43 43 59,      2.077,      0.000,      0.000,        0.641,        1.285,      1.501
21              ,   26 31 51 ,   27 13 47,      3.080,      0.000,      0.000,        0.630,        1.261,      2.739
22              ,   26 31 51 ,   20 29 23,      3.961,      0.000,      0.000,        0.619,        1.240,      3.710
23              ,   29 24 39 ,   17 11 37,      4.750,      0.000,      0.000,        0.689,        1.223,      4.538
24              ,   29 24 34 ,   14 05 27,      5.681,      0.000,      0.000,        0.679,        1.205,      5.510
25              ,   19 50 08 ,   13 40 29,      5.459,      0.000,      0.000,        0.438,        1.214,      5.304
26              ,   14 03 51 ,   20 53 09,      3.617,      0.000,      0.000,        0.313,        1.251,      3.379
27              ,   14 03 54 ,   31 22 57,      2.524,      0.000,      0.000,        0.319,        1.275,      2.155
28              ,   11 21 16 ,   47 41 28,      1.784,      0.000,      0.000,        0.260,        1.294,      1.201
29              ,   11 21 15 ,   69 31 56,      1.423,      0.000,      0.000,        0.263,        1.307,      0.498
30              ,    9 54 08 ,   94 50 43,      1.344,      0.000,      0.000,        0.230,        1.319,     -0.114
31              ,    6 42 10 ,  133 27 13,      1.860,      0.000,      0.000,        0.158,        1.341,     -1.279
32              ,  324 04 30 ,   74 19 26,      1.662,      0.000,      0.000,       -0.939,        1.296,      0.449
33              ,  324 04 41 ,   57 18 41,      1.884,      0.000,      0.000,       -0.930,        1.284,      1.017
34              ,  324 04 43 ,   42 53 04,      2.309,      0.000,      0.000,       -0.922,        1.272,      1.692
35              ,  324 04 38 ,   33 30 50,      2.815,      0.000,      0.000,       -0.912,        1.259,      2.347
36              ,  325 07 56 ,   25 18 06,      3.541,      0.000,      0.000,       -0.865,        1.242,      3.201
37              ,  325 07 57 ,   19 34 32,      4.453,      0.000,      0.000,       -0.853,        1.224,      4.195
38              ,  325 07 57 ,   15 50 30,      5.381,      0.000,      0.000,       -0.840,        1.205,      5.176
39              ,  316 13 53 ,   18 23 47,      5.300,      0.000,      0.000,       -1.157,        1.208,      5.030
40              ,  315 14 01 ,   22 13 59,      4.550,      0.000,      0.000,       -1.212,        1.222,      4.211
41              ,  314 43 48 ,   28 05 48,      3.737,      0.000,      0.000,       -1.250,        1.239,      3.296
42              ,  314 43 54 ,   38 27 24,      2.872,      0.000,      0.000,       -1.269,        1.257,      2.249
43              ,  314 43 50 ,   50 53 01,      2.335,      0.000,      0.000,       -1.287,        1.275,      1.473
44              ,  314 43 48 ,   67 46 44,      1.980,      0.000,      0.000,       -1.302,        1.290,      0.749
45              ,  314 43 47 ,   79 13 32,      1.880,      0.000,      0.000,       -1.312,        1.300,      0.352
