     -3053.7679,	       1691.5606,	      -1423.2532 ; 		 //plane 0 point @1 
      2264.9128,	       1722.6618,	      -1432.2706 ; 		 //plane 0 point @2 
      1680.4396,	       -750.1809,	      -1428.5352 ; 		 //plane 0 point @3 
     -3038.2436,	       -773.7752,	      -1420.5395 ; 		 //plane 0 point @4 
     -3053.7679,	       1691.5606,	      -1423.2532 ; 		 //plane 0 point @5 
     -3053.7237,	       1684.5356,	       5524.1338 ; 		 //plane 1 point @6 
      3224.2197,	       1721.3821,	       5379.0542 ; 		 //plane 1 point @7 
      3234.4942,	       -742.4103,	       5380.0675 ; 		 //plane 1 point @8 
     -3038.2436,	       -773.7752,	       5525.0240 ; 		 //plane 1 point @9 
     -3053.7237,	       1684.5356,	       5524.1338 ; 		 //plane 1 point @10 
      2264.9128,	       1722.6618,	      -1432.2706 ; 		 //plane 2 point @11 
     -3053.7679,	       1691.5606,	      -1423.2532 ; 		 //plane 2 point @12 
     -3053.7237,	       1684.5356,	       5524.1338 ; 		 //plane 2 point @13 
      3224.2197,	       1721.3821,	       5379.0542 ; 		 //plane 2 point @14 
      3569.3936,	       1724.4774,	       4313.5897 ; 		 //plane 2 point @15 
      3535.7730,	       1727.4681,	       1161.5855 ; 		 //plane 2 point @16 
      2909.1653,	       1725.6032,	       -616.6535 ; 		 //plane 2 point @17 
      2264.9128,	       1722.6618,	      -1432.2706 ; 		 //plane 2 point @18 
     -3053.7679,	       1691.5606,	      -1423.2532 ; 		 //plane 3 point @19 
     -3038.2436,	       -773.7752,	      -1420.5395 ; 		 //plane 3 point @20 
     -3038.2436,	       -773.7752,	       5525.0240 ; 		 //plane 3 point @21 
     -3053.7237,	       1684.5356,	       5524.1338 ; 		 //plane 3 point @22 
     -3053.7679,	       1691.5606,	      -1423.2532 ; 		 //plane 3 point @23 
      1680.4396,	       -750.1809,	      -1428.5352 ; 		 //plane 4 point @24 
     -3038.2436,	       -773.7752,	      -1420.5395 ; 		 //plane 4 point @25 
     -3038.2436,	       -773.7752,	       5525.0240 ; 		 //plane 4 point @26 
      3234.4942,	       -742.4103,	       5380.0675 ; 		 //plane 4 point @27 
      3568.6110,	       -740.7397,	       4348.7511 ; 		 //plane 4 point @28 
      3546.0043,	       -740.8527,	       2229.4153 ; 		 //plane 4 point @29 
      2720.8821,	       -744.9785,	       -111.4819 ; 		 //plane 4 point @30 
      1680.4396,	       -750.1809,	      -1428.5352 ; 		 //plane 4 point @31 
      2264.9128,	       1722.6618,	      -1432.2706 ; 		 //plane 5 point @32 
      1680.4396,	       -750.1809,	      -1428.5352 ; 		 //plane 5 point @33 
      2720.8821,	       -744.9785,	       -111.4819 ; 		 //plane 5 point @34 
      2909.1653,	       1725.6032,	       -616.6535 ; 		 //plane 5 point @35 
      2264.9128,	       1722.6618,	      -1432.2706 ; 		 //plane 5 point @36 
      2909.1653,	       1725.6032,	       -616.6535 ; 		 //plane 6 point @37 
      2720.8821,	       -744.9785,	       -111.4819 ; 		 //plane 6 point @38 
      3546.0043,	       -740.8527,	       2229.4153 ; 		 //plane 6 point @39 
      3535.7730,	       1727.4681,	       1161.5855 ; 		 //plane 6 point @40 
      2909.1653,	       1725.6032,	       -616.6535 ; 		 //plane 6 point @41 
      3535.7730,	       1727.4681,	       1161.5855 ; 		 //plane 7 point @42 
      3546.0043,	       -740.8527,	       2229.4153 ; 		 //plane 7 point @43 
      3568.6110,	       -740.7397,	       4348.7511 ; 		 //plane 7 point @44 
      3569.3936,	       1724.4774,	       4313.5897 ; 		 //plane 7 point @45 
      3535.7730,	       1727.4681,	       1161.5855 ; 		 //plane 7 point @46 
      3569.3936,	       1724.4774,	       4313.5897 ; 		 //plane 8 point @47 
      3568.6110,	       -740.7397,	       4348.7511 ; 		 //plane 8 point @48 
      3234.4942,	       -742.4103,	       5380.0675 ; 		 //plane 8 point @49 
      3224.2197,	       1721.3821,	       5379.0542 ; 		 //plane 8 point @50 
      3569.3936,	       1724.4774,	       4313.5897 ; 		 //plane 8 point @51 
