Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05377,	   1.69156,	  -1.42325
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.26491,	   1.72266,	  -1.43227
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.68044,	  -0.75018,	  -1.42854
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.03824,	  -0.77378,	  -1.42054
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05377,	   1.69156,	  -1.42325
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05372,	   1.68454,	   5.52413
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.22422,	   1.72138,	   5.37905
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.23449,	  -0.74241,	   5.38007
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.03824,	  -0.77378,	   5.52502
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05372,	   1.68454,	   5.52413
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.26491,	   1.72266,	  -1.43227
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05377,	   1.69156,	  -1.42325
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05372,	   1.68454,	   5.52413
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.22422,	   1.72138,	   5.37905
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.56939,	   1.72448,	   4.31359
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53577,	   1.72747,	   1.16159
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.90917,	   1.72560,	  -0.61665
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.26491,	   1.72266,	  -1.43227
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.05377,	   1.69156,	  -1.42325
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.03824,	  -0.77378,	  -1.42054
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.03824,	  -0.77378,	   5.52502
