Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.80638,	  -6.66066,	   0.10419
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97719,	  -6.50895,	   0.10172
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.38277,	   8.03820,	  -0.01359
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.37961,	   8.00732,	  -0.01301
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.36553,	   9.01972,	  -0.02104
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.04815,	   8.78774,	  -0.01738
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.62839,	  -0.88190,	   0.05925
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.30223,	  -4.35480,	   0.08672
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.90686,	  -4.25411,	   0.08512
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.80638,	  -6.66066,	   0.10419
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97719,	  -6.50895,	   0.10172
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.80638,	  -6.66066,	   0.10419
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.81513,	  -6.63245,	   4.86384
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97603,	  -6.48000,	   4.93439
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97719,	  -6.50895,	   0.10172
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.90686,	  -4.25411,	   0.08512
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.30223,	  -4.35480,	   0.08672
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.49489,	  -4.35676,	   1.86781
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.50779,	  -4.34720,	   4.79695
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.91510,	  -4.23804,	   4.84517
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.90686,	  -4.25411,	   0.08512
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97719,	  -6.50895,	   0.10172
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.38277,	   8.03820,	  -0.01359
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.38049,	   8.09461,	   4.82095
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97603,	  -6.48000,	   4.93439
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97719,	  -6.50895,	   0.10172
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.36553,	   9.01972,	  -0.02104
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.37961,	   8.00732,	  -0.01301
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.38528,	   8.06375,	   4.80236
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.37143,	   9.05948,	   4.79512
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.36553,	   9.01972,	  -0.02104
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.36553,	   9.01972,	  -0.02104
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.04815,	   8.78774,	  -0.01738
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.05658,	   8.82604,	   4.69422
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.37143,	   9.05948,	   4.79512
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.36553,	   9.01972,	  -0.02104
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.38277,	   8.03820,	  -0.01359
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.37961,	   8.00732,	  -0.01301
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.38528,	   8.06375,	   4.80236
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.38049,	   8.09461,	   4.82095
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.38277,	   8.03820,	  -0.01359
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.81513,	  -6.63245,	   4.86384
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97603,	  -6.48000,	   4.93439
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.38049,	   8.09461,	   4.82095
46   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.38528,	   8.06375,	   4.80236
47   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.37143,	   9.05948,	   4.79512
48   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.05658,	   8.82604,	   4.69422
49   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.59115,	  -1.89584,	   4.77819
50   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.50779,	  -4.34720,	   4.79695
51   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.91510,	  -4.23804,	   4.84517
52   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.81513,	  -6.63245,	   4.86384
53   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.62839,	  -0.88190,	   0.05925
54   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.04815,	   8.78774,	  -0.01738
55   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.05658,	   8.82604,	   4.69422
56   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.59115,	  -1.89584,	   4.77819
57   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.53704,	  -3.01985,	   1.08691
58   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.62839,	  -0.88190,	   0.05925
59   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.30223,	  -4.35480,	   0.08672
