Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.80648,	  -6.66088,	   0.04253
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97656,	  -6.50918,	   0.10615
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.38262,	   8.03842,	   0.07813
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.37960,	   8.00754,	   0.06125
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.36554,	   9.01997,	   0.05976
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.04737,	   8.78800,	  -0.03124
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.62793,	  -0.88194,	  -0.01220
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.30191,	  -4.35495,	  -0.00240
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.90688,	  -4.25426,	   0.03786
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.80648,	  -6.66088,	   0.04253
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97656,	  -6.50918,	   0.10615
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.80648,	  -6.66088,	   0.04253
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.89708,	  -6.66458,	   4.80141
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.89229,	  -6.51263,	   4.93817
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97656,	  -6.50918,	   0.10615
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.90688,	  -4.25426,	   0.03786
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.30191,	  -4.35495,	  -0.00240
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.52517,	  -4.36884,	   1.77506
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.58844,	  -4.37891,	   4.70354
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.99698,	  -4.27009,	   4.79707
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.90688,	  -4.25426,	   0.03786
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97656,	  -6.50918,	   0.10615
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.38262,	   8.03842,	   0.07813
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.29719,	   8.06242,	   4.91218
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.89229,	  -6.51263,	   4.93817
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97656,	  -6.50918,	   0.10615
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.36554,	   9.01997,	   0.05976
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.37960,	   8.00754,	   0.06125
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.30245,	   8.03169,	   4.87628
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.28861,	   9.02745,	   4.87547
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.36554,	   9.01997,	   0.05976
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.36554,	   9.01997,	   0.05976
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.04737,	   8.78800,	  -0.03124
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.13683,	   8.79472,	   4.67967
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.28861,	   9.02745,	   4.87547
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.36554,	   9.01997,	   0.05976
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.38262,	   8.03842,	   0.07813
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.37960,	   8.00754,	   0.06125
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.30245,	   8.03169,	   4.87628
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.29719,	   8.06242,	   4.91218
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.38262,	   8.03842,	   0.07813
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.89708,	  -6.66458,	   4.80141
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.89229,	  -6.51263,	   4.93817
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.29719,	   8.06242,	   4.91218
46   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.30245,	   8.03169,	   4.87628
47   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.28861,	   9.02745,	   4.87547
48   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.13683,	   8.79472,	   4.67967
49   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.67173,	  -1.92749,	   4.69978
50   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.58844,	  -4.37891,	   4.70354
51   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.99698,	  -4.27009,	   4.79707
52   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.89708,	  -6.66458,	   4.80141
53   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.62793,	  -0.88194,	  -0.01220
54   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.04737,	   8.78800,	  -0.03124
55   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.13683,	   8.79472,	   4.67967
56   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.67173,	  -1.92749,	   4.69978
57   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.55403,	  -3.02673,	   1.00252
58   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.62793,	  -0.88194,	  -0.01220
59   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.30191,	  -4.35495,	  -0.00240
60   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.62793,	  -0.88194,	  -0.01220
61   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.55403,	  -3.02673,	   1.00252
62   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.52517,	  -4.36884,	   1.77506
63   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.30191,	  -4.35495,	  -0.00240
64   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.52517,	  -4.36884,	   1.77506
65   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.55403,	  -3.02673,	   1.00252
66   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.67173,	  -1.92749,	   4.69978
67   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.58844,	  -4.37891,	   4.70354
68   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.52517,	  -4.36884,	   1.77506
69   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.80648,	  -6.66088,	   0.04253
70   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.90688,	  -4.25426,	   0.03786
71   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.99698,	  -4.27009,	   4.79707
72   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.89708,	  -6.66458,	   4.80141
73   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.80648,	  -6.66088,	   0.04253
