Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.80637,	  -6.66088,	   0.05309
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97720,	  -6.50916,	   0.05062
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.38277,	   8.03843,	   0.02260
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.37961,	   8.00754,	   0.02324
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.36552,	   9.01997,	   0.02127
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.04815,	   8.78797,	   0.02484
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.62839,	  -0.88195,	   0.04345
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.30223,	  -4.35496,	   0.05003
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.90686,	  -4.25426,	   0.04846
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.80637,	  -6.66088,	   0.05309
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97720,	  -6.50916,	   0.05062
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.80637,	  -6.66088,	   0.05309
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.81398,	  -6.66118,	   4.81283
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97720,	  -6.50916,	   4.88338
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97720,	  -6.50916,	   0.05062
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.90686,	  -4.25426,	   0.04846
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.30223,	  -4.35496,	   0.05003
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.49445,	  -4.36758,	   1.83113
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.50665,	  -4.37557,	   4.76027
