   -806.3745503398,	   -6660.8758535495,	      53.0927469010 ; 		 //plane 0 point @1 
   2977.1992197946,	   -6509.1570683443,	      50.6202720380 ; 		 //plane 0 point @2 
   2382.7659588645,	    8038.4251723957,	      22.5979527295 ; 		 //plane 0 point @3 
   1379.6053495914,	    8007.5394634940,	      23.2352827034 ; 		 //plane 0 point @4 
   1365.5163232134,	    9019.9667503603,	      21.2693979162 ; 		 //plane 0 point @5 
  -4048.1543360863,	    8787.9710734650,	      24.8361751159 ; 		 //plane 0 point @6 
  -3628.3927313274,	    -881.9543274149,	      43.4487220822 ; 		 //plane 0 point @7 
  -3302.2275485236,	   -4354.9586270500,	      50.0326062643 ; 		 //plane 0 point @8 
   -906.8588583524,	   -4254.2558694031,	      48.4582236604 ; 		 //plane 0 point @9 
   -806.3745503393,	   -6660.8758535496,	      53.0927469010 ; 		 //plane 0 point @10 
   2977.1992197946,	   -6509.1570683443,	      50.6202720380 ; 		 //plane 1 point @11 
   -806.3745503398,	   -6660.8758535495,	      53.0927469010 ; 		 //plane 1 point @12 
   -813.9766469994,	   -6661.1806925563,	    4812.8282025702 ; 		 //plane 1 point @13 
   2977.1992197946,	   -6509.1570683455,	    4883.3788814921 ; 		 //plane 1 point @14 
   2977.1992197945,	   -6509.1570683437,	      50.6202720380 ; 		 //plane 1 point @15 
   -906.8588583524,	   -4254.2558694031,	      48.4582236604 ; 		 //plane 2 point @16 
  -3302.2275485236,	   -4354.9586270499,	      50.0326062643 ; 		 //plane 2 point @17 
  -3494.4532628215,	   -4367.5848428349,	    1831.1290488002 ; 		 //plane 2 point @18 
  -3506.6509505447,	   -4375.5726265874,	    4760.2749046355 ; 		 //plane 2 point @19 
   -913.9545160268,	   -4266.7015523050,	    4808.5178518417 ; 		 //plane 2 point @20 
   -906.8588583524,	   -4254.2558694031,	      48.4582236604 ; 		 //plane 2 point @21 
   2977.1992197934,	   -6509.1570683438,	      50.6202720380 ; 		 //plane 3 point @22 
   2382.7659588645,	    8038.4251723957,	      22.5979527295 ; 		 //plane 3 point @23 
   2381.6443192579,	    8065.8750906151,	    4857.3845880016 ; 		 //plane 3 point @24 
   2977.1992197959,	   -6509.1570683449,	    4883.3788814914 ; 		 //plane 3 point @25 
   2977.1992197945,	   -6509.1570683437,	      50.6202720380 ; 		 //plane 3 point @26 
   1365.5163232134,	    9019.9667503603,	      21.2693979162 ; 		 //plane 4 point @27 
   1379.6053495912,	    8007.5394634936,	      23.2352827034 ; 		 //plane 4 point @28 
   1386.4299265621,	    8035.1251035686,	    4838.8551094427 ; 		 //plane 4 point @29 
   1372.5738435869,	    9030.8840248507,	    4837.5796115270 ; 		 //plane 4 point @30 
   1365.5163232137,	    9019.9667503603,	      21.2693979162 ; 		 //plane 4 point @31 
   1365.5163232137,	    9019.9667503609,	      21.2693979162 ; 		 //plane 5 point @32 
  -4048.1543360863,	    8787.9710734650,	      24.8361751159 ; 		 //plane 5 point @33 
  -4055.4529437097,	    8798.0426657758,	    4736.5839832781 ; 		 //plane 5 point @34 
   1372.5738435878,	    9030.8840248505,	    4837.5796115276 ; 		 //plane 5 point @35 
   1365.5163232137,	    9019.9667503603,	      21.2693979162 ; 		 //plane 5 point @36 
   2382.7659588631,	    8038.4251723963,	      22.5979527295 ; 		 //plane 6 point @37 
   1379.6053495914,	    8007.5394634940,	      23.2352827034 ; 		 //plane 6 point @38 
   1386.4299265621,	    8035.1251035686,	    4838.8551094427 ; 		 //plane 6 point @39 
   2381.6443192580,	    8065.8750906134,	    4857.3845880026 ; 		 //plane 6 point @40 
   2382.7659588631,	    8038.4251723956,	      22.5979527295 ; 		 //plane 6 point @41 
   -813.9766469995,	   -6661.1806925575,	    4812.8282025704 ; 		 //plane 7 point @42 
   2977.1992197946,	   -6509.1570683455,	    4883.3788814921 ; 		 //plane 7 point @43 
   2381.6443192564,	    8065.8750906142,	    4857.3845880034 ; 		 //plane 7 point @44 
   1386.4299265618,	    8035.1251035675,	    4838.8551094433 ; 		 //plane 7 point @45 
   1372.5738435869,	    9030.8840248507,	    4837.5796115270 ; 		 //plane 7 point @46 
  -4055.4529437108,	    8798.0426657805,	    4736.5839832769 ; 		 //plane 7 point @47 
  -3590.0121705094,	   -1924.1466520267,	    4756.2162905494 ; 		 //plane 7 point @48 
  -3506.6509505443,	   -4375.5726265870,	    4760.2749046359 ; 		 //plane 7 point @49 
   -913.9545160268,	   -4266.7015523050,	    4808.5178518417 ; 		 //plane 7 point @50 
   -813.9766469991,	   -6661.1806925577,	    4812.8282025725 ; 		 //plane 7 point @51 
  -3628.3927313274,	    -881.9543274149,	      43.4487220822 ; 		 //plane 8 point @52 
  -4048.1543360874,	    8787.9710734668,	      24.8361751159 ; 		 //plane 8 point @53 
  -4055.4529437097,	    8798.0426657758,	    4736.5839832781 ; 		 //plane 8 point @54 
  -3590.0121705094,	   -1924.1466520267,	    4756.2162905494 ; 		 //plane 8 point @55 
  -3536.7926086227,	   -3026.0244900923,	    1058.2531370406 ; 		 //plane 8 point @56 
  -3628.3927313270,	    -881.9543274128,	      43.4487220822 ; 		 //plane 8 point @57 
  -3302.2275485236,	   -4354.9586270500,	      50.0326062643 ; 		 //plane 9 point @58 
  -3628.3927313276,	    -881.9543274129,	      43.4487220822 ; 		 //plane 9 point @59 
